pdf_path,pdf_exists,fulltext_path,fulltext_exists,meta_path,meta_exists,page_count,text_char_count,source_group
assets/papers/pdfs/01_LLM_Game_Agents/02_Survey_LLM_Game_Agents_Hu2024.pdf,True,assets/papers/pdfs/01_LLM_Game_Agents/02_Survey_LLM_Game_Agents_Hu2024.fulltext.md,True,assets/papers/pdfs/01_LLM_Game_Agents/02_Survey_LLM_Game_Agents_Hu2024.meta.json,True,36,134158,01_LLM_Game_Agents
assets/papers/pdfs/01_LLM_Game_Agents/03_Affordable_Generative_Agents_Yu2024.pdf,True,assets/papers/pdfs/01_LLM_Game_Agents/03_Affordable_Generative_Agents_Yu2024.fulltext.md,True,assets/papers/pdfs/01_LLM_Game_Agents/03_Affordable_Generative_Agents_Yu2024.meta.json,True,29,92082,01_LLM_Game_Agents
assets/papers/pdfs/01_LLM_Game_Agents/05_LIGS_Emergent_Narrative_Jeong2025.pdf,True,assets/papers/pdfs/01_LLM_Game_Agents/05_LIGS_Emergent_Narrative_Jeong2025.fulltext.md,True,assets/papers/pdfs/01_LLM_Game_Agents/05_LIGS_Emergent_Narrative_Jeong2025.meta.json,True,17,62745,01_LLM_Game_Agents
assets/papers/pdfs/01_LLM_Game_Agents/06_MultiAgentBench_Zhu2025.pdf,True,assets/papers/pdfs/01_LLM_Game_Agents/06_MultiAgentBench_Zhu2025.fulltext.md,True,assets/papers/pdfs/01_LLM_Game_Agents/06_MultiAgentBench_Zhu2025.meta.json,True,42,146220,01_LLM_Game_Agents
assets/papers/pdfs/01_LLM_Game_Agents/07_Artificial_Leviathan_Dai2024.pdf,True,assets/papers/pdfs/01_LLM_Game_Agents/07_Artificial_Leviathan_Dai2024.fulltext.md,True,assets/papers/pdfs/01_LLM_Game_Agents/07_Artificial_Leviathan_Dai2024.meta.json,True,16,66510,01_LLM_Game_Agents
assets/papers/pdfs/02_Space_Syntax/03_Isovists_to_Visibility_Graphs_Turner2001.pdf,True,assets/papers/pdfs/02_Space_Syntax/03_Isovists_to_Visibility_Graphs_Turner2001.fulltext.md,True,assets/papers/pdfs/02_Space_Syntax/03_Isovists_to_Visibility_Graphs_Turner2001.meta.json,True,20,56940,02_Space_Syntax
assets/papers/pdfs/02_Space_Syntax/04_Space_Syntax_Agent_Simulation_Penn2001.pdf,True,assets/papers/pdfs/02_Space_Syntax/04_Space_Syntax_Agent_Simulation_Penn2001.fulltext.md,True,assets/papers/pdfs/02_Space_Syntax/04_Space_Syntax_Agent_Simulation_Penn2001.meta.json,True,16,36439,02_Space_Syntax
assets/papers/pdfs/02_Space_Syntax/09_Spatial_Visual_Perception_Streets_2025.pdf,True,assets/papers/pdfs/02_Space_Syntax/09_Spatial_Visual_Perception_Streets_2025.fulltext.md,True,assets/papers/pdfs/02_Space_Syntax/09_Spatial_Visual_Perception_Streets_2025.meta.json,True,15,67980,02_Space_Syntax
assets/papers/pdfs/03_Spatially_Aware_LLM_Agents/02_SARAH_Spatially_Aware_Humans_Ng2026.pdf,True,assets/papers/pdfs/03_Spatially_Aware_LLM_Agents/02_SARAH_Spatially_Aware_Humans_Ng2026.fulltext.md,True,assets/papers/pdfs/03_Spatially_Aware_LLM_Agents/02_SARAH_Spatially_Aware_Humans_Ng2026.meta.json,True,10,48260,03_Spatially_Aware_LLM_Agents
assets/papers/pdfs/03_Spatially_Aware_LLM_Agents/03_Advancing_Spatial_Reasoning_Li2024_AAAI.pdf,True,assets/papers/pdfs/03_Spatially_Aware_LLM_Agents/03_Advancing_Spatial_Reasoning_Li2024_AAAI.fulltext.md,True,assets/papers/pdfs/03_Spatially_Aware_LLM_Agents/03_Advancing_Spatial_Reasoning_Li2024_AAAI.meta.json,True,12,52036,03_Spatially_Aware_LLM_Agents
assets/papers/pdfs/03_Spatially_Aware_LLM_Agents/04_SpatialVLM_Chen2024_CVPR.pdf,True,assets/papers/pdfs/03_Spatially_Aware_LLM_Agents/04_SpatialVLM_Chen2024_CVPR.fulltext.md,True,assets/papers/pdfs/03_Spatially_Aware_LLM_Agents/04_SpatialVLM_Chen2024_CVPR.meta.json,True,29,82596,03_Spatially_Aware_LLM_Agents
assets/papers/pdfs/04_NPC_Dialogue_Behavior/01_LLM_Driven_NPCs_Song2025.pdf,True,assets/papers/pdfs/04_NPC_Dialogue_Behavior/01_LLM_Driven_NPCs_Song2025.fulltext.md,True,assets/papers/pdfs/04_NPC_Dialogue_Behavior/01_LLM_Driven_NPCs_Song2025.meta.json,True,7,13445,04_NPC_Dialogue_Behavior
assets/papers/pdfs/04_NPC_Dialogue_Behavior/02_Deflanderization_Buakhaw2025.pdf,True,assets/papers/pdfs/04_NPC_Dialogue_Behavior/02_Deflanderization_Buakhaw2025.fulltext.md,True,assets/papers/pdfs/04_NPC_Dialogue_Behavior/02_Deflanderization_Buakhaw2025.meta.json,True,16,47508,04_NPC_Dialogue_Behavior
assets/papers/pdfs/04_NPC_Dialogue_Behavior/03_Tricking_LLM_NPCs_Shiomi2025.pdf,True,assets/papers/pdfs/04_NPC_Dialogue_Behavior/03_Tricking_LLM_NPCs_Shiomi2025.fulltext.md,True,assets/papers/pdfs/04_NPC_Dialogue_Behavior/03_Tricking_LLM_NPCs_Shiomi2025.meta.json,True,5,9638,04_NPC_Dialogue_Behavior
assets/papers/pdfs/04_NPC_Dialogue_Behavior/04_Fixed_Persona_SLMs_Braas2025.pdf,True,assets/papers/pdfs/04_NPC_Dialogue_Behavior/04_Fixed_Persona_SLMs_Braas2025.fulltext.md,True,assets/papers/pdfs/04_NPC_Dialogue_Behavior/04_Fixed_Persona_SLMs_Braas2025.meta.json,True,8,37167,04_NPC_Dialogue_Behavior
assets/papers/pdfs/04_NPC_Dialogue_Behavior/05_Character_LLM_Shao2023.pdf,True,assets/papers/pdfs/04_NPC_Dialogue_Behavior/05_Character_LLM_Shao2023.fulltext.md,True,assets/papers/pdfs/04_NPC_Dialogue_Behavior/05_Character_LLM_Shao2023.meta.json,True,35,151485,04_NPC_Dialogue_Behavior
assets/papers/pdfs/05_Multi_Agent_Social_Simulation/01_Language_Agents_RL_Werewolf_Xu2023.pdf,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/01_Language_Agents_RL_Werewolf_Xu2023.fulltext.md,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/01_Language_Agents_RL_Werewolf_Xu2023.meta.json,True,31,109180,05_Multi_Agent_Social_Simulation
assets/papers/pdfs/05_Multi_Agent_Social_Simulation/02_LSPO_Werewolf_Xu2025_ICML.pdf,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/02_LSPO_Werewolf_Xu2025_ICML.fulltext.md,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/02_LSPO_Werewolf_Xu2025_ICML.meta.json,True,23,84339,05_Multi_Agent_Social_Simulation
assets/papers/pdfs/05_Multi_Agent_Social_Simulation/03_ProAgent_Zhang2024_AAAI.pdf,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/03_ProAgent_Zhang2024_AAAI.fulltext.md,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/03_ProAgent_Zhang2024_AAAI.meta.json,True,9,45160,05_Multi_Agent_Social_Simulation
assets/papers/pdfs/05_Multi_Agent_Social_Simulation/04_S3_Social_Network_Simulation_Gao2023.pdf,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/04_S3_Social_Network_Simulation_Gao2023.fulltext.md,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/04_S3_Social_Network_Simulation_Gao2023.meta.json,True,18,60720,05_Multi_Agent_Social_Simulation
assets/papers/pdfs/05_Multi_Agent_Social_Simulation/05_SOTOPIA_Zhou2024_ICLR.pdf,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/05_SOTOPIA_Zhou2024_ICLR.fulltext.md,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/05_SOTOPIA_Zhou2024_ICLR.meta.json,True,45,125475,05_Multi_Agent_Social_Simulation
assets/papers/pdfs/06_Agent_Memory_Cognitive/01_AgeMem_Yu2026.pdf,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/01_AgeMem_Yu2026.fulltext.md,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/01_AgeMem_Yu2026.meta.json,True,25,94167,06_Agent_Memory_Cognitive
assets/papers/pdfs/06_Agent_Memory_Cognitive/02_MemGPT_Packer2023.pdf,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/02_MemGPT_Packer2023.fulltext.md,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/02_MemGPT_Packer2023.meta.json,True,13,54188,06_Agent_Memory_Cognitive
