kept_paper_id,duplicate_paper_id,reason
doi-bd0cde4f1d,doi-bd0cde4f1d,doi/url/title-year
doi-eacb2137eb,doi-eacb2137eb,doi/url/title-year
doi-520838d2e5,doi-520838d2e5,doi/url/title-year
doi-2a7616cd17,doi-2a7616cd17,doi/url/title-year
doi-f4b98490d2,doi-f4b98490d2,doi/url/title-year
doi-ffcb0fec90,doi-ffcb0fec90,doi/url/title-year
doi-7a369b3313,doi-7a369b3313,doi/url/title-year
doi-eacb2137eb,doi-eacb2137eb,doi/url/title-year
doi-4f3f1f7efe,doi-4f3f1f7efe,doi/url/title-year
doi-bd0cde4f1d,doi-bd0cde4f1d,doi/url/title-year
doi-bd0cde4f1d,doi-bd0cde4f1d,doi/url/title-year
doi-f6fad7674a,doi-f6fad7674a,doi/url/title-year
doi-2a7616cd17,doi-2a7616cd17,doi/url/title-year
doi-f80392dfc5,doi-f80392dfc5,doi/url/title-year
doi-1985177461,doi-1985177461,doi/url/title-year
doi-f97014ef9c,doi-f97014ef9c,doi/url/title-year
doi-5bdb52be3e,doi-5bdb52be3e,doi/url/title-year
doi-f4b98490d2,doi-f4b98490d2,doi/url/title-year
doi-91d768b0f5,doi-91d768b0f5,doi/url/title-year
doi-c0592d3bcc,doi-c0592d3bcc,doi/url/title-year
doi-33b9c9c1c7,doi-33b9c9c1c7,doi/url/title-year
doi-9447dec2d7,doi-9447dec2d7,doi/url/title-year
doi-326f93b537,doi-326f93b537,doi/url/title-year
doi-88e1276093,doi-88e1276093,doi/url/title-year
doi-184d7986c7,doi-184d7986c7,doi/url/title-year
doi-f739f42abd,doi-f739f42abd,doi/url/title-year
doi-f7e9a2df6b,doi-f7e9a2df6b,doi/url/title-year
doi-e3751f02d5,doi-e3751f02d5,doi/url/title-year
doi-6ed5551b96,doi-6ed5551b96,doi/url/title-year
doi-2b5bf813e5,doi-2b5bf813e5,doi/url/title-year
doi-3041f84488,doi-3041f84488,doi/url/title-year
url-289bf901b7,url-289bf901b7,doi/url/title-year
