round,baseline_cur%_n2,source_cur%_n1,broadcast_cur%_n1
0,0.0,8.0,0.0
1,6.0,24.0,100.0
2,8.0,16.0,100.0
3,8.0,20.0,100.0
4,14.0,24.0,100.0
5,20.0,36.0,100.0
6,28.0,36.0,96.0
7,26.0,32.0,100.0
8,24.0,32.0,100.0
9,26.0,36.0,100.0
10,22.0,32.0,100.0
11,28.0,28.0,100.0
12,22.0,28.0,100.0
13,20.0,28.0,100.0
14,22.0,24.0,100.0
15,16.0,32.0,100.0
16,16.0,24.0,96.0
17,16.0,24.0,96.0
18,18.0,20.0,96.0
19,16.0,20.0,96.0
20,14.0,16.0,100.0
21,14.0,16.0,92.0
22,14.0,16.0,100.0
23,14.0,16.0,100.0
24,14.0,12.0,96.0
25,14.0,8.0,96.0
26,10.0,8.0,92.0
27,10.0,8.0,92.0
28,6.0,8.0,92.0
29,6.0,4.0,92.0
