experiment_id,run_index,schedule_seed,model,memory,meetings_per_round,agent_count,rounds,turns,current,stale,unknown,held_current_rate,unsupported_specific
g1_scenarios/book_club_baseline,0,41,gpt-5.4-mini,ga,m=2,25,5,3,9,10,6,36.0,0
g1_scenarios/book_club_baseline,1,42,gpt-5.4-mini,ga,m=2,25,5,3,11,2,12,44.0,1
g1_scenarios/book_club_baseline,2,43,gpt-5.4-mini,ga,m=2,25,5,3,11,3,11,44.0,2
g1_scenarios/book_club_baseline,3,44,gpt-5.4-mini,ga,m=2,25,5,3,10,0,15,40.0,2
g1_scenarios/book_club_baseline,4,45,gpt-5.4-mini,ga,m=2,25,5,3,7,1,17,28.0,1
g1_scenarios/book_club_broadcast,0,41,gpt-5.4-mini,ga,m=2,25,5,3,25,0,0,100.0,0
g1_scenarios/book_club_broadcast,1,42,gpt-5.4-mini,ga,m=2,25,5,3,25,0,0,100.0,0
g1_scenarios/book_club_broadcast,2,43,gpt-5.4-mini,ga,m=2,25,5,3,25,0,0,100.0,0
g1_scenarios/book_club_broadcast,3,44,gpt-5.4-mini,ga,m=2,25,5,3,25,0,0,100.0,0
g1_scenarios/book_club_broadcast,4,45,gpt-5.4-mini,ga,m=2,25,5,3,24,0,1,96.0,0
g1_scenarios/book_club_source,0,41,gpt-5.4-mini,ga,m=2,25,5,3,13,6,6,52.0,0
g1_scenarios/book_club_source,1,42,gpt-5.4-mini,ga,m=2,25,5,3,14,8,3,56.0,1
g1_scenarios/book_club_source,2,43,gpt-5.4-mini,ga,m=2,25,5,3,13,3,9,52.0,1
g1_scenarios/book_club_source,3,44,gpt-5.4-mini,ga,m=2,25,5,3,9,3,13,36.0,0
g1_scenarios/book_club_source,4,45,gpt-5.4-mini,ga,m=2,25,5,3,15,0,10,60.0,3
g1_scenarios/carpool_baseline,0,41,gpt-5.4-mini,ga,m=2,25,5,3,3,0,22,12.0,8
g1_scenarios/carpool_baseline,1,42,gpt-5.4-mini,ga,m=2,25,5,3,6,0,19,24.0,7
g1_scenarios/carpool_baseline,2,43,gpt-5.4-mini,ga,m=2,25,5,3,2,0,23,8.0,14
g1_scenarios/carpool_baseline,3,44,gpt-5.4-mini,ga,m=2,25,5,3,3,0,22,12.0,13
g1_scenarios/carpool_baseline,4,45,gpt-5.4-mini,ga,m=2,25,5,3,2,0,23,8.0,13
g1_scenarios/carpool_broadcast,0,41,gpt-5.4-mini,ga,m=2,25,5,3,25,0,0,100.0,0
g1_scenarios/carpool_broadcast,1,42,gpt-5.4-mini,ga,m=2,25,5,3,25,0,0,100.0,0
g1_scenarios/carpool_broadcast,2,43,gpt-5.4-mini,ga,m=2,25,5,3,25,0,0,100.0,0
g1_scenarios/carpool_broadcast,3,44,gpt-5.4-mini,ga,m=2,25,5,3,25,0,0,100.0,0
g1_scenarios/carpool_broadcast,4,45,gpt-5.4-mini,ga,m=2,25,5,3,25,0,0,100.0,0
g1_scenarios/carpool_source,0,41,gpt-5.4-mini,ga,m=2,25,5,3,5,0,20,20.0,16
g1_scenarios/carpool_source,1,42,gpt-5.4-mini,ga,m=2,25,5,3,4,0,21,16.0,8
g1_scenarios/carpool_source,2,43,gpt-5.4-mini,ga,m=2,25,5,3,3,0,22,12.0,8
g1_scenarios/carpool_source,3,44,gpt-5.4-mini,ga,m=2,25,5,3,5,0,20,20.0,12
g1_scenarios/carpool_source,4,45,gpt-5.4-mini,ga,m=2,25,5,3,3,0,22,12.0,10
g2_persona/baseline,0,41,gpt-5.4-mini,ga,m=2,25,5,3,4,9,12,16.0,1
g2_persona/baseline,1,42,gpt-5.4-mini,ga,m=2,25,5,3,6,0,19,24.0,2
g2_persona/baseline,2,43,gpt-5.4-mini,ga,m=2,25,5,3,2,4,19,8.0,0
g2_persona/baseline,3,44,gpt-5.4-mini,ga,m=2,25,5,3,2,0,23,8.0,3
g2_persona/baseline,4,45,gpt-5.4-mini,ga,m=2,25,5,3,4,0,21,16.0,2
g2_persona/broadcast,0,41,gpt-5.4-mini,ga,m=2,25,5,3,24,0,1,96.0,0
g2_persona/broadcast,1,42,gpt-5.4-mini,ga,m=2,25,5,3,25,0,0,100.0,0
g2_persona/broadcast,2,43,gpt-5.4-mini,ga,m=2,25,5,3,25,0,0,100.0,0
g2_persona/broadcast,3,44,gpt-5.4-mini,ga,m=2,25,5,3,24,0,1,96.0,0
g2_persona/broadcast,4,45,gpt-5.4-mini,ga,m=2,25,5,3,25,0,0,100.0,0
g2_persona/source,0,41,gpt-5.4-mini,ga,m=2,25,5,3,4,3,18,16.0,2
g2_persona/source,1,42,gpt-5.4-mini,ga,m=2,25,5,3,3,4,18,12.0,4
g2_persona/source,2,43,gpt-5.4-mini,ga,m=2,25,5,3,2,6,17,8.0,3
g2_persona/source,3,44,gpt-5.4-mini,ga,m=2,25,5,3,3,0,22,12.0,3
g2_persona/source,4,45,gpt-5.4-mini,ga,m=2,25,5,3,3,5,17,12.0,1
m0_strong/seed_41,0,41,gpt-5.4,ga,m=2,25,5,3,5,5,15,20.0,1
m0_strong/seed_42,0,42,gpt-5.4,ga,m=2,25,5,3,5,5,15,20.0,3
m0_strong/seed_43,0,43,gpt-5.4,ga,m=2,25,5,3,5,17,3,20.0,0
m0_strong55/seed_41,0,41,gpt-5.5,ga,m=2,25,5,3,5,16,4,20.0,2
m0_strong55/seed_42,0,42,gpt-5.5,ga,m=2,25,5,3,7,0,18,28.0,4
m0_strong55/seed_43,0,43,gpt-5.5,ga,m=2,25,5,3,4,14,7,16.0,0
m1/m1_gpt-5.4,0,41,gpt-5.4,ga,m=1,25,5,3,8,0,17,32.0,4
m1/m1_gpt-5.4,1,42,gpt-5.4,ga,m=1,25,5,3,5,13,7,20.0,3
m1/m1_gpt-5.4,2,43,gpt-5.4,ga,m=1,25,5,3,8,0,17,32.0,7
m1/m1_gpt-5.4-mini,0,41,gpt-5.4-mini,ga,m=1,25,5,3,2,4,19,8.0,5
m1/m1_gpt-5.4-mini,1,42,gpt-5.4-mini,ga,m=1,25,5,3,5,5,15,20.0,3
m1/m1_gpt-5.4-mini,2,43,gpt-5.4-mini,ga,m=1,25,5,3,1,6,18,4.0,7
m1/m1_gpt-5.5,0,41,gpt-5.5,ga,m=1,25,5,3,3,11,11,12.0,2
m1/m1_gpt-5.5,1,42,gpt-5.5,ga,m=1,25,5,3,5,15,5,20.0,0
m1/m1_gpt-5.5,2,43,gpt-5.5,ga,m=1,25,5,3,4,9,12,16.0,4
m1/m3_gpt-5.4,0,41,gpt-5.4,ga,m=3,25,5,3,6,15,4,24.0,1
m1/m3_gpt-5.4,1,42,gpt-5.4,ga,m=3,25,5,3,5,9,11,20.0,7
m1/m3_gpt-5.4,2,43,gpt-5.4,ga,m=3,25,5,3,10,5,10,40.0,0
m1/m3_gpt-5.4-mini,0,41,gpt-5.4-mini,ga,m=3,25,5,3,5,0,20,20.0,1
m1/m3_gpt-5.4-mini,1,42,gpt-5.4-mini,ga,m=3,25,5,3,9,6,10,36.0,1
m1/m3_gpt-5.4-mini,2,43,gpt-5.4-mini,ga,m=3,25,5,3,2,7,16,8.0,3
m1/m3_gpt-5.5,0,41,gpt-5.5,ga,m=3,25,5,3,5,3,17,20.0,7
m1/m3_gpt-5.5,1,42,gpt-5.5,ga,m=3,25,5,3,10,12,3,40.0,0
m1/m3_gpt-5.5,2,43,gpt-5.5,ga,m=3,25,5,3,1,14,10,4.0,4
m2_memory/ga,0,41,gpt-5.4-mini,ga,m=2,25,5,3,4,2,19,16.0,0
m2_memory/ga,1,42,gpt-5.4-mini,ga,m=2,25,5,3,5,4,16,20.0,0
m2_memory/ga,2,43,gpt-5.4-mini,ga,m=2,25,5,3,6,3,16,24.0,1
m2_memory/raw,0,41,gpt-5.4-mini,raw,m=2,25,5,3,7,0,18,28.0,2
m2_memory/raw,1,42,gpt-5.4-mini,raw,m=2,25,5,3,1,1,23,4.0,9
m2_memory/raw,2,43,gpt-5.4-mini,raw,m=2,25,5,3,2,2,21,8.0,3
m2_memory/smga,0,41,gpt-5.4-mini,smga,m=2,25,5,3,10,0,15,40.0,0
m2_memory/smga,1,42,gpt-5.4-mini,smga,m=2,25,5,3,10,14,1,40.0,0
m2_memory/smga,2,43,gpt-5.4-mini,smga,m=2,25,5,3,3,21,1,12.0,1
m2_memory/smga3g,0,41,gpt-5.4-mini,smga3g,m=2,25,5,3,15,0,10,60.0,4
m2_memory/smga3g,1,42,gpt-5.4-mini,smga3g,m=2,25,5,3,24,0,1,96.0,0
m2_memory/smga3g,2,43,gpt-5.4-mini,smga3g,m=2,25,5,3,3,0,22,12.0,3
m3_verify/ga_m2,0,41,gpt-5.4-mini,ga,m=2,25,5,3,5,0,20,20.0,2
m3_verify/ga_m2,1,42,gpt-5.4-mini,ga,m=2,25,5,3,4,1,20,16.0,6
m3_verify/ga_m2,2,43,gpt-5.4-mini,ga,m=2,25,5,3,7,0,18,28.0,1
m3_verify/ga_m2,3,44,gpt-5.4-mini,ga,m=2,25,5,3,4,4,17,16.0,4
m3_verify/ga_m2,4,45,gpt-5.4-mini,ga,m=2,25,5,3,1,3,21,4.0,3
m3_verify/ga_m3,1,42,gpt-5.4-mini,ga,m=3,25,5,3,1,2,22,4.0,0
m3_verify/ga_m3,2,43,gpt-5.4-mini,ga,m=3,25,5,3,4,3,18,16.0,3
m3_verify/ga_m3,3,44,gpt-5.4-mini,ga,m=3,25,5,3,4,2,19,16.0,1
m3_verify/ga_m3,4,45,gpt-5.4-mini,ga,m=3,25,5,3,3,2,20,12.0,2
m3_verify/smga3g_m2,0,41,gpt-5.4-mini,smga3g,m=2,25,5,3,6,5,14,24.0,2
m3_verify/smga3g_m2,1,42,gpt-5.4-mini,smga3g,m=2,25,5,3,5,8,12,20.0,1
m3_verify/smga3g_m2,2,43,gpt-5.4-mini,smga3g,m=2,25,5,3,3,0,22,12.0,7
