audit_id,annotator_id,completion_label,feasibility_label,replan_label,evidence_sufficient,first_invalid_step,confidence,notes
H001,annotator_a,,,,,,,
H002,annotator_a,,,,,,,
H003,annotator_a,,,,,,,
H004,annotator_a,,,,,,,
H005,annotator_a,,,,,,,
H006,annotator_a,,,,,,,
H007,annotator_a,,,,,,,
H008,annotator_a,,,,,,,
H009,annotator_a,,,,,,,
H010,annotator_a,,,,,,,
H011,annotator_a,,,,,,,
H012,annotator_a,,,,,,,
H013,annotator_a,,,,,,,
H014,annotator_a,,,,,,,
H015,annotator_a,,,,,,,
H016,annotator_a,,,,,,,
