audit_id,annotator_id,completion_label,feasibility_label,replan_label,evidence_sufficient,first_invalid_step,confidence,notes
H001,annotator_b,,,,,,,
H002,annotator_b,,,,,,,
H003,annotator_b,,,,,,,
H004,annotator_b,,,,,,,
H005,annotator_b,,,,,,,
H006,annotator_b,,,,,,,
H007,annotator_b,,,,,,,
H008,annotator_b,,,,,,,
H009,annotator_b,,,,,,,
H010,annotator_b,,,,,,,
H011,annotator_b,,,,,,,
H012,annotator_b,,,,,,,
H013,annotator_b,,,,,,,
H014,annotator_b,,,,,,,
H015,annotator_b,,,,,,,
H016,annotator_b,,,,,,,
