audit_id,repeat_id,scenario_id,agent_type,goal_completion,trace_feasibility,replanning_success,verified_replan_count,violation_count,failure_taxonomy,source_path
H001,1,school_pickup_social_detour,generative_agents_official_planner,0.8,0.75,,0,1,"{""impossible_route"": 1}",6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_01\traces\traces.json
H002,3,detour_commute_midroute_block,gatsim_official_planner,1.0,1.0,1.0,1,0,{},6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_03\traces\traces.json
H003,3,closed_study_spot_replacement,gatsim_official_planner,1.0,1.0,,0,0,{},6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_03\traces\traces.json
H004,2,closed_study_spot_replacement,agentsociety_official_plan_blocks,0.7,0.143,,0,6,"{""money_budget_failure"": 5, ""time_budget_failure"": 1}",6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_02\traces\traces.json
H005,2,meeting_wait_trap,generative_agents_official_planner,1.0,1.0,,0,0,{},6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_02\traces\traces.json
H006,3,school_pickup_social_detour,agentsociety_official_plan_blocks,0.8,1.0,,0,0,{},6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_03\traces\traces.json
H007,1,detour_commute_midroute_block,agentsociety_official_plan_blocks,1.0,1.0,1.0,1,0,{},6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_01\traces\traces.json
H008,1,closed_study_spot_replacement,generative_agents_official_planner,0.7,0.4,,0,3,"{""impossible_route"": 1, ""money_budget_failure"": 2}",6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_01\traces\traces.json
H009,1,detour_commute_midroute_block,sotopia_official_llm_agent,0.65,1.0,1.0,1,0,{},6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_01\traces\traces.json
H010,1,school_pickup_social_detour,gatsim_official_planner,0.8,1.0,,0,0,{},6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_01\traces\traces.json
H011,1,meeting_wait_trap,agentsociety_official_plan_blocks,0.35,0.625,,0,3,"{""invalid_state_transition"": 3}",6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_01\traces\traces.json
H012,1,detour_commute_midroute_block,generative_agents_official_planner,0.65,0.6,0.0,0,2,"{""impossible_route"": 1, ""invalid_state_transition"": 1}",6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_01\traces\traces.json
H013,3,meeting_wait_trap,gatsim_official_planner,0.35,1.0,,0,0,"{""goal_drift"": 1}",6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_03\traces\traces.json
H014,1,closed_study_spot_replacement,sotopia_official_llm_agent,0.4,0.5,,0,1,"{""invalid_state_transition"": 1}",6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_01\traces\traces.json
H015,2,meeting_wait_trap,sotopia_official_llm_agent,0.55,1.0,,0,0,{},6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_02\traces\traces.json
H016,1,school_pickup_social_detour,sotopia_official_llm_agent,0.35,1.0,,0,0,"{""goal_drift"": 1}",6-city\results\cityintent_v03\external_frameworks_4x4x3_gpt54mini_2026-07-01\repeat_01\traces\traces.json
