world,scenario_id,construct,model,policy,task_completion,trace_feasibility,intention_consistency,full_task
v0,ci11w3_comp_metro_radial_v1_v0,compound_long_horizon,Claude,PlanExec,0.612,1.0,0.67,0.0
v0,ci11w3_disr_harbor_grid_v1_v0,disruption_recovery,Claude,PlanExec,0.0,1.0,0.65,0.0
v0,ci11w3_memo_metro_radial_v1_v0,memory_conditioned_preference,Claude,PlanExec,0.0,1.0,0.15,0.0
v0,ci11w3_mult_harbor_grid_v1_v0,multi_party_commitment,Claude,PlanExec,0.625,1.0,0.7,0.0
v0,ci11w3_poi__harbor_grid_v1_v0,poi_availability_service_evidence,Claude,PlanExec,0.0,1.0,0.2,0.0
v0,ci11w3_reso_suburb_polycentric_v1_v0,resource_budget_allocation,Claude,PlanExec,0.412,1.0,0.5,0.0
v0,ci11w3_soci_suburb_polycentric_v1_v0,social_coordination_copresence,Claude,PlanExec,0.0,0.875,0.0,0.0
v0,ci11w3_time_metro_radial_v1_v0,time_window_scheduling,Claude,PlanExec,0.0,1.0,0.3,0.0
v0,ci11w3_comp_metro_radial_v1_v0,compound_long_horizon,Claude,ReAct,1.0,0.909,0.773,1.0
v0,ci11w3_disr_harbor_grid_v1_v0,disruption_recovery,Claude,ReAct,1.0,1.0,1.0,1.0
v0,ci11w3_memo_metro_radial_v1_v0,memory_conditioned_preference,Claude,ReAct,1.0,1.0,0.8,1.0
v0,ci11w3_mult_harbor_grid_v1_v0,multi_party_commitment,Claude,ReAct,0.625,1.0,0.7,0.0
v0,ci11w3_poi__harbor_grid_v1_v0,poi_availability_service_evidence,Claude,ReAct,1.0,1.0,1.0,1.0
v0,ci11w3_reso_suburb_polycentric_v1_v0,resource_budget_allocation,Claude,ReAct,0.824,1.0,0.85,0.0
v0,ci11w3_soci_suburb_polycentric_v1_v0,social_coordination_copresence,Claude,ReAct,1.0,1.0,1.0,1.0
v0,ci11w3_time_metro_radial_v1_v0,time_window_scheduling,Claude,ReAct,1.0,1.0,1.0,1.0
v0,ci11w3_comp_metro_radial_v1_v0,compound_long_horizon,DeepSeek,PlanExec,1.0,1.0,1.0,1.0
v0,ci11w3_disr_harbor_grid_v1_v0,disruption_recovery,DeepSeek,PlanExec,0.0,1.0,0.65,0.0
v0,ci11w3_memo_metro_radial_v1_v0,memory_conditioned_preference,DeepSeek,PlanExec,0.0,1.0,0.15,0.0
v0,ci11w3_mult_harbor_grid_v1_v0,multi_party_commitment,DeepSeek,PlanExec,0.625,1.0,0.7,0.0
v0,ci11w3_poi__harbor_grid_v1_v0,poi_availability_service_evidence,DeepSeek,PlanExec,0.0,1.0,0.2,0.0
v0,ci11w3_reso_suburb_polycentric_v1_v0,resource_budget_allocation,DeepSeek,PlanExec,0.588,1.0,0.65,0.0
v0,ci11w3_soci_suburb_polycentric_v1_v0,social_coordination_copresence,DeepSeek,PlanExec,0.0,0.875,0.0,0.0
v0,ci11w3_time_metro_radial_v1_v0,time_window_scheduling,DeepSeek,PlanExec,0.5,1.0,0.65,0.0
v0,ci11w3_comp_metro_radial_v1_v0,compound_long_horizon,DeepSeek,ReAct,1.0,1.0,1.0,1.0
v0,ci11w3_disr_harbor_grid_v1_v0,disruption_recovery,DeepSeek,ReAct,1.0,1.0,1.0,1.0
v0,ci11w3_memo_metro_radial_v1_v0,memory_conditioned_preference,DeepSeek,ReAct,1.0,1.0,0.8,1.0
v0,ci11w3_mult_harbor_grid_v1_v0,multi_party_commitment,DeepSeek,ReAct,0.625,1.0,0.7,0.0
v0,ci11w3_poi__harbor_grid_v1_v0,poi_availability_service_evidence,DeepSeek,ReAct,1.0,1.0,1.0,1.0
v0,ci11w3_reso_suburb_polycentric_v1_v0,resource_budget_allocation,DeepSeek,ReAct,1.0,1.0,1.0,1.0
v0,ci11w3_soci_suburb_polycentric_v1_v0,social_coordination_copresence,DeepSeek,ReAct,1.0,1.0,1.0,1.0
v0,ci11w3_time_metro_radial_v1_v0,time_window_scheduling,DeepSeek,ReAct,1.0,1.0,1.0,1.0
v0,ci11w3_comp_metro_radial_v1_v0,compound_long_horizon,Qwen,PlanExec,0.471,0.929,0.371,0.0
v0,ci11w3_disr_harbor_grid_v1_v0,disruption_recovery,Qwen,PlanExec,0.0,1.0,0.4,0.0
v0,ci11w3_memo_metro_radial_v1_v0,memory_conditioned_preference,Qwen,PlanExec,0.0,1.0,0.15,0.0
v0,ci11w3_mult_harbor_grid_v1_v0,multi_party_commitment,Qwen,PlanExec,0.125,1.0,0.3,0.0
