scenario_id,construct,systems_observed,systems_expected,coverage_complete,mean_task,min_task,max_task,range,corrected_item_total_correlation,negative_item_total,all_observed_ceiling,all_observed_floor,discriminating,wave,world
ci11n_comp_metro_radial_v1_v0,compound_long_horizon,6,6,True,0.766667,0.65,1.0,0.35,0.645285,False,False,False,True,Base,v0
ci11n_disr_harbor_grid_v1_v0,disruption_recovery,6,6,True,0.5,0.0,1.0,1.0,0.920298,False,False,False,True,Base,v0
ci11n_memo_metro_radial_v1_v0,memory_conditioned_preference,6,6,True,0.5,0.0,1.0,1.0,0.920298,False,False,False,True,Base,v0
ci11n_mult_harbor_grid_v1_v0,multi_party_commitment,6,6,True,0.533333,0.0,1.0,1.0,0.52305,False,False,False,True,Base,v0
ci11n_poi__harbor_grid_v1_v0,poi_availability_service_evidence,6,6,True,0.666667,0.5,1.0,0.5,0.715445,False,False,False,True,Base,v0
ci11n_reso_suburb_polycentric_v1_v0,resource_budget_allocation,6,6,True,0.75,0.5,1.0,0.5,0.937485,False,False,False,True,Base,v0
ci11n_soci_suburb_polycentric_v1_v0,social_coordination_copresence,6,6,True,0.791667,0.375,1.0,0.625,0.81767,False,False,False,True,Base,v0
ci11n_time7_metro_radial_v1_v0,time_window_scheduling,6,6,True,0.572667,0.0,1.0,1.0,0.797515,False,False,False,True,Base,v0
ci11n_comp_suburb_polycentric_v1_v1,compound_long_horizon,6,6,True,0.708333,0.65,1.0,0.35,0.535985,False,False,False,True,Base,v1
ci11n_disr_metro_radial_v1_v1,disruption_recovery,6,6,True,0.666667,0.0,1.0,1.0,0.395742,False,False,False,True,Base,v1
ci11n_memo_suburb_polycentric_v1_v1,memory_conditioned_preference,6,6,True,0.5,0.0,1.0,1.0,0.938535,False,False,False,True,Base,v1
ci11n_mult_metro_radial_v1_v1,multi_party_commitment,6,6,True,0.583333,0.0,1.0,1.0,0.606262,False,False,False,True,Base,v1
ci11n_poi__metro_radial_v1_v1,poi_availability_service_evidence,6,6,True,0.833333,0.0,1.0,1.0,0.433992,False,False,False,True,Base,v1
ci11n_reso_harbor_grid_v1_v1,resource_budget_allocation,6,6,True,0.583333,0.0,1.0,1.0,0.718532,False,False,False,True,Base,v1
ci11n_soci_harbor_grid_v1_v1,social_coordination_copresence,6,6,True,0.6875,0.375,1.0,0.625,0.949978,False,False,False,True,Base,v1
ci11n_time7_suburb_polycentric_v1_v1,time_window_scheduling,6,6,True,0.6455,0.437,1.0,0.563,0.830593,False,False,False,True,Base,v1
ci11n_comp_harbor_grid_v1_v2,compound_long_horizon,6,6,True,0.708333,0.3,1.0,0.7,0.54716,False,False,False,True,Base,v2
ci11n_disr_suburb_polycentric_v1_v2,disruption_recovery,6,6,True,0.5,0.0,1.0,1.0,0.954305,False,False,False,True,Base,v2
ci11n_memo_harbor_grid_v1_v2,memory_conditioned_preference,6,6,True,0.5,0.0,1.0,1.0,0.954305,False,False,False,True,Base,v2
ci11n_mult_suburb_polycentric_v1_v2,multi_party_commitment,6,6,True,0.583333,0.0,1.0,1.0,0.594089,False,False,False,True,Base,v2
ci11n_poi__suburb_polycentric_v1_v2,poi_availability_service_evidence,6,6,True,0.666667,0.0,1.0,1.0,0.460549,False,False,False,True,Base,v2
ci11n_reso_metro_radial_v1_v2,resource_budget_allocation,6,6,True,0.75,0.5,1.0,0.5,0.964028,False,False,False,True,Base,v2
ci11n_soci_metro_radial_v1_v2,social_coordination_copresence,6,6,True,0.6875,0.375,1.0,0.625,0.961905,False,False,False,True,Base,v2
ci11n_time7_harbor_grid_v1_v2,time_window_scheduling,6,6,True,0.812333,0.437,1.0,0.563,0.760716,False,False,False,True,Base,v2
ci11w2_comp_metro_radial_v1_v0,compound_long_horizon,6,6,True,0.847167,0.471,1.0,0.529,0.70783,False,False,False,True,Wave-2,v0
ci11w2_disr_harbor_grid_v1_v0,disruption_recovery,6,6,True,0.5,0.0,1.0,1.0,0.942299,False,False,False,True,Wave-2,v0
ci11w2_memo_metro_radial_v1_v0,memory_conditioned_preference,6,6,True,0.4285,0.0,1.0,1.0,0.975042,False,False,False,True,Wave-2,v0
ci11w2_mult_harbor_grid_v1_v0,multi_party_commitment,6,6,True,0.270833,0.125,1.0,0.875,0.514684,False,False,False,True,Wave-2,v0
ci11w2_poi__harbor_grid_v1_v0,poi_availability_service_evidence,6,6,True,0.5,0.0,1.0,1.0,0.942299,False,False,False,True,Wave-2,v0
ci11w2_reso_suburb_polycentric_v1_v0,resource_budget_allocation,6,6,True,0.875,0.625,1.0,0.375,0.728307,False,False,False,True,Wave-2,v0
ci11w2_soci_suburb_polycentric_v1_v0,social_coordination_copresence,6,6,True,0.5,0.25,1.0,0.75,0.784446,False,False,False,True,Wave-2,v0
ci11w2_time_metro_radial_v1_v0,time_window_scheduling,6,6,True,0.75,0.5,1.0,0.5,0.954338,False,False,False,True,Wave-2,v0
ci11w2_comp_suburb_polycentric_v1_v1,compound_long_horizon,6,6,True,0.6785,0.376,1.0,0.624,0.49961,False,False,False,True,Wave-2,v1
ci11w2_disr_metro_radial_v1_v1,disruption_recovery,6,6,True,0.5,0.0,1.0,1.0,0.949859,False,False,False,True,Wave-2,v1
ci11w2_memo_suburb_polycentric_v1_v1,memory_conditioned_preference,6,6,True,0.5,0.0,1.0,1.0,0.949859,False,False,False,True,Wave-2,v1
ci11w2_mult_metro_radial_v1_v1,multi_party_commitment,6,6,True,0.270833,0.125,1.0,0.875,0.559086,False,False,False,True,Wave-2,v1
ci11w2_poi__metro_radial_v1_v1,poi_availability_service_evidence,6,6,True,0.5,0.0,1.0,1.0,0.949859,False,False,False,True,Wave-2,v1
ci11w2_reso_harbor_grid_v1_v1,resource_budget_allocation,6,6,True,0.875,0.5,1.0,0.5,0.209851,False,False,False,True,Wave-2,v1
ci11w2_soci_harbor_grid_v1_v1,social_coordination_copresence,6,6,True,0.5,0.25,1.0,0.75,0.684793,False,False,False,True,Wave-2,v1
ci11w2_time_suburb_polycentric_v1_v1,time_window_scheduling,6,6,True,0.833333,0.5,1.0,0.5,0.607752,False,False,False,True,Wave-2,v1
ci11w2_comp_harbor_grid_v1_v2,compound_long_horizon,6,6,True,0.735167,0.353,1.0,0.647,0.948244,False,False,False,True,Wave-2,v2
ci11w2_disr_suburb_polycentric_v1_v2,disruption_recovery,6,6,True,0.5,0.0,1.0,1.0,0.987005,False,False,False,True,Wave-2,v2
ci11w2_memo_harbor_grid_v1_v2,memory_conditioned_preference,6,6,True,0.5,0.0,1.0,1.0,0.987005,False,False,False,True,Wave-2,v2
ci11w2_mult_suburb_polycentric_v1_v2,multi_party_commitment,6,6,True,0.352667,0.176,1.0,0.824,0.204496,False,False,False,True,Wave-2,v2
ci11w2_poi__suburb_polycentric_v1_v2,poi_availability_service_evidence,6,6,True,0.5,0.0,1.0,1.0,0.987005,False,False,False,True,Wave-2,v2
ci11w2_reso_metro_radial_v1_v2,resource_budget_allocation,6,6,True,0.875,0.625,1.0,0.375,0.691443,False,False,False,True,Wave-2,v2
ci11w2_soci_metro_radial_v1_v2,social_coordination_copresence,6,6,True,0.5,0.25,1.0,0.75,0.693861,False,False,False,True,Wave-2,v2
ci11w2_time_harbor_grid_v1_v2,time_window_scheduling,6,6,True,0.572833,0.0,1.0,1.0,0.038723,False,False,False,True,Wave-2,v2
ci11w3_comp_metro_radial_v1_v0,compound_long_horizon,6,6,True,0.847167,0.471,1.0,0.529,0.714587,False,False,False,True,Wave-3,v0
ci11w3_disr_harbor_grid_v1_v0,disruption_recovery,6,6,True,0.5,0.0,1.0,1.0,0.99003,False,False,False,True,Wave-3,v0
ci11w3_memo_metro_radial_v1_v0,memory_conditioned_preference,6,6,True,0.5,0.0,1.0,1.0,0.99003,False,False,False,True,Wave-3,v0
ci11w3_mult_harbor_grid_v1_v0,multi_party_commitment,6,6,True,0.541667,0.125,0.625,0.5,0.396697,False,False,False,True,Wave-3,v0
ci11w3_poi__harbor_grid_v1_v0,poi_availability_service_evidence,6,6,True,0.666667,0.0,1.0,1.0,0.587558,False,False,False,True,Wave-3,v0
ci11w3_reso_suburb_polycentric_v1_v0,resource_budget_allocation,6,6,True,0.637333,0.0,1.0,1.0,0.837802,False,False,False,True,Wave-3,v0
ci11w3_soci_suburb_polycentric_v1_v0,social_coordination_copresence,6,6,True,0.5,0.0,1.0,1.0,0.99003,False,False,False,True,Wave-3,v0
ci11w3_time_metro_radial_v1_v0,time_window_scheduling,6,6,True,0.666667,0.0,1.0,1.0,0.907066,False,False,False,True,Wave-3,v0
