scenario_id,construct,systems_observed,systems_expected,coverage_complete,mean_task,min_task,max_task,range,corrected_item_total_correlation,negative_item_total,all_observed_ceiling,all_observed_floor,discriminating,world
ci11w3_comp_metro_radial_v1_v0,compound_long_horizon,6,6,True,0.847167,0.471,1.0,0.529,0.714587,False,False,False,True,v0
ci11w3_disr_harbor_grid_v1_v0,disruption_recovery,6,6,True,0.5,0.0,1.0,1.0,0.99003,False,False,False,True,v0
ci11w3_memo_metro_radial_v1_v0,memory_conditioned_preference,6,6,True,0.5,0.0,1.0,1.0,0.99003,False,False,False,True,v0
ci11w3_mult_harbor_grid_v1_v0,multi_party_commitment,6,6,True,0.541667,0.125,0.625,0.5,0.396697,False,False,False,True,v0
ci11w3_poi__harbor_grid_v1_v0,poi_availability_service_evidence,6,6,True,0.666667,0.0,1.0,1.0,0.587558,False,False,False,True,v0
ci11w3_reso_suburb_polycentric_v1_v0,resource_budget_allocation,6,6,True,0.637333,0.0,1.0,1.0,0.837802,False,False,False,True,v0
ci11w3_soci_suburb_polycentric_v1_v0,social_coordination_copresence,6,6,True,0.5,0.0,1.0,1.0,0.99003,False,False,False,True,v0
ci11w3_time_metro_radial_v1_v0,time_window_scheduling,6,6,True,0.666667,0.0,1.0,1.0,0.907066,False,False,False,True,v0
ci11w3_comp_suburb_polycentric_v1_v1,compound_long_horizon,6,6,True,0.704,0.376,1.0,0.624,0.91997,False,False,False,True,v1
ci11w3_disr_metro_radial_v1_v1,disruption_recovery,6,6,True,0.5,0.0,1.0,1.0,0.986507,False,False,False,True,v1
ci11w3_memo_suburb_polycentric_v1_v1,memory_conditioned_preference,6,6,True,0.5,0.0,1.0,1.0,0.986507,False,False,False,True,v1
ci11w3_mult_metro_radial_v1_v1,multi_party_commitment,6,6,True,0.458333,0.0,0.75,0.75,0.763541,False,False,False,True,v1
ci11w3_poi__metro_radial_v1_v1,poi_availability_service_evidence,6,6,True,0.5,0.0,1.0,1.0,0.986507,False,False,False,True,v1
ci11w3_reso_harbor_grid_v1_v1,resource_budget_allocation,6,6,True,0.676667,0.412,1.0,0.588,0.953854,False,False,False,True,v1
ci11w3_soci_harbor_grid_v1_v1,social_coordination_copresence,6,6,True,0.5,0.0,1.0,1.0,0.986507,False,False,False,True,v1
ci11w3_time_suburb_polycentric_v1_v1,time_window_scheduling,6,6,True,0.666667,0.0,1.0,1.0,0.904411,False,False,False,True,v1
ci11w3_comp_harbor_grid_v1_v2,compound_long_horizon,6,6,True,0.713,0.333,1.0,0.667,0.961871,False,False,False,True,v2
ci11w3_disr_suburb_polycentric_v1_v2,disruption_recovery,6,6,True,0.333333,0.0,1.0,1.0,0.706426,False,False,False,True,v2
ci11w3_memo_harbor_grid_v1_v2,memory_conditioned_preference,6,6,True,0.5,0.0,1.0,1.0,0.988284,False,False,False,True,v2
ci11w3_mult_suburb_polycentric_v1_v2,multi_party_commitment,6,6,True,0.352833,0.0,0.765,0.765,0.905925,False,False,False,True,v2
ci11w3_poi__suburb_polycentric_v1_v2,poi_availability_service_evidence,6,6,True,0.5,0.0,1.0,1.0,0.988284,False,False,False,True,v2
ci11w3_reso_metro_radial_v1_v2,resource_budget_allocation,6,6,True,0.774667,0.0,1.0,1.0,0.410793,False,False,False,True,v2
ci11w3_soci_metro_radial_v1_v2,social_coordination_copresence,6,6,True,0.5,0.0,1.0,1.0,0.988284,False,False,False,True,v2
ci11w3_time_harbor_grid_v1_v2,time_window_scheduling,6,6,True,0.833333,0.5,1.0,0.5,0.626393,False,False,False,True,v2
