scenario_id,construct_family,passed,oracle_task_completion,oracle_trace_feasibility,oracle_violations,negative_task_completion,negative_trace_feasibility,headroom
ci11w3_comp_harbor_grid_v1_v2,compound_long_horizon,True,1.0,1.0,0,0.389,1.0,0.611
ci11w3_comp_metro_radial_v1_v0,compound_long_horizon,True,1.0,1.0,0,0.471,1.0,0.529
ci11w3_comp_suburb_polycentric_v1_v1,compound_long_horizon,True,1.0,1.0,0,0.471,1.0,0.529
ci11w3_disr_harbor_grid_v1_v0,disruption_recovery,True,1.0,1.0,0,0.0,1.0,1.0
ci11w3_disr_metro_radial_v1_v1,disruption_recovery,True,1.0,1.0,0,0.0,1.0,1.0
ci11w3_disr_suburb_polycentric_v1_v2,disruption_recovery,True,1.0,1.0,0,0.0,1.0,1.0
ci11w3_memo_harbor_grid_v1_v2,memory_conditioned_preference,True,1.0,1.0,0,0.0,1.0,1.0
ci11w3_memo_metro_radial_v1_v0,memory_conditioned_preference,True,1.0,1.0,0,0.0,1.0,1.0
ci11w3_memo_suburb_polycentric_v1_v1,memory_conditioned_preference,True,1.0,1.0,0,0.0,1.0,1.0
ci11w3_mult_harbor_grid_v1_v0,multi_party_commitment,True,1.0,1.0,0,0.0,0.75,1.0
ci11w3_mult_metro_radial_v1_v1,multi_party_commitment,True,1.0,1.0,0,0.0,0.75,1.0
ci11w3_mult_suburb_polycentric_v1_v2,multi_party_commitment,True,1.0,1.0,0,0.0,0.75,1.0
ci11w3_poi__harbor_grid_v1_v0,poi_availability_service_evidence,True,1.0,1.0,0,0.0,1.0,1.0
ci11w3_poi__metro_radial_v1_v1,poi_availability_service_evidence,True,1.0,1.0,0,0.0,1.0,1.0
ci11w3_poi__suburb_polycentric_v1_v2,poi_availability_service_evidence,True,1.0,1.0,0,0.0,1.0,1.0
ci11w3_reso_harbor_grid_v1_v1,resource_budget_allocation,True,1.0,1.0,0,0.412,1.0,0.588
ci11w3_reso_metro_radial_v1_v2,resource_budget_allocation,True,1.0,1.0,0,0.412,1.0,0.588
ci11w3_reso_suburb_polycentric_v1_v0,resource_budget_allocation,True,1.0,1.0,0,0.412,1.0,0.588
ci11w3_soci_harbor_grid_v1_v1,social_coordination_copresence,True,1.0,1.0,0,0.0,0.75,1.0
ci11w3_soci_metro_radial_v1_v2,social_coordination_copresence,True,1.0,1.0,0,0.0,0.75,1.0
ci11w3_soci_suburb_polycentric_v1_v0,social_coordination_copresence,True,1.0,1.0,0,0.0,0.75,1.0
ci11w3_time_harbor_grid_v1_v2,time_window_scheduling,True,1.0,1.0,0,0.0,1.0,1.0
ci11w3_time_metro_radial_v1_v0,time_window_scheduling,True,1.0,1.0,0,0.0,1.0,1.0
ci11w3_time_suburb_polycentric_v1_v1,time_window_scheduling,True,1.0,1.0,0,0.0,1.0,1.0
