agent_type,failure,count,rate_per_trace
api_llm_direct_actor,closed_place_action,4,0.111
api_llm_direct_actor,done_state_loop,8,0.222
api_llm_direct_actor,goal_drift,4,0.111
api_llm_direct_actor,impossible_route,1,0.028
api_llm_direct_actor,money_budget_failure,1,0.028
api_llm_direct_actor,social_derailment,3,0.083
api_llm_direct_actor,time_budget_failure,1,0.028
api_llm_plan_then_act,closed_place_action,5,0.139
api_llm_plan_then_act,money_budget_failure,3,0.083
api_llm_reactive_replanner,closed_place_action,3,0.083
api_llm_reactive_replanner,done_state_loop,1,0.028
api_llm_reactive_replanner,impossible_route,3,0.083
api_llm_reactive_replanner,money_budget_failure,1,0.028
utility_planner,closed_place_action,3,0.083
utility_planner,impossible_route,6,0.167
