scenario_id,agent_type,n,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std,replanning_success_mean,replanning_success_std,social_appropriateness_mean,social_appropriateness_std
avoid_crowd_event,api_llm_direct_actor,3,1.0,0.0,0.944,0.096,1.0,0.0,0.787,0.07,0.513,0.129,0.273,0.081,0.056,0.096,0.333,0.577,0.0,0.0,1.0,0.0,0.056,0.096,0.938,0.107,1.0,0.0,0.0,0.0,0.0,0.0,0.009,0.016,0.887,0.012,0.64,0.092,,,,
avoid_crowd_event,api_llm_plan_then_act,3,1.0,0.0,1.0,0.0,1.0,0.0,0.843,0.093,0.787,0.076,0.057,0.021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.036,0.857,0.075,,,,
avoid_crowd_event,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.036,0.553,0.153,0.197,0.121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.175,0.66,0.139,,,,
avoid_crowd_event,utility_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.727,0.092,0.333,0.3,0.393,0.212,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.151,0.583,0.127,,,,
budget_errand_chain,api_llm_direct_actor,3,1.0,0.0,0.813,0.056,0.958,0.072,0.76,0.035,0.37,0.026,0.39,0.05,0.187,0.056,1.0,0.0,0.0,0.0,1.0,0.0,0.187,0.056,0.601,0.12,1.0,0.0,0.042,0.072,0.0,0.0,0.0,0.0,0.69,0.044,0.563,0.051,,,,
budget_errand_chain,api_llm_plan_then_act,3,1.0,0.0,1.0,0.0,1.0,0.0,0.98,0.01,0.97,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.006,0.977,0.006,,,,
budget_errand_chain,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.97,0.01,0.957,0.006,0.013,0.006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.006,0.973,0.006,,,,
budget_errand_chain,utility_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.957,0.015,0.94,0.01,0.017,0.006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.963,0.006,,,,
closed_poi_replacement,api_llm_direct_actor,3,0.8,0.346,0.889,0.192,0.756,0.423,0.86,0.07,0.643,0.186,0.217,0.145,0.111,0.192,0.0,0.0,0.0,0.0,1.0,0.0,0.111,0.192,0.833,0.289,0.667,0.577,0.111,0.192,0.333,0.577,0.038,0.065,0.883,0.142,0.753,0.204,,,,
closed_poi_replacement,api_llm_plan_then_act,3,0.833,0.144,0.667,0.289,0.583,0.361,0.967,0.015,0.963,0.012,0.01,0.01,0.333,0.289,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.289,1.0,0.0,1.0,0.0,0.333,0.289,0.667,0.577,0.317,0.274,0.983,0.006,0.967,0.012,,,,
closed_poi_replacement,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.01,0.947,0.006,0.013,0.006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.967,0.006,,,,
closed_poi_replacement,utility_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.927,0.012,0.857,0.067,0.07,0.061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977,0.006,0.923,0.021,,,,
closed_study_spot_replacement,api_llm_direct_actor,3,1.0,0.0,1.0,0.0,1.0,0.0,0.943,0.006,0.827,0.05,0.117,0.055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973,0.006,0.907,0.006,,,,
closed_study_spot_replacement,api_llm_plan_then_act,3,1.0,0.0,1.0,0.0,1.0,0.0,0.967,0.006,0.95,0.0,0.017,0.006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.006,0.96,0.0,,,,
closed_study_spot_replacement,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.94,0.026,0.847,0.114,0.093,0.093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.93,0.026,,,,
closed_study_spot_replacement,utility_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.0,0.63,0.546,0.33,0.546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973,0.006,0.953,0.015,,,,
commute_disruption,api_llm_direct_actor,3,0.833,0.289,0.889,0.192,0.833,0.289,0.76,0.131,0.513,0.318,0.247,0.2,0.111,0.192,0.333,0.577,0.0,0.0,1.0,0.0,0.111,0.192,0.54,0.163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.787,0.16,0.61,0.257,1.0,0.0,,
commute_disruption,api_llm_plan_then_act,3,1.0,0.0,1.0,0.0,1.0,0.0,0.943,0.021,0.95,0.01,0.003,0.006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973,0.012,0.937,0.035,1.0,0.0,,
commute_disruption,api_llm_reactive_replanner,3,0.5,0.0,0.0,0.0,0.0,0.0,0.837,0.1,0.727,0.136,0.11,0.046,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.837,0.1,0.88,0.072,0.787,0.108,0.0,0.0,,
