scenario_id,agent_type,n,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std,replanning_success_mean,replanning_success_std,social_appropriateness_mean,social_appropriateness_std
avoid_crowd_event,api_llm_direct_actor,3,1.0,0.0,0.933,0.115,1.0,0.0,0.813,0.064,0.36,0.338,0.453,0.342,0.067,0.115,0.333,0.577,0.0,0.0,1.0,0.0,0.067,0.115,0.982,0.031,1.0,0.0,0.0,0.0,0.0,0.0,0.013,0.023,0.887,0.012,0.73,0.095,,,,
avoid_crowd_event,api_llm_plan_then_act,3,1.0,0.0,1.0,0.0,1.0,0.0,0.937,0.012,0.827,0.05,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.953,0.021,0.903,0.006,,,,
avoid_crowd_event,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.627,0.14,0.327,0.129,0.3,0.017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.443,0.189,0.48,0.125,,,,
avoid_crowd_event,utility_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.76,0.072,0.433,0.023,0.327,0.058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.095,0.537,0.067,,,,
budget_errand_chain,api_llm_direct_actor,3,1.0,0.0,0.783,0.029,1.0,0.0,0.79,0.082,0.367,0.046,0.423,0.04,0.217,0.029,1.0,0.0,0.0,0.0,1.0,0.0,0.217,0.029,0.588,0.097,1.0,0.0,0.0,0.0,0.0,0.0,0.033,0.042,0.737,0.14,0.633,0.081,,,,
budget_errand_chain,api_llm_plan_then_act,3,1.0,0.0,1.0,0.0,1.0,0.0,0.977,0.006,0.973,0.006,0.007,0.006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.98,0.0,,,,
budget_errand_chain,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.01,0.963,0.015,0.007,0.006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983,0.006,0.973,0.006,,,,
budget_errand_chain,utility_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.953,0.015,0.943,0.021,0.013,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977,0.006,0.96,0.01,,,,
closed_poi_replacement,api_llm_direct_actor,3,1.0,0.0,1.0,0.0,1.0,0.0,0.913,0.012,0.683,0.055,0.23,0.066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.036,0.86,0.035,,,,
closed_poi_replacement,api_llm_plan_then_act,3,0.7,0.087,0.667,0.289,0.45,0.13,0.967,0.012,0.95,0.02,0.017,0.012,0.333,0.289,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.289,1.0,0.0,1.0,0.0,0.333,0.289,0.667,0.577,0.313,0.272,0.983,0.006,0.96,0.017,,,,
closed_poi_replacement,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.017,0.953,0.025,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.006,0.957,0.006,,,,
closed_poi_replacement,utility_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.88,0.087,0.767,0.214,0.113,0.127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.927,0.045,0.87,0.114,,,,
commute_disruption,api_llm_direct_actor,3,0.833,0.289,0.889,0.192,0.833,0.289,0.86,0.131,0.717,0.258,0.143,0.129,0.111,0.192,0.0,0.0,0.0,0.0,1.0,0.0,0.111,0.192,0.558,0.132,1.0,0.0,0.0,0.0,0.0,0.0,0.071,0.123,0.887,0.097,0.757,0.261,1.0,0.0,,
commute_disruption,api_llm_plan_then_act,3,1.0,0.0,1.0,0.0,1.0,0.0,0.91,0.079,0.863,0.11,0.047,0.031,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.036,0.887,0.102,1.0,0.0,,
commute_disruption,api_llm_reactive_replanner,3,0.5,0.0,0.0,0.0,0.0,0.0,0.923,0.006,0.893,0.021,0.03,0.017,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.923,0.006,0.96,0.017,0.913,0.021,0.0,0.0,,
commute_disruption,utility_planner,3,0.5,0.0,0.0,0.0,0.0,0.0,0.687,0.17,0.343,0.091,0.343,0.257,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.687,0.17,0.733,0.21,0.38,0.07,0.0,0.0,,
conflicting_social_obligation,api_llm_direct_actor,3,1.0,0.0,1.0,0.0,1.0,0.0,0.903,0.038,0.593,0.064,0.31,0.082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.903,0.074,0.82,0.053,,,1.0,0.0
conflicting_social_obligation,api_llm_plan_then_act,3,1.0,0.0,1.0,0.0,1.0,0.0,0.973,0.012,0.963,0.031,0.013,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.006,0.957,0.015,,,1.0,0.0
conflicting_social_obligation,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.983,0.006,0.973,0.006,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.963,0.006,,,1.0,0.0
conflicting_social_obligation,utility_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.913,0.047,0.847,0.058,0.067,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963,0.012,0.893,0.047,,,1.0,0.0
lunch_meeting_time_pressure,api_llm_direct_actor,3,0.883,0.202,0.958,0.072,0.856,0.249,0.827,0.081,0.54,0.208,0.287,0.127,0.042,0.072,0.0,0.0,0.0,0.0,1.0,0.0,0.042,0.072,0.489,0.445,0.667,0.577,0.042,0.072,0.333,0.577,0.0,0.0,0.84,0.105,0.73,0.161,,,1.0,0.0
lunch_meeting_time_pressure,api_llm_plan_then_act,3,1.0,0.0,1.0,0.0,1.0,0.0,0.87,0.095,0.7,0.312,0.17,0.218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.883,0.142,0.843,0.142,,,1.0,0.0
lunch_meeting_time_pressure,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.887,0.05,0.79,0.082,0.097,0.032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937,0.04,0.86,0.05,,,1.0,0.0
lunch_meeting_time_pressure,utility_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.787,0.07,0.63,0.026,0.157,0.072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867,0.04,0.733,0.012,,,1.0,0.0
memory_dependent_place_choice,api_llm_direct_actor,3,1.0,0.0,1.0,0.0,1.0,0.0,0.943,0.021,0.667,0.117,0.277,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963,0.006,0.853,0.064,,,1.0,0.0
memory_dependent_place_choice,api_llm_plan_then_act,3,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.0,0.897,0.067,0.063,0.067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.017,0.943,0.012,,,1.0,0.0
memory_dependent_place_choice,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.0,0.937,0.012,0.023,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.947,0.006,,,1.0,0.0
memory_dependent_place_choice,utility_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.937,0.006,0.76,0.131,0.177,0.132,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963,0.012,0.9,0.02,,,1.0,0.0
unexpected_friend_encounter,api_llm_direct_actor,3,0.65,0.173,0.875,0.125,0.619,0.153,0.633,0.081,0.18,0.1,0.453,0.081,0.125,0.125,0.0,0.0,0.333,0.577,1.0,0.0,0.125,0.125,0.833,0.289,0.667,0.577,0.042,0.072,0.333,0.577,0.0,0.0,0.693,0.247,0.227,0.11,,,0.0,0.0
unexpected_friend_encounter,api_llm_plan_then_act,3,1.0,0.0,1.0,0.0,1.0,0.0,0.85,0.017,0.593,0.046,0.257,0.057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.069,0.757,0.021,,,1.0,0.0
unexpected_friend_encounter,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.883,0.055,0.667,0.064,0.217,0.064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933,0.015,0.79,0.017,,,1.0,0.0
unexpected_friend_encounter,utility_planner,3,0.75,0.0,1.0,0.0,0.75,0.0,0.647,0.272,0.227,0.092,0.42,0.183,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.703,0.343,0.337,0.172,,,0.0,0.0
