scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy
avoid_crowd_event,preference_constraint,utility_planner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,0.0,0.0,18:27,park,14.0,0,{}
avoid_crowd_event,preference_constraint,llm_direct_actor,1.0,1.0,0.0,0.0,0.0,0.7,0.0,,1.0,1.0,0.7,,0.0,0.0,18:19,market,0.0,0,{}
avoid_crowd_event,preference_constraint,reactive_replanner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,0.0,0.0,18:27,park,14.0,0,{}
avoid_crowd_event,preference_constraint,memory_reflection,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,0.0,0.0,18:27,park,14.0,0,{}
budget_errand_chain,budget_constraint,utility_planner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,0.0,0.0,17:58,home_aria,3.0,0,{}
budget_errand_chain,budget_constraint,llm_direct_actor,1.0,0.5,0.5,0.5,0.0,0.3,0.5,,1.0,0.0,0.15,,0.0,0.0,17:43,cafe_central,-3.0,1,"{""money_budget_failure"": 1}"
budget_errand_chain,budget_constraint,reactive_replanner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,0.0,0.0,17:58,home_aria,3.0,0,{}
budget_errand_chain,budget_constraint,memory_reflection,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,0.0,0.0,17:58,home_aria,3.0,0,{}
closed_poi_replacement,poi_closure,utility_planner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,0.0,0.0,16:28,bookstore,9.0,0,{}
closed_poi_replacement,poi_closure,llm_direct_actor,1.0,0.5,0.5,0.5,1.0,0.4,0.5,,1.0,1.0,0.2,,0.0,0.0,15:36,quiet_cafe,6.0,1,"{""closed_place_action"": 1}"
closed_poi_replacement,poi_closure,reactive_replanner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,0.0,0.0,16:28,bookstore,9.0,0,{}
closed_poi_replacement,poi_closure,memory_reflection,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.839,1.0,1.0,,0.0,0.0,17:01,quiet_cafe,6.0,0,{}
commute_disruption,disruption,utility_planner,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,08:26,office,8.0,1,"{""impossible_route"": 1}"
commute_disruption,disruption,llm_direct_actor,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,08:26,office,8.0,1,"{""impossible_route"": 1}"
commute_disruption,disruption,reactive_replanner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.867,1.0,1.0,,0.0,0.0,08:33,office,8.0,0,{}
commute_disruption,disruption,memory_reflection,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,08:26,office,8.0,1,"{""impossible_route"": 1}"
conflicting_social_obligation,social_spatial_tradeoff,utility_planner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,17:47,coworking,20.0,0,{}
conflicting_social_obligation,social_spatial_tradeoff,llm_direct_actor,1.0,1.0,0.0,0.5,0.0,0.45,0.0,,0.0,1.0,0.45,0.5,0.0,0.0,17:23,theatre,2.0,0,"{""goal_drift"": 1}"
conflicting_social_obligation,social_spatial_tradeoff,reactive_replanner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,17:47,coworking,20.0,0,{}
conflicting_social_obligation,social_spatial_tradeoff,memory_reflection,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,17:47,coworking,20.0,0,{}
lunch_meeting_time_pressure,time_pressure,utility_planner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:25,cafe_central,6.0,0,{}
lunch_meeting_time_pressure,time_pressure,llm_direct_actor,1.0,1.0,0.0,0.0,0.0,0.55,0.0,,1.0,1.0,0.55,0.0,0.0,0.0,12:06,cafe_central,6.0,0,{}
lunch_meeting_time_pressure,time_pressure,reactive_replanner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:25,cafe_central,6.0,0,{}
lunch_meeting_time_pressure,time_pressure,memory_reflection,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.286,1.0,1.0,1.0,0.0,0.0,12:25,quiet_cafe,8.0,0,{}
memory_dependent_place_choice,memory,utility_planner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,10:30,quiet_cafe,4.0,0,{}
memory_dependent_place_choice,memory,llm_direct_actor,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.455,1.0,0.0,0.0,0.0,0.0,10:11,cafe_central,2.0,0,"{""goal_drift"": 1}"
memory_dependent_place_choice,memory,reactive_replanner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,10:30,quiet_cafe,4.0,0,{}
memory_dependent_place_choice,memory,memory_reflection,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,10:30,quiet_cafe,4.0,0,{}
unexpected_friend_encounter,opportunistic_social,utility_planner,1.0,1.0,0.0,0.0,0.0,0.75,0.0,,1.0,1.0,0.75,0.0,0.0,0.0,16:04,pharmacy,11.0,0,{}
unexpected_friend_encounter,opportunistic_social,llm_direct_actor,1.0,1.0,0.0,0.0,0.0,0.75,0.0,,1.0,1.0,0.75,0.0,0.0,0.0,16:24,pharmacy,11.0,0,{}
