scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy
closed_study_spot_replacement,poi_closure,utility_planner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,0.0,0.0,15:13,bookstore,11.0,0,{}
closed_study_spot_replacement,poi_closure,api_llm_direct_actor,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,0.0,0.0,16:30,bookstore,11.0,0,{}
closed_study_spot_replacement,poi_closure,api_llm_plan_then_act,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,0.0,0.0,15:38,bookstore,11.0,0,{}
closed_study_spot_replacement,poi_closure,api_llm_reactive_replanner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,0.0,0.0,15:23,bookstore,11.0,0,{}
detour_commute_midroute_block,disruption,utility_planner,1.0,0.0,1.0,1.0,0.0,0.35,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,08:26,office,10.0,1,"{""impossible_route"": 1}"
detour_commute_midroute_block,disruption,api_llm_direct_actor,1.0,0.875,0.125,0.125,0.0,0.65,0.0,1.0,0.464,1.0,0.65,,1.0,0.0,08:56,quiet_cafe,0.0,0,"{""done_state_loop"": 1}"
detour_commute_midroute_block,disruption,api_llm_plan_then_act,1.0,0.75,0.25,0.25,1.0,0.85,0.25,1.0,0.619,1.0,0.637,,0.0,0.0,08:42,office,0.0,1,"{""closed_place_action"": 1}"
detour_commute_midroute_block,disruption,api_llm_reactive_replanner,1.0,0.875,0.125,0.125,0.0,0.65,0.0,1.0,0.464,1.0,0.65,,1.0,0.0,08:56,quiet_cafe,0.0,0,"{""done_state_loop"": 1}"
meeting_wait_trap,time_pressure,utility_planner,1.0,1.0,0.0,0.0,0.0,0.8,0.0,,1.0,1.0,0.8,0.5,0.0,0.0,12:35,cafe_central,4.0,0,{}
meeting_wait_trap,time_pressure,api_llm_direct_actor,1.0,1.0,0.0,0.0,0.0,0.55,0.0,,1.0,1.0,0.55,0.5,0.0,0.0,12:21,office,16.0,0,{}
meeting_wait_trap,time_pressure,api_llm_plan_then_act,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:38,cafe_central,4.0,0,{}
meeting_wait_trap,time_pressure,api_llm_reactive_replanner,1.0,1.0,0.0,0.0,0.0,0.55,0.0,,1.0,1.0,0.55,0.5,0.0,0.0,12:25,cafe_central,4.0,0,{}
school_pickup_social_detour,social_spatial_tradeoff,utility_planner,1.0,0.0,1.0,1.0,0.0,0.8,1.0,,1.0,1.0,0.0,0.5,0.0,0.0,17:26,school,12.0,1,"{""closed_place_action"": 1}"
school_pickup_social_detour,social_spatial_tradeoff,api_llm_direct_actor,1.0,0.5,0.5,0.5,1.0,0.8,0.25,,0.684,1.0,0.6,0.5,1.0,0.0,17:40,school,6.0,1,"{""closed_place_action"": 1, ""done_state_loop"": 1}"
school_pickup_social_detour,social_spatial_tradeoff,api_llm_plan_then_act,1.0,1.0,0.0,0.0,0.0,0.8,0.0,,0.929,1.0,0.8,0.5,0.0,0.0,17:38,school,12.0,0,{}
school_pickup_social_detour,social_spatial_tradeoff,api_llm_reactive_replanner,1.0,0.0,1.0,1.0,0.0,0.8,1.0,,1.0,1.0,0.0,0.5,0.0,0.0,17:26,school,12.0,1,"{""closed_place_action"": 1}"
