scenario_id,agent_type,n,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std,replanning_success_mean,replanning_success_std,social_appropriateness_mean,social_appropriateness_std
closed_study_spot_replacement,api_llm_direct_actor,1,1.0,0.0,1.0,0.0,1.0,0.0,0.92,0.0,0.68,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.82,0.0,,,,
closed_study_spot_replacement,api_llm_plan_then_act,1,1.0,0.0,1.0,0.0,1.0,0.0,0.97,0.0,0.95,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.96,0.0,,,,
closed_study_spot_replacement,api_llm_reactive_replanner,1,1.0,0.0,1.0,0.0,1.0,0.0,0.95,0.0,0.9,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.96,0.0,,,,
closed_study_spot_replacement,utility_planner,1,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.0,0.95,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.97,0.0,,,,
detour_commute_midroute_block,api_llm_direct_actor,1,0.65,0.0,0.875,0.0,0.65,0.0,0.74,0.0,0.16,0.0,0.58,0.0,0.125,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,0.464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.22,0.0,1.0,0.0,,
detour_commute_midroute_block,api_llm_plan_then_act,1,0.85,0.0,0.75,0.0,0.637,0.0,0.92,0.0,0.95,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.619,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.17,0.0,0.96,0.0,0.94,0.0,1.0,0.0,,
detour_commute_midroute_block,api_llm_reactive_replanner,1,0.65,0.0,0.875,0.0,0.65,0.0,0.68,0.0,0.12,0.0,0.56,0.0,0.125,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,0.464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.18,0.0,1.0,0.0,,
detour_commute_midroute_block,utility_planner,1,0.35,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.28,0.0,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.52,0.0,0.78,0.0,0.41,0.0,0.0,0.0,,
meeting_wait_trap,api_llm_direct_actor,1,0.55,0.0,1.0,0.0,0.55,0.0,0.82,0.0,0.26,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.31,0.0,,,0.5,0.0
meeting_wait_trap,api_llm_plan_then_act,1,1.0,0.0,1.0,0.0,1.0,0.0,0.84,0.0,0.56,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.72,0.0,,,1.0,0.0
meeting_wait_trap,api_llm_reactive_replanner,1,0.55,0.0,1.0,0.0,0.55,0.0,0.84,0.0,0.41,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.72,0.0,,,0.5,0.0
meeting_wait_trap,utility_planner,1,0.8,0.0,1.0,0.0,0.8,0.0,0.7,0.0,0.35,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.62,0.0,,,0.5,0.0
school_pickup_social_detour,api_llm_direct_actor,1,0.8,0.0,0.5,0.0,0.6,0.0,0.94,0.0,0.78,0.0,0.16,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.684,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.44,0.0,0.88,0.0,0.72,0.0,,,0.5,0.0
school_pickup_social_detour,api_llm_plan_then_act,1,0.8,0.0,1.0,0.0,0.8,0.0,0.95,0.0,0.9,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.929,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.93,0.0,,,0.5,0.0
school_pickup_social_detour,api_llm_reactive_replanner,1,0.8,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.93,0.0,0.98,0.0,0.96,0.0,,,0.5,0.0
school_pickup_social_detour,utility_planner,1,0.8,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.28,0.0,0.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.72,0.0,0.66,0.0,0.34,0.0,,,0.5,0.0
