repeat_id,scenario_id,family,agent_type,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,closed_study_spot_replacement,poi_closure,gatsim_official_planner,1.0,1.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,,0,0,2,25.495,18265,,,{},,
1,closed_study_spot_replacement,poi_closure,sotopia_official_llm_agent,0.4,0.5,0.2,,,,,0.5,0.0,0.0,1.0,0.5,1.0,1.0,,0.5,0.0,,0,0,3,18.058,19810,,,"{""invalid_state_transition"": 1}",,
1,closed_study_spot_replacement,poi_closure,generative_agents_official_planner,0.7,0.4,0.28,,,,,0.6,0.0,0.0,1.0,0.6,1.0,1.0,,0.6,1.0,,0,0,7,38.649,40231,,,"{""impossible_route"": 1, ""money_budget_failure"": 2}",,
1,closed_study_spot_replacement,poi_closure,agentsociety_official_plan_blocks,0.7,0.375,0.262,,,,,0.625,0.0,0.0,1.0,0.625,0.388,1.0,,0.625,1.0,,0,0,10,54.299,69660,,,"{""money_budget_failure"": 4, ""time_budget_failure"": 1}",,
1,detour_commute_midroute_block,disruption,gatsim_official_planner,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.4,1.0,,0.0,0.0,,1,1,2,23.915,18272,,,{},,
1,detour_commute_midroute_block,disruption,sotopia_official_llm_agent,0.65,1.0,0.65,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.867,1.0,,0.0,0.0,,0,1,3,6.725,19717,,,{},,
1,detour_commute_midroute_block,disruption,generative_agents_official_planner,0.65,0.6,0.39,0.0,,,,0.4,0.0,0.0,1.0,0.4,1.0,1.0,,0.4,1.0,,1,0,7,34.663,40859,,,"{""impossible_route"": 1, ""invalid_state_transition"": 1}",,
1,detour_commute_midroute_block,disruption,agentsociety_official_plan_blocks,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.565,1.0,,0.0,0.0,,0,1,4,29.332,27501,,,{},,
1,meeting_wait_trap,time_pressure,gatsim_official_planner,0.35,1.0,0.35,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0,0,1,11.365,9092,,,"{""goal_drift"": 1}",,
1,meeting_wait_trap,time_pressure,sotopia_official_llm_agent,0.55,1.0,0.55,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,,0,0,8,30.766,54103,,,{},,
