agent_type,failure,count,events_per_trace
agentsociety_official_plan_blocks,goal_drift,1,0.083
agentsociety_official_plan_blocks,invalid_state_transition,8,0.667
agentsociety_official_plan_blocks,money_budget_failure,15,1.25
agentsociety_official_plan_blocks,time_budget_failure,2,0.167
gatsim_official_planner,goal_drift,3,0.25
generative_agents_official_planner,closed_place_action,1,0.083
generative_agents_official_planner,impossible_route,6,0.5
generative_agents_official_planner,invalid_state_transition,1,0.083
generative_agents_official_planner,money_budget_failure,8,0.667
generative_agents_official_planner,time_budget_failure,1,0.083
sotopia_official_llm_agent,goal_drift,4,0.333
sotopia_official_llm_agent,invalid_state_transition,3,0.25
sotopia_official_llm_agent,money_budget_failure,2,0.167
sotopia_official_llm_agent,time_budget_failure,1,0.083
