scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
closed_study_spot_replacement,poi_closure,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,,0.0,0.0,15:19,bookstore,11.0,0,{},2,25.495,17636,629,18265,True
closed_study_spot_replacement,poi_closure,sotopia_official_llm_agent,1.0,0.5,0.5,0.5,0.0,0.4,0.5,,1.0,1.0,0.2,,0.0,0.0,15:13,bookstore,18.0,1,"{""invalid_state_transition"": 1}",3,18.058,19737,73,19810,True
closed_study_spot_replacement,poi_closure,generative_agents_official_planner,1.0,0.4,0.6,0.6,1.0,0.7,0.6,,1.0,1.0,0.28,,0.0,0.0,16:30,bookstore,18.0,3,"{""impossible_route"": 1, ""money_budget_failure"": 2}",7,38.649,39286,945,40231,True
closed_study_spot_replacement,poi_closure,agentsociety_official_plan_blocks,1.0,0.375,0.625,0.625,1.0,0.7,0.625,,0.388,1.0,0.262,,0.0,0.0,16:44,quiet_cafe,18.0,5,"{""money_budget_failure"": 4, ""time_budget_failure"": 1}",10,54.299,67782,1878,69660,True
detour_commute_midroute_block,disruption,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4,1.0,1.0,,0.0,0.0,09:06,office,10.0,0,{},2,23.915,17574,698,18272,True
detour_commute_midroute_block,disruption,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.65,0.0,1.0,0.867,1.0,0.65,,0.0,0.0,08:30,office,10.0,0,{},3,6.725,19656,61,19717,True
detour_commute_midroute_block,disruption,generative_agents_official_planner,1.0,0.6,0.4,0.4,1.0,0.65,0.4,0.0,1.0,1.0,0.39,,0.0,0.0,09:10,office,10.0,2,"{""impossible_route"": 1, ""invalid_state_transition"": 1}",7,34.663,39692,1167,40859,True
detour_commute_midroute_block,disruption,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.565,1.0,1.0,,0.0,0.0,08:48,office,10.0,0,{},4,29.332,26669,832,27501,True
meeting_wait_trap,time_pressure,gatsim_official_planner,0.0,1.0,0.0,0.0,0.0,0.35,0.0,,1.0,1.0,0.35,0.0,0.0,0.0,12:05,office,16.0,0,"{""goal_drift"": 1}",1,11.365,8563,529,9092,True
meeting_wait_trap,time_pressure,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.55,0.0,,1.0,1.0,0.55,0.5,0.0,0.0,12:25,cafe_central,16.0,0,{},8,30.766,53640,463,54103,True
meeting_wait_trap,time_pressure,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:51,cafe_central,4.0,0,{},3,18.815,17532,619,18151,True
meeting_wait_trap,time_pressure,agentsociety_official_plan_blocks,1.0,0.625,0.375,0.375,0.0,0.35,0.375,,1.0,1.0,0.219,0.5,0.0,0.0,12:56,quiet_cafe,16.0,3,"{""invalid_state_transition"": 3}",8,43.393,54254,1698,55952,True
school_pickup_social_detour,social_spatial_tradeoff,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,0.8,0.0,,0.765,1.0,0.8,0.5,0.0,0.0,17:36,home_ben,12.0,0,{},1,13.06,8548,477,9025,True
school_pickup_social_detour,social_spatial_tradeoff,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.35,0.0,,1.0,1.0,0.35,0.5,0.0,0.0,17:26,school,12.0,0,"{""goal_drift"": 1}",3,9.968,19415,67,19482,True
school_pickup_social_detour,social_spatial_tradeoff,generative_agents_official_planner,1.0,0.75,0.25,0.25,1.0,0.8,0.25,,1.0,1.0,0.6,0.5,0.0,0.0,18:02,school,12.0,1,"{""impossible_route"": 1}",3,12.882,17026,439,17465,True
school_pickup_social_detour,social_spatial_tradeoff,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,0.8,0.0,,0.812,1.0,0.8,0.5,0.0,0.0,17:33,school,12.0,0,{},2,24.988,13100,390,13490,True
