scenario_id,agent_type,n,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,replanning_success_mean,replanning_success_std,social_appropriateness_mean,social_appropriateness_std
closed_study_spot_replacement,agentsociety_official_plan_blocks,3,0.7,0.0,0.298,0.134,0.208,0.094,0.702,0.134,0.0,0.0,0.0,0.0,1.0,0.0,0.702,0.134,0.796,0.353,1.0,0.0,0.702,0.134,1.0,0.0,0.0,0.0,0.0,0.0,11.333,1.155,83.082,25.115,78990.333,8083.766,,,,
closed_study_spot_replacement,gatsim_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.855,0.251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22.392,3.716,18236.667,30.73,,,,
closed_study_spot_replacement,generative_agents_official_planner,3,0.7,0.0,0.362,0.066,0.253,0.046,0.638,0.066,0.0,0.0,0.0,0.0,1.0,0.0,0.638,0.066,1.0,0.0,1.0,0.0,0.638,0.066,1.0,0.0,0.0,0.0,0.0,0.0,8.333,2.309,43.377,13.752,47960.333,13404.922,,,,
closed_study_spot_replacement,sotopia_official_llm_agent,3,0.6,0.173,0.5,0.0,0.3,0.087,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.827,0.3,1.0,0.0,0.5,0.0,0.667,0.577,0.0,0.0,0.0,0.0,4.667,1.528,17.16,2.193,31014.0,10235.638,,,,
detour_commute_midroute_block,agentsociety_official_plan_blocks,3,0.767,0.202,0.85,0.132,0.669,0.287,0.15,0.132,0.0,0.0,0.0,0.0,1.0,0.0,0.15,0.132,0.855,0.251,1.0,0.0,0.15,0.132,0.0,0.0,0.0,0.0,0.333,0.577,5.333,1.155,40.868,16.414,36612.0,7890.985,0.333,0.577,,
detour_commute_midroute_block,gatsim_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.711,0.27,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,22.26,6.321,18238.667,46.145,1.0,0.0,,
detour_commute_midroute_block,generative_agents_official_planner,3,0.533,0.202,0.742,0.138,0.38,0.113,0.258,0.138,0.0,0.0,0.0,0.0,1.0,0.0,0.258,0.138,0.751,0.216,1.0,0.0,0.258,0.138,0.667,0.577,0.333,0.577,0.0,0.0,5.0,2.0,28.583,8.757,29605.0,11411.118,0.0,0.0,,
detour_commute_midroute_block,sotopia_official_llm_agent,3,0.583,0.115,1.0,0.0,0.583,0.115,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.711,0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.577,4.333,1.528,17.789,10.668,28556.0,10127.165,0.667,0.577,,
meeting_wait_trap,agentsociety_official_plan_blocks,3,0.65,0.26,0.708,0.072,0.473,0.22,0.292,0.072,0.0,0.0,0.0,0.0,1.0,0.0,0.292,0.072,0.712,0.249,1.0,0.0,0.292,0.072,0.667,0.577,0.0,0.0,0.0,0.0,7.333,1.155,88.696,70.672,51324.333,8130.807,,,0.833,0.289
meeting_wait_trap,gatsim_official_planner,3,0.35,0.0,1.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.577,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.577,14.592,2.989,15236.667,5321.682,,,0.0,0.0
