scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
hard_budget_entangled_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,0.85,0.769,1.0,,0.0,,1.0,1.0,0.85,1.0,0.0,1.0,18:25,home_aria,1.0,0,"{""social_derailment"": 1}",10,69.716,85954,9355,95309,True
hard_budget_entangled_meet,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,18:26,home_aria,1.0,0,{},1,18.291,7087,1872,8959,True
hard_deadline_then_meet,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:05,quiet_cafe,2.0,0,{},9,76.391,76507,7851,84358,True
hard_deadline_then_meet,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:07,quiet_cafe,2.0,0,{},1,23.221,7179,3723,10902,True
hard_full_evening_chain,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,0.7,0.571,1.0,,0.0,,1.0,1.0,0.7,1.0,0.0,1.0,17:50,budget_diner,4.0,0,"{""social_derailment"": 1}",9,100.963,78252,9363,87615,True
hard_full_evening_chain,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,18:16,home_aria,4.0,0,{},1,26.221,7023,1622,8645,True
hard_overlapping_windows,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,1.0,1.0,0.7,0.5,0.0,1.0,13:03,cafe_central,6.0,0,"{""goal_drift"": 1, ""social_derailment"": 1}",8,98.339,66443,7108,73551,True
hard_overlapping_windows,social_outcome_hard,api_llm_plan_and_execute,1.0,0.857,0.143,0.143,0.0,0.5,0.5,0.5,,0.143,,1.0,1.0,0.429,0.5,0.0,1.0,13:02,cafe_central,6.0,1,"{""invalid_state_transition"": 1, ""social_derailment"": 1}",1,17.476,7099,1757,8856,True
hard_stale_plan_override,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:34,quiet_cafe,6.0,0,{},6,41.939,48970,5215,54185,True
hard_stale_plan_override,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:39,quiet_cafe,6.0,0,{},1,17.36,6964,1601,8565,True
hard_three_meeting_relay,social_outcome_hard,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:20,budget_diner,1.0,0,{},14,89.693,122774,12028,134802,True
hard_three_meeting_relay,social_outcome_hard,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:27,budget_diner,1.0,0,{},1,22.371,7484,2079,9563,True
