scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,social_appropriateness_mean,social_appropriateness_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
hard_budget_entangled_meet,api_llm_plan_and_execute,3,0.872,0.222,0.867,0.231,0.97,0.053,0.848,0.263,0.873,0.09,0.607,0.19,0.267,0.1,0.03,0.053,0.0,0.0,0.0,0.0,0.857,0.248,1.0,0.0,0.03,0.053,1.0,0.0,1.0,0.0,0.667,0.577,0.03,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.835,2.367,9219.667,302.26,0.91,0.04,0.72,0.161
hard_budget_entangled_meet,api_llm_react_tool_policy,3,0.641,0.222,0.767,0.144,1.0,0.0,0.767,0.144,0.887,0.092,0.6,0.171,0.287,0.11,0.0,0.0,0.0,0.0,0.667,0.577,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.667,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.464,59.657,18.01,76455.333,33128.613,0.893,0.055,0.73,0.096
hard_deadline_then_meet,api_llm_plan_and_execute,3,0.833,0.289,0.833,0.289,0.958,0.072,0.813,0.324,0.897,0.049,0.673,0.234,0.223,0.19,0.042,0.072,0.0,0.0,0.0,0.0,0.833,0.289,1.0,0.0,0.042,0.072,1.0,0.0,1.0,0.0,0.667,0.577,0.042,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.495,4.967,9449.333,1259.12,0.943,0.031,0.763,0.165
hard_deadline_then_meet,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.963,0.012,0.947,0.015,0.017,0.006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,96.147,17.584,84238.667,110.46,0.987,0.006,0.943,0.021
hard_full_evening_chain,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.867,0.076,0.78,0.147,0.087,0.074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.895,4.308,8612.333,150.68,0.917,0.067,0.813,0.124
hard_full_evening_chain,api_llm_react_tool_policy,3,0.643,0.124,0.65,0.087,0.967,0.058,0.632,0.118,0.793,0.023,0.417,0.032,0.377,0.055,0.033,0.058,0.0,0.0,1.0,0.0,0.667,0.577,1.0,0.0,0.033,0.058,1.0,0.0,0.667,0.577,1.0,0.0,0.033,0.058,0.333,0.577,0.0,0.0,0.0,0.0,0.0,0.0,9.667,1.155,134.522,76.97,93832.333,11229.98,0.757,0.025,0.693,0.04
hard_overlapping_windows,api_llm_plan_and_execute,3,0.833,0.289,0.833,0.289,0.952,0.083,0.81,0.33,0.943,0.021,0.69,0.357,0.253,0.336,0.048,0.083,0.0,0.0,0.333,0.577,0.833,0.289,1.0,0.0,0.048,0.083,1.0,0.0,1.0,0.0,0.833,0.289,0.048,0.083,0.0,0.0,0.021,0.036,0.0,0.0,0.0,0.0,1.0,0.0,17.286,1.148,8976.667,191.941,0.947,0.058,0.717,0.326
hard_overlapping_windows,api_llm_react_tool_policy,3,0.5,0.0,0.7,0.0,1.0,0.0,0.7,0.0,0.867,0.064,0.68,0.087,0.187,0.031,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,107.167,44.726,73649.667,142.469,0.883,0.081,0.663,0.04
hard_stale_plan_override,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.94,0.026,0.76,0.106,0.18,0.113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.89,2.42,8305.0,240.676,0.95,0.02,0.863,0.047
hard_stale_plan_override,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.887,0.095,0.54,0.208,0.347,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,45.356,2.968,54105.0,90.355,0.88,0.07,0.65,0.095
