agent_type,failure,count,events_per_trace
agentsociety_official_plan_blocks,goal_drift,4,0.222
agentsociety_official_plan_blocks,impossible_route,1,0.056
agentsociety_official_plan_blocks,invalid_state_transition,12,0.667
agentsociety_official_plan_blocks,money_budget_failure,8,0.444
agentsociety_official_plan_blocks,social_derailment,7,0.389
agentsociety_official_plan_blocks,time_budget_failure,1,0.056
gatsim_official_planner,goal_drift,4,0.222
gatsim_official_planner,invalid_state_transition,9,0.5
gatsim_official_planner,social_derailment,3,0.167
generative_agents_official_planner,goal_drift,7,0.389
generative_agents_official_planner,invalid_state_transition,5,0.278
generative_agents_official_planner,money_budget_failure,11,0.611
generative_agents_official_planner,social_derailment,6,0.333
sotopia_official_llm_agent,done_state_loop,3,0.167
sotopia_official_llm_agent,goal_drift,6,0.333
sotopia_official_llm_agent,invalid_state_transition,11,0.611
sotopia_official_llm_agent,money_budget_failure,5,0.278
sotopia_official_llm_agent,social_derailment,6,0.333
