scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
hard_budget_entangled_meet,social_outcome_hard,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,18:26,home_aria,1.0,0,{},1,20.171,8917,1778,10695,True
hard_budget_entangled_meet,social_outcome_hard,sotopia_official_llm_agent,1.0,0.917,0.083,0.083,0.0,0.45,0.385,0.571,,0.083,,1.0,1.0,0.412,0.0,0.0,0.0,18:01,quiet_cafe,11.0,1,"{""done_state_loop"": 1}",12,164.008,84076,12763,96839,True
hard_budget_entangled_meet,social_outcome_hard,generative_agents_official_planner,1.0,0.917,0.083,0.083,0.0,0.45,0.385,0.571,,0.083,,1.0,1.0,0.412,0.0,0.0,0.0,18:11,quiet_cafe,1.0,1,"{""invalid_state_transition"": 1}",1,18.162,6669,1431,8100,True
hard_budget_entangled_meet,social_outcome_hard,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,0.75,0.615,1.0,,0.0,,1.0,1.0,0.75,0.0,0.0,0.0,18:01,home_aria,11.0,0,{},2,25.585,13875,2807,16682,True
hard_deadline_then_meet,social_outcome_hard,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:05,quiet_cafe,2.0,0,{},1,11.854,8896,1640,10536,True
hard_deadline_then_meet,social_outcome_hard,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,0.812,1.0,0.7,0.0,0.0,0.0,12:54,quiet_cafe,12.0,0,"{""goal_drift"": 1}",10,63.023,69096,9750,78846,True
hard_deadline_then_meet,social_outcome_hard,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,1.0,1.0,0.7,0.0,0.0,0.0,12:43,plaza,12.0,0,"{""goal_drift"": 1}",1,17.961,6644,1207,7851,True
hard_deadline_then_meet,social_outcome_hard,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,0.736,1.0,0.7,1.0,0.0,1.0,13:10,quiet_cafe,2.0,0,"{""goal_drift"": 1, ""social_derailment"": 1}",2,19.532,13850,1809,15659,True
hard_full_evening_chain,social_outcome_hard,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,18:16,home_aria,4.0,0,{},1,15.121,8972,2042,11014,True
hard_full_evening_chain,social_outcome_hard,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.6,0.429,1.0,,0.0,,0.962,1.0,0.6,0.0,0.0,0.0,18:25,transit_hub,4.0,0,"{""goal_drift"": 1}",12,76.182,84488,12666,97154,True
hard_full_evening_chain,social_outcome_hard,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,0.85,0.786,1.0,,0.0,,1.0,1.0,0.85,1.0,0.0,1.0,18:17,home_aria,4.0,0,"{""social_derailment"": 1}",1,14.561,6717,1533,8250,True
hard_full_evening_chain,social_outcome_hard,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,0.6,0.429,1.0,,0.0,,1.0,1.0,0.6,0.0,0.0,0.0,18:25,home_aria,4.0,0,"{""goal_drift"": 1}",2,43.529,14034,3757,17791,True
hard_overlapping_windows,social_outcome_hard,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,1.0,1.0,0.7,0.5,0.0,1.0,13:03,cafe_central,6.0,0,"{""goal_drift"": 1, ""social_derailment"": 1}",1,22.138,8871,1940,10811,True
hard_overlapping_windows,social_outcome_hard,sotopia_official_llm_agent,1.0,0.9,0.1,0.1,0.0,0.5,0.5,0.5,,0.1,,0.958,1.0,0.45,0.5,0.0,1.0,12:55,cafe_central,18.0,1,"{""invalid_state_transition"": 1, ""social_derailment"": 1}",10,97.646,70133,11753,81886,True
hard_overlapping_windows,social_outcome_hard,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:58,cafe_central,18.0,0,{},1,30.576,6614,4274,10888,True
hard_overlapping_windows,social_outcome_hard,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:58,cafe_central,18.0,0,{},2,28.495,13828,4480,18308,True
hard_stale_plan_override,social_outcome_hard,gatsim_official_planner,1.0,0.556,0.444,0.444,0.0,0.2,0.0,0.5,,0.444,,0.5,1.0,0.111,0.0,0.0,0.0,13:09,office,6.0,4,"{""invalid_state_transition"": 4}",6,96.256,57276,9011,66287,True
hard_stale_plan_override,social_outcome_hard,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.955,1.0,1.0,1.0,0.0,0.0,12:30,quiet_cafe,16.0,0,{},6,54.296,41297,6179,47476,True
hard_stale_plan_override,social_outcome_hard,generative_agents_official_planner,1.0,0.833,0.167,0.167,1.0,0.4,0.333,0.5,,0.167,,1.0,1.0,0.333,0.5,0.0,0.0,12:46,quiet_cafe,6.0,1,"{""money_budget_failure"": 1}",5,69.498,29876,6146,36022,True
