scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,social_appropriateness_mean,social_appropriateness_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
hard_budget_entangled_meet,agentsociety_official_plan_blocks,3,0.666,0.089,0.683,0.076,0.886,0.127,0.607,0.125,0.75,0.166,0.447,0.239,0.303,0.072,0.114,0.127,0.0,0.0,0.333,0.577,0.714,0.248,1.0,0.0,0.114,0.127,1.0,0.0,1.0,0.0,0.333,0.577,0.114,0.127,0.333,0.577,0.0,0.0,0.0,0.0,0.0,0.0,4.667,3.055,58.247,33.156,39911.667,26382.698,0.78,0.2,0.563,0.257
hard_budget_entangled_meet,gatsim_official_planner,3,0.872,0.222,0.917,0.144,1.0,0.0,0.917,0.144,0.797,0.067,0.29,0.101,0.507,0.049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.667,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.011,2.924,10960.333,234.15,0.787,0.07,0.413,0.16
hard_budget_entangled_meet,generative_agents_official_planner,3,0.385,0.0,0.5,0.087,0.945,0.048,0.475,0.109,0.573,0.127,0.167,0.023,0.407,0.104,0.055,0.048,0.0,0.0,0.0,0.0,0.714,0.248,1.0,0.0,0.055,0.048,1.0,0.0,1.0,0.0,0.0,0.0,0.055,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.04,0.512,8173.667,147.059,0.14,0.035,0.33,0.101
hard_budget_entangled_meet,sotopia_official_llm_agent,3,0.385,0.0,0.45,0.0,0.889,0.048,0.4,0.021,0.617,0.17,0.387,0.153,0.23,0.125,0.111,0.048,0.0,0.0,0.0,0.0,0.571,0.0,1.0,0.0,0.111,0.048,1.0,0.0,1.0,0.0,0.0,0.0,0.111,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,117.254,41.49,97115.667,755.026,0.327,0.254,0.503,0.081
hard_deadline_then_meet,agentsociety_official_plan_blocks,3,0.333,0.289,0.533,0.153,0.967,0.058,0.517,0.161,0.8,0.053,0.253,0.095,0.547,0.13,0.033,0.058,0.0,0.0,0.667,0.577,0.833,0.289,1.0,0.0,0.033,0.058,0.736,0.0,1.0,0.0,0.667,0.577,0.033,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.667,1.155,33.91,15.733,22862.0,10895.043,0.647,0.215,0.497,0.068
hard_deadline_then_meet,gatsim_official_planner,3,0.833,0.289,0.9,0.173,1.0,0.0,0.9,0.173,0.83,0.056,0.32,0.036,0.51,0.062,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.667,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.447,1.62,10531.667,84.583,0.77,0.252,0.517,0.229
hard_deadline_then_meet,generative_agents_official_planner,3,0.5,0.0,0.7,0.0,1.0,0.0,0.7,0.0,0.46,0.362,0.18,0.1,0.28,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.607,1.194,8043.667,249.873,0.097,0.04,0.223,0.105
hard_deadline_then_meet,sotopia_official_llm_agent,3,0.5,0.0,0.7,0.0,1.0,0.0,0.7,0.0,0.637,0.08,0.367,0.046,0.27,0.095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.836,0.021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,65.095,4.235,78798.667,59.408,0.163,0.051,0.467,0.098
hard_full_evening_chain,agentsociety_official_plan_blocks,3,0.548,0.206,0.683,0.144,1.0,0.0,0.683,0.144,0.84,0.053,0.533,0.133,0.307,0.155,0.0,0.0,0.0,0.0,0.333,0.577,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.333,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,32.252,9.933,17302.0,472.918,0.897,0.051,0.767,0.075
hard_full_evening_chain,gatsim_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.873,0.042,0.393,0.046,0.48,0.087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.897,1.129,10709.667,264.889,0.843,0.072,0.647,0.115
hard_full_evening_chain,generative_agents_official_planner,3,0.667,0.206,0.767,0.144,1.0,0.0,0.767,0.144,0.56,0.314,0.227,0.175,0.333,0.168,0.0,0.0,0.0,0.0,0.667,0.577,1.0,0.0,1.0,0.0,0.0,0.0,0.987,0.022,1.0,0.0,0.667,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.991,1.275,8299.333,73.657,0.617,0.438,0.38,0.304
