agent_type,failure,count,events_per_trace
agentsociety_official_plan_blocks,goal_drift,1,0.056
agentsociety_official_plan_blocks,invalid_state_transition,8,0.444
api_llm_plan_and_execute,money_budget_failure,3,0.167
api_llm_react_tool_policy,money_budget_failure,3,0.167
gatsim_official_planner,invalid_state_transition,32,1.778
gatsim_official_planner,money_budget_failure,3,0.167
gatsim_official_planner,time_budget_failure,1,0.056
generative_agents_official_planner,goal_drift,3,0.167
generative_agents_official_planner,invalid_state_transition,3,0.167
generative_agents_official_planner,money_budget_failure,1,0.056
generative_agents_official_planner,social_derailment,2,0.111
sotopia_official_llm_agent,done_state_loop,4,0.222
sotopia_official_llm_agent,goal_drift,1,0.056
sotopia_official_llm_agent,invalid_state_transition,20,1.111
sotopia_official_llm_agent,money_budget_failure,8,0.444
sotopia_official_llm_agent,social_derailment,2,0.111
