scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
social_copresence_decoy_location,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:35,quiet_cafe,6.0,0,{},7,49.298,56911,6239,63150,True
social_copresence_decoy_location,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:38,quiet_cafe,6.0,0,{},1,9.95,6871,1014,7885,True
social_copresence_decoy_location,social_outcome,gatsim_official_planner,1.0,0.5,0.5,0.5,0.0,0.15,0.0,0.429,,0.5,,1.0,1.0,0.075,0.0,0.0,0.0,13:10,quiet_cafe,6.0,5,"{""invalid_state_transition"": 5}",6,158.873,57274,9115,66389,True
social_copresence_decoy_location,social_outcome,sotopia_official_llm_agent,1.0,0.889,0.111,0.111,1.0,0.8,1.0,0.429,,0.111,,0.618,1.0,0.711,1.0,0.0,0.0,12:40,quiet_cafe,6.0,1,"{""money_budget_failure"": 1}",10,88.048,66222,6471,72693,True
social_copresence_decoy_location,social_outcome,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.618,1.0,1.0,1.0,0.0,0.0,13:02,quiet_cafe,6.0,0,{},1,16.07,6571,1234,7805,True
social_copresence_decoy_location,social_outcome,agentsociety_official_plan_blocks,1.0,0.857,0.143,0.143,0.0,0.8,1.0,0.429,,0.143,,1.0,1.0,0.686,1.0,0.0,0.0,12:54,quiet_cafe,6.0,1,"{""invalid_state_transition"": 1}",4,48.695,25758,1971,27729,True
social_copresence_event_window,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,16:30,market,2.0,0,{},6,52.947,43618,1178,44796,True
social_copresence_event_window,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,16:31,market,2.0,0,{},1,19.127,6864,881,7745,True
social_copresence_event_window,social_outcome,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,16:30,market,2.0,0,{},1,22.256,8123,570,8693,True
social_copresence_event_window,social_outcome,sotopia_official_llm_agent,1.0,0.8,0.2,0.2,0.0,0.2,0.0,0.4,,0.2,,0.895,1.0,0.16,0.0,0.0,0.0,16:25,market,16.0,1,"{""money_budget_failure"": 1}",6,63.867,37887,2198,40085,True
social_copresence_event_window,social_outcome,generative_agents_official_planner,1.0,0.857,0.143,0.143,1.0,0.7,1.0,0.4,,0.143,,1.0,1.0,0.6,1.0,0.0,0.0,16:58,market,2.0,1,"{""money_budget_failure"": 1}",3,43.853,17128,2728,19856,True
social_copresence_event_window,social_outcome,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.895,1.0,1.0,1.0,0.0,0.0,16:30,market,2.0,0,{},2,27.877,12894,990,13884,True
social_copresence_message_gated,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:40,quiet_cafe,6.0,0,{},7,79.863,55313,4504,59817,True
social_copresence_message_gated,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:43,quiet_cafe,6.0,0,{},1,18.742,6867,1080,7947,True
social_copresence_message_gated,social_outcome,gatsim_official_planner,1.0,0.4,0.6,0.6,0.0,0.15,0.0,0.429,,0.6,,1.0,1.0,0.06,0.0,0.0,0.0,13:05,quiet_cafe,6.0,6,"{""invalid_state_transition"": 6}",6,90.443,55314,6486,61800,True
social_copresence_message_gated,social_outcome,sotopia_official_llm_agent,1.0,0.9,0.1,0.1,1.0,0.35,0.308,0.429,,0.1,,0.618,1.0,0.315,0.5,0.0,0.0,12:50,quiet_cafe,6.0,1,"{""money_budget_failure"": 1}",10,154.533,68184,9786,77970,True
social_copresence_message_gated,social_outcome,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.955,1.0,1.0,1.0,0.0,0.0,12:42,quiet_cafe,6.0,0,{},1,18.496,6574,1328,7902,True
social_copresence_message_gated,social_outcome,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.618,1.0,1.0,1.0,0.0,0.0,12:42,quiet_cafe,16.0,0,{},2,74.506,13662,2501,16163,True
social_copresence_open_meet,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:40,park,16.0,0,{},5,90.209,39339,4378,43717,True
social_copresence_open_meet,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:46,park,16.0,0,{},1,15.399,6808,1142,7950,True
social_copresence_open_meet,social_outcome,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:40,park,16.0,0,{},1,16.714,8795,1013,9808,True
social_copresence_open_meet,social_outcome,sotopia_official_llm_agent,1.0,0.714,0.286,0.286,0.0,0.7,1.0,0.4,,0.286,,1.0,1.0,0.5,1.0,0.0,0.0,12:50,park,16.0,2,"{""done_state_loop"": 1, ""invalid_state_transition"": 1}",8,61.666,55303,8115,63418,True
social_copresence_open_meet,social_outcome,generative_agents_official_planner,1.0,0.889,0.111,0.111,0.0,0.2,0.0,0.4,,0.111,,0.893,1.0,0.178,0.0,0.0,1.0,13:14,park,16.0,1,"{""invalid_state_transition"": 1, ""social_derailment"": 1}",3,38.324,17918,4088,22006,True
social_copresence_open_meet,social_outcome,agentsociety_official_plan_blocks,1.0,0.9,0.1,0.1,0.0,0.7,1.0,0.4,,0.1,,0.893,1.0,0.63,1.0,0.0,0.0,12:42,park,16.0,1,"{""invalid_state_transition"": 1}",4,49.531,27644,4444,32088,True
social_copresence_two_party,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:03,cafe_central,8.0,0,{},8,70.256,65925,6834,72759,True
social_copresence_two_party,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:03,cafe_central,8.0,0,{},1,15.041,7064,1721,8785,True
social_copresence_two_party,social_outcome,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:03,cafe_central,8.0,0,{},1,13.167,8845,2029,10874,True
social_copresence_two_party,social_outcome,sotopia_official_llm_agent,1.0,0.643,0.357,0.357,1.0,0.5,0.5,0.5,,0.357,,0.958,1.0,0.321,0.5,1.0,1.0,12:59,cafe_central,8.0,5,"{""done_state_loop"": 2, ""invalid_state_transition"": 3, ""money_budget_failure"": 1, ""social_derailment"": 1}",14,121.144,101656,16513,118169,True
social_copresence_two_party,social_outcome,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.92,1.0,1.0,1.0,0.0,0.0,13:34,cafe_central,20.0,0,{},1,13.837,6587,1313,7900,True
social_copresence_two_party,social_outcome,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:03,cafe_central,8.0,0,{},2,26.302,13770,3517,17287,True
social_copresence_with_errand,social_outcome,api_llm_react_tool_policy,1.0,0.857,0.143,0.143,1.0,0.6,1.0,0.0,,0.143,,1.0,0.0,0.514,1.0,0.0,0.0,17:47,market,-5.0,1,"{""money_budget_failure"": 1}",8,47.68,65417,7415,72832,True
social_copresence_with_errand,social_outcome,api_llm_plan_and_execute,1.0,0.889,0.111,0.111,0.0,0.6,1.0,0.0,,0.111,,1.0,0.0,0.533,1.0,0.0,0.0,17:42,pharmacy,-5.0,1,"{""money_budget_failure"": 1}",1,18.805,6864,2277,9141,True
social_copresence_with_errand,social_outcome,gatsim_official_planner,1.0,0.909,0.091,0.091,1.0,0.6,1.0,0.0,,0.091,,0.577,0.0,0.545,1.0,0.0,0.0,18:11,home_aria,-5.0,1,"{""money_budget_failure"": 1}",2,30.535,18198,4080,22278,True
social_copresence_with_errand,social_outcome,sotopia_official_llm_agent,1.0,0.917,0.083,0.083,0.0,0.8,1.0,0.5,,0.083,,0.811,1.0,0.733,1.0,0.0,0.0,17:48,market,9.0,1,"{""invalid_state_transition"": 1}",12,88.171,84080,12117,96197,True
social_copresence_with_errand,social_outcome,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,17:38,pharmacy,9.0,0,{},1,10.671,6592,1326,7918,True
social_copresence_with_errand,social_outcome,agentsociety_official_plan_blocks,1.0,0.9,0.1,0.1,0.0,0.8,1.0,0.5,,0.1,,1.0,1.0,0.72,1.0,0.0,0.0,17:47,market,9.0,1,"{""invalid_state_transition"": 1}",4,68.22,27773,6566,34339,True
