scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,social_appropriateness_mean,social_appropriateness_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
social_copresence_decoy_location,agentsociety_official_plan_blocks,3,1.0,0.0,0.867,0.115,0.905,0.083,0.791,0.181,0.937,0.021,0.86,0.075,0.077,0.064,0.095,0.083,0.0,0.0,0.0,0.0,0.619,0.33,1.0,0.0,0.095,0.083,0.985,0.026,1.0,0.0,1.0,0.0,0.095,0.083,0.0,0.0,0.045,0.04,0.0,0.0,0.0,0.0,3.333,1.155,38.963,17.479,25372.667,8964.842,0.977,0.006,0.893,0.012
social_copresence_decoy_location,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.93,0.03,0.837,0.102,0.093,0.075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.846,3.039,8107.0,192.351,0.96,0.026,0.86,0.02
social_copresence_decoy_location,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.957,0.023,0.827,0.081,0.13,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,53.858,4.893,63057.333,133.751,0.97,0.01,0.89,0.017
social_copresence_decoy_location,gatsim_official_planner,3,0.0,0.0,0.15,0.0,0.485,0.079,0.073,0.012,0.74,0.035,0.28,0.0,0.46,0.035,0.515,0.079,0.0,0.0,0.0,0.0,0.429,0.0,1.0,0.0,0.515,0.079,1.0,0.0,1.0,0.0,0.0,0.0,0.515,0.079,0.0,0.0,0.255,0.081,0.0,0.0,0.0,0.0,5.667,0.577,98.764,54.841,61658.333,6668.023,0.387,0.049,0.35,0.053
social_copresence_decoy_location,generative_agents_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.883,0.112,0.627,0.185,0.257,0.126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.843,0.195,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.782,1.381,7974.667,199.876,0.9,0.053,0.737,0.148
social_copresence_decoy_location,sotopia_official_llm_agent,3,1.0,0.0,0.867,0.115,0.93,0.061,0.81,0.164,0.897,0.021,0.767,0.163,0.13,0.156,0.07,0.061,0.0,0.0,0.0,0.0,0.619,0.33,1.0,0.0,0.07,0.061,0.73,0.195,1.0,0.0,1.0,0.0,0.07,0.061,0.667,0.577,0.01,0.018,0.0,0.0,0.0,0.0,9.333,1.155,64.249,20.812,71231.333,8990.064,0.883,0.112,0.82,0.044
social_copresence_event_window,agentsociety_official_plan_blocks,3,1.0,0.0,0.9,0.173,0.944,0.096,0.861,0.241,0.903,0.006,0.443,0.107,0.46,0.101,0.056,0.096,0.0,0.0,0.0,0.0,0.8,0.346,1.0,0.0,0.056,0.096,0.779,0.2,1.0,0.0,1.0,0.0,0.056,0.096,0.0,0.0,0.022,0.039,0.0,0.0,0.0,0.0,2.667,1.155,26.809,7.49,20843.333,10164.569,0.887,0.09,0.637,0.162
social_copresence_event_window,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.943,0.023,0.677,0.065,0.267,0.068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.742,4.681,7988.667,214.505,0.953,0.025,0.867,0.042
social_copresence_event_window,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.943,0.031,0.74,0.193,0.203,0.167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,41.409,11.082,49698.0,4246.087,0.93,0.061,0.793,0.168
social_copresence_event_window,gatsim_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.85,0.026,0.397,0.078,0.453,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.115,7.077,9730.333,905.561,0.883,0.081,0.51,0.199
