scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,social_appropriateness_mean,social_appropriateness_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
hard_budget_entangled_meet,api_llm_plan_and_execute,3,0.59,0.355,0.633,0.318,0.926,0.064,0.6,0.346,0.823,0.125,0.487,0.22,0.337,0.136,0.074,0.064,0.0,0.0,0.667,0.577,0.714,0.248,1.0,0.0,0.074,0.064,1.0,0.0,1.0,0.0,0.333,0.577,0.074,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.431,24.373,2753.0,7.0,0.857,0.117,0.737,0.107
hard_budget_entangled_meet,api_llm_react_tool_policy,3,0.923,0.133,0.95,0.087,1.0,0.0,0.95,0.087,0.85,0.062,0.6,0.231,0.25,0.182,0.0,0.0,0.0,0.0,0.333,0.577,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.667,1.528,649.589,165.933,46741.0,4551.939,0.87,0.13,0.74,0.151
hard_deadline_then_meet,api_llm_plan_and_execute,3,0.5,0.0,0.567,0.115,0.905,0.083,0.519,0.156,0.883,0.04,0.347,0.11,0.537,0.119,0.095,0.083,0.0,0.0,0.0,0.0,0.667,0.289,1.0,0.0,0.095,0.083,0.976,0.041,1.0,0.0,0.0,0.0,0.095,0.083,0.0,0.0,0.025,0.041,0.0,0.0,0.0,0.0,1.0,0.0,99.962,68.603,6561.333,3340.684,0.853,0.112,0.753,0.031
hard_deadline_then_meet,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.923,0.031,0.787,0.103,0.137,0.076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.333,0.577,307.526,138.966,36186.333,1619.044,0.963,0.015,0.863,0.076
hard_full_evening_chain,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.02,0.76,0.092,0.2,0.111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.699,31.39,2655.667,21.595,0.967,0.015,0.913,0.012
hard_full_evening_chain,api_llm_react_tool_policy,3,0.714,0.124,0.75,0.087,0.97,0.053,0.729,0.11,0.867,0.012,0.503,0.076,0.363,0.068,0.03,0.053,0.0,0.0,1.0,0.0,0.833,0.289,1.0,0.0,0.03,0.053,1.0,0.0,1.0,0.0,1.0,0.0,0.03,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.732,302.156,108.643,46393.667,7731.003,0.83,0.056,0.713,0.031
hard_overlapping_windows,api_llm_plan_and_execute,3,0.333,0.289,0.4,0.173,0.783,0.159,0.332,0.184,0.687,0.058,0.31,0.089,0.377,0.091,0.217,0.159,0.0,0.0,0.667,0.577,0.5,0.0,1.0,0.0,0.217,0.159,1.0,0.0,1.0,0.0,0.333,0.289,0.217,0.159,0.333,0.577,0.04,0.069,0.0,0.0,0.0,0.0,1.0,0.0,21.783,12.818,2666.0,9.644,0.633,0.254,0.423,0.121
hard_overlapping_windows,api_llm_react_tool_policy,3,0.5,0.0,0.7,0.0,1.0,0.0,0.7,0.0,0.813,0.086,0.477,0.119,0.337,0.055,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,147.256,104.708,30989.333,2302.154,0.82,0.157,0.693,0.103
hard_stale_plan_override,api_llm_plan_and_execute,3,0.778,0.385,0.8,0.346,0.944,0.096,0.778,0.385,0.887,0.025,0.74,0.111,0.147,0.086,0.056,0.096,0.0,0.0,0.0,0.0,0.833,0.289,1.0,0.0,0.056,0.096,1.0,0.0,1.0,0.0,0.833,0.289,0.056,0.096,0.0,0.0,0.009,0.016,0.0,0.0,0.0,0.0,1.0,0.0,34.217,23.277,4053.667,1438.896,0.93,0.03,0.833,0.05
hard_stale_plan_override,api_llm_react_tool_policy,3,1.0,0.0,0.933,0.115,0.944,0.096,0.889,0.192,0.77,0.131,0.337,0.098,0.433,0.129,0.056,0.096,0.0,0.0,0.0,0.0,0.833,0.289,1.0,0.0,0.056,0.096,1.0,0.0,1.0,0.0,1.0,0.0,0.056,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.667,1.155,153.497,148.557,28208.0,3253.202,0.773,0.204,0.64,0.173
hard_three_meeting_relay,api_llm_plan_and_execute,3,0.556,0.509,0.667,0.306,0.976,0.041,0.652,0.311,0.817,0.205,0.317,0.254,0.5,0.246,0.024,0.041,0.0,0.0,0.667,0.577,0.833,0.289,1.0,0.0,0.024,0.041,1.0,0.0,1.0,0.0,0.556,0.509,0.024,0.041,0.0,0.0,0.004,0.006,0.0,0.0,0.0,0.0,1.0,0.0,26.898,11.221,3441.667,68.537,0.72,0.32,0.56,0.299
hard_three_meeting_relay,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.94,0.017,0.68,0.125,0.26,0.121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,288.18,157.884,62280.667,4159.641,0.923,0.032,0.757,0.064
