scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,social_appropriateness_mean,social_appropriateness_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
hard_budget_entangled_meet,api_llm_plan_and_execute,3,0.59,0.355,0.733,0.231,1.0,0.0,0.733,0.231,0.787,0.031,0.533,0.092,0.253,0.103,0.0,0.0,0.0,0.0,0.667,0.577,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.333,0.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.595,3.747,3090.0,3.0,0.827,0.105,0.713,0.031
hard_budget_entangled_meet,api_llm_react_tool_policy,3,0.923,0.133,0.95,0.087,1.0,0.0,0.95,0.087,0.943,0.015,0.56,0.356,0.393,0.348,0.0,0.0,0.0,0.0,0.333,0.577,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.667,0.577,81.116,18.875,44508.667,2413.096,0.913,0.081,0.803,0.091
hard_deadline_then_meet,api_llm_plan_and_execute,3,0.5,0.0,0.7,0.0,1.0,0.0,0.7,0.0,0.813,0.031,0.367,0.046,0.447,0.031,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.709,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.823,2.583,3528.333,17.898,0.713,0.006,0.49,0.085
hard_deadline_then_meet,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.963,0.006,0.79,0.151,0.173,0.157,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,66.005,22.378,35853.667,53.799,0.96,0.017,0.883,0.006
hard_full_evening_chain,api_llm_plan_and_execute,3,0.857,0.124,0.9,0.087,1.0,0.0,0.9,0.087,0.877,0.047,0.593,0.258,0.283,0.217,0.0,0.0,0.0,0.0,0.667,0.577,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.479,0.902,3197.0,114.713,0.883,0.071,0.707,0.184
hard_full_evening_chain,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.937,0.029,0.837,0.098,0.1,0.069,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,65.159,4.084,42825.333,214.001,0.96,0.02,0.903,0.032
hard_overlapping_windows,api_llm_plan_and_execute,3,0.5,0.0,0.5,0.0,0.863,0.01,0.432,0.005,0.877,0.047,0.477,0.263,0.4,0.243,0.137,0.01,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.137,0.01,1.0,0.0,1.0,0.0,0.5,0.0,0.137,0.01,0.0,0.0,0.019,0.031,0.0,0.0,0.0,0.0,1.0,0.0,11.591,0.981,2922.333,56.323,0.79,0.21,0.607,0.28
hard_overlapping_windows,api_llm_react_tool_policy,3,0.667,0.289,0.8,0.173,1.0,0.0,0.8,0.173,0.897,0.055,0.717,0.241,0.18,0.209,0.0,0.0,0.0,0.0,0.667,0.577,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.667,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,43.748,2.041,30439.333,140.008,0.937,0.038,0.807,0.09
hard_stale_plan_override,api_llm_plan_and_execute,3,0.333,0.0,0.6,0.0,1.0,0.0,0.6,0.0,0.823,0.04,0.46,0.144,0.363,0.155,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.045,0.762,2704.0,5.0,0.777,0.146,0.66,0.114
hard_stale_plan_override,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.89,0.044,0.533,0.112,0.357,0.133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,34.014,0.509,21819.0,47.127,0.913,0.035,0.747,0.038
hard_three_meeting_relay,api_llm_plan_and_execute,3,0.556,0.193,0.533,0.115,0.897,0.044,0.482,0.125,0.95,0.026,0.437,0.242,0.513,0.241,0.103,0.044,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.103,0.044,1.0,0.0,1.0,0.0,0.556,0.193,0.103,0.044,0.0,0.0,0.054,0.057,0.0,0.0,0.0,0.0,1.0,0.0,14.268,0.929,3718.0,10.583,0.797,0.096,0.717,0.095
hard_three_meeting_relay,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.937,0.021,0.897,0.029,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,75.683,6.374,60268.667,173.866,0.973,0.006,0.873,0.031
