scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,social_appropriateness_mean,social_appropriateness_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
hard_budget_entangled_meet,api_llm_plan_and_execute,3,0.538,0.133,0.6,0.0,0.933,0.058,0.56,0.035,0.797,0.067,0.4,0.017,0.397,0.078,0.067,0.058,0.0,0.0,0.333,0.577,0.714,0.248,1.0,0.0,0.067,0.058,1.0,0.0,1.0,0.0,0.0,0.0,0.067,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.811,1.033,2877.333,40.415,0.707,0.042,0.647,0.115
hard_budget_entangled_meet,api_llm_react_tool_policy,3,0.769,0.0,0.8,0.087,0.963,0.064,0.774,0.132,0.9,0.035,0.59,0.154,0.31,0.131,0.037,0.064,0.333,0.577,1.0,0.0,0.857,0.248,1.0,0.0,0.037,0.064,1.0,0.0,1.0,0.0,1.0,0.0,0.037,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,68.422,6.296,38207.667,794.51,0.843,0.098,0.743,0.126
hard_deadline_then_meet,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.933,0.015,0.647,0.07,0.287,0.055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.841,0.531,2931.667,2.887,0.9,0.01,0.82,0.072
hard_deadline_then_meet,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.0,0.9,0.03,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,53.554,5.78,32920.667,116.092,0.98,0.0,0.92,0.017
hard_full_evening_chain,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.927,0.021,0.707,0.081,0.22,0.075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.577,0.838,2808.667,0.577,0.897,0.055,0.887,0.012
hard_full_evening_chain,api_llm_react_tool_policy,3,0.786,0.0,0.55,0.0,0.9,0.0,0.495,0.0,0.887,0.025,0.567,0.012,0.32,0.026,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1.0,0.0,0.003,0.006,0.0,0.0,0.0,0.0,11.0,0.0,78.019,2.352,43389.333,71.842,0.877,0.042,0.76,0.02
hard_overlapping_windows,api_llm_plan_and_execute,3,0.5,0.0,0.5,0.0,0.852,0.064,0.426,0.032,0.81,0.096,0.327,0.101,0.483,0.142,0.148,0.064,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.148,0.064,1.0,0.0,1.0,0.0,0.5,0.0,0.148,0.064,0.0,0.0,0.01,0.018,0.0,0.0,0.0,0.0,1.0,0.0,18.771,1.57,2776.667,116.423,0.687,0.116,0.74,0.04
hard_overlapping_windows,api_llm_react_tool_policy,3,0.5,0.0,0.7,0.0,1.0,0.0,0.7,0.0,0.867,0.051,0.513,0.081,0.353,0.035,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,52.835,6.911,27645.0,83.217,0.89,0.056,0.763,0.095
hard_stale_plan_override,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.907,0.061,0.707,0.085,0.2,0.026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.659,2.28,2530.0,31.432,0.807,0.162,0.823,0.107
hard_stale_plan_override,api_llm_react_tool_policy,3,0.667,0.577,0.733,0.462,0.81,0.33,0.695,0.528,0.853,0.117,0.427,0.086,0.427,0.12,0.19,0.33,0.0,0.0,0.0,0.0,0.833,0.289,1.0,0.0,0.19,0.33,1.0,0.0,1.0,0.0,0.667,0.577,0.19,0.33,0.0,0.0,0.157,0.272,0.0,0.0,0.0,0.0,7.0,1.0,46.916,9.209,23609.333,3951.118,0.813,0.086,0.713,0.115
hard_three_meeting_relay,api_llm_plan_and_execute,3,0.889,0.192,0.867,0.231,0.976,0.041,0.852,0.256,0.797,0.153,0.443,0.105,0.353,0.18,0.024,0.041,0.0,0.0,0.333,0.577,0.833,0.289,1.0,0.0,0.024,0.041,1.0,0.0,1.0,0.0,0.889,0.192,0.024,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.466,1.111,3618.0,43.0,0.76,0.171,0.707,0.127
hard_three_meeting_relay,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.923,0.012,0.713,0.031,0.21,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,85.774,13.554,54733.667,97.027,0.907,0.046,0.753,0.04
