repeat_id,scenario_id,agent_type,gpt54mini_face_plausibility,gpt54_face_plausibility,abs_diff_face_plausibility,threshold_agree_face_plausibility,gpt54mini_trace_believability,gpt54_trace_believability,abs_diff_trace_believability,threshold_agree_trace_believability,gpt54mini_rationale_alignment,gpt54_rationale_alignment,abs_diff_rationale_alignment,threshold_agree_rationale_alignment,gpt54mini_urban_common_sense,gpt54_urban_common_sense,abs_diff_urban_common_sense,threshold_agree_urban_common_sense
1,paired_study_a,agentsociety_official_plan_blocks,0.98,0.97,0.01,1,0.97,0.95,0.02,1,0.99,0.99,0.0,1,0.98,0.98,0.0,1
1,paired_study_a,gatsim_official_planner,0.9,0.95,0.05,1,0.82,0.93,0.11,1,0.95,0.78,0.17,1,0.88,0.97,0.09,1
1,paired_study_a,generative_agents_official_planner,0.97,0.97,0.0,1,0.95,0.95,0.0,1,0.98,0.62,0.36,0,0.94,0.98,0.04,1
1,paired_study_b,agentsociety_official_plan_blocks,0.93,0.62,0.31,0,0.88,0.34,0.54,0,0.97,0.72,0.25,1,0.9,0.4,0.5,0
1,paired_study_b,gatsim_official_planner,0.42,0.82,0.4,0,0.12,0.71,0.59,0,0.18,0.58,0.4,1,0.28,0.8,0.52,0
1,paired_study_b,generative_agents_official_planner,0.88,0.83,0.05,1,0.56,0.71,0.15,0,0.22,0.52,0.3,1,0.74,0.86,0.12,1
2,paired_study_a,agentsociety_official_plan_blocks,0.96,0.95,0.01,1,0.91,0.93,0.02,1,0.98,0.98,0.0,1,0.95,0.97,0.02,1
2,paired_study_a,gatsim_official_planner,0.82,0.79,0.03,1,0.46,0.61,0.15,1,0.74,0.46,0.28,0,0.71,0.72,0.01,1
2,paired_study_a,generative_agents_official_planner,0.97,0.97,0.0,1,0.92,0.95,0.03,1,0.55,0.74,0.19,0,0.98,0.98,0.0,1
2,paired_study_b,agentsociety_official_plan_blocks,0.84,0.7,0.14,1,0.71,0.42,0.29,0,0.91,0.62,0.29,0,0.8,0.68,0.12,0
2,paired_study_b,gatsim_official_planner,0.68,0.84,0.16,0,0.22,0.71,0.49,0,0.26,0.58,0.32,1,0.57,0.8,0.23,0
2,paired_study_b,generative_agents_official_planner,0.72,0.73,0.01,1,0.38,0.58,0.2,1,0.18,0.34,0.16,1,0.64,0.68,0.04,1
3,paired_study_a,agentsociety_official_plan_blocks,0.94,0.97,0.03,1,0.88,0.95,0.07,1,0.97,0.99,0.02,1,0.93,0.98,0.05,1
3,paired_study_a,gatsim_official_planner,0.93,0.83,0.1,1,0.38,0.72,0.34,0,0.32,0.62,0.3,1,0.41,0.87,0.46,0
3,paired_study_a,generative_agents_official_planner,0.98,0.97,0.01,1,0.97,0.95,0.02,1,0.95,0.74,0.21,1,0.96,0.98,0.02,1
3,paired_study_b,agentsociety_official_plan_blocks,0.86,0.62,0.24,0,0.52,0.28,0.24,1,0.88,0.41,0.47,0,0.74,0.52,0.22,0
3,paired_study_b,gatsim_official_planner,0.58,0.8,0.22,0,0.22,0.68,0.46,1,0.44,0.52,0.08,1,0.35,0.78,0.43,0
3,paired_study_b,generative_agents_official_planner,0.83,0.82,0.01,1,0.62,0.61,0.01,1,0.25,0.35,0.1,1,0.74,0.83,0.09,1
