repeat_id,scenario_id,agent_type,gpt54mini_face_plausibility,gpt54_face_plausibility,abs_diff_face_plausibility,threshold_agree_face_plausibility,gpt54mini_trace_believability,gpt54_trace_believability,abs_diff_trace_believability,threshold_agree_trace_believability,gpt54mini_rationale_alignment,gpt54_rationale_alignment,abs_diff_rationale_alignment,threshold_agree_rationale_alignment,gpt54mini_urban_common_sense,gpt54_urban_common_sense,abs_diff_urban_common_sense,threshold_agree_urban_common_sense
1,avoid_crowd_event,agentsociety_official_plan_blocks,0.91,0.86,0.05,1,0.74,0.7,0.04,1,0.95,0.94,0.01,1,0.88,0.88,0.0,1
1,avoid_crowd_event,gatsim_official_planner,0.33,0.82,0.49,0,0.12,0.61,0.49,1,0.18,0.46,0.28,1,0.25,0.79,0.54,0
1,avoid_crowd_event,generative_agents_official_planner,0.87,0.76,0.11,1,0.42,0.52,0.1,1,0.86,0.38,0.48,0,0.58,0.81,0.23,0
1,avoid_crowd_event,sotopia_official_llm_agent,0.62,0.72,0.1,0,0.18,0.31,0.13,1,0.28,0.38,0.1,1,0.22,0.7,0.48,0
1,budget_errand_chain,agentsociety_official_plan_blocks,0.94,0.92,0.02,1,0.88,0.9,0.02,1,0.98,0.96,0.02,1,0.92,0.94,0.02,1
1,budget_errand_chain,gatsim_official_planner,0.72,0.9,0.18,1,0.34,0.88,0.54,0,0.22,0.62,0.4,1,0.28,0.95,0.67,0
1,budget_errand_chain,generative_agents_official_planner,0.74,0.55,0.19,0,0.22,0.22,0.0,1,0.58,0.18,0.4,1,0.28,0.52,0.24,1
1,budget_errand_chain,sotopia_official_llm_agent,0.78,0.72,0.06,1,0.34,0.28,0.06,1,0.62,0.42,0.2,1,0.55,0.55,0.0,1
1,closed_poi_replacement,agentsociety_official_plan_blocks,0.64,0.84,0.2,0,0.34,0.72,0.38,0,0.78,0.76,0.02,1,0.71,0.9,0.19,1
1,closed_poi_replacement,gatsim_official_planner,0.72,0.93,0.21,1,0.29,0.89,0.6,0,0.78,0.68,0.1,0,0.68,0.94,0.26,0
1,closed_poi_replacement,generative_agents_official_planner,0.82,0.9,0.08,1,0.18,0.82,0.64,0,0.12,0.42,0.3,1,0.71,0.88,0.17,1
1,closed_poi_replacement,sotopia_official_llm_agent,0.78,0.88,0.1,1,0.42,0.8,0.38,0,0.52,0.42,0.1,1,0.7,0.86,0.16,1
1,closed_study_spot_replacement,agentsociety_official_plan_blocks,0.78,0.84,0.06,1,0.44,0.72,0.28,0,0.72,0.63,0.09,0,0.67,0.86,0.19,0
1,closed_study_spot_replacement,gatsim_official_planner,0.82,0.72,0.1,1,0.48,0.43,0.05,1,0.77,0.38,0.39,0,0.74,0.61,0.13,0
1,closed_study_spot_replacement,generative_agents_official_planner,0.97,0.82,0.15,1,0.82,0.68,0.14,0,0.12,0.38,0.26,1,0.9,0.8,0.1,1
1,closed_study_spot_replacement,sotopia_official_llm_agent,0.71,0.42,0.29,0,0.12,0.1,0.02,1,0.18,0.12,0.06,1,0.22,0.3,0.08,1
1,commute_disruption,agentsociety_official_plan_blocks,0.96,0.66,0.3,0,0.42,0.43,0.01,1,0.77,0.72,0.05,1,0.58,0.7,0.12,0
1,commute_disruption,gatsim_official_planner,0.15,0.55,0.4,1,0.08,0.18,0.1,1,0.12,0.22,0.1,1,0.18,0.35,0.17,1
1,commute_disruption,generative_agents_official_planner,0.17,0.7,0.53,0,0.09,0.42,0.33,1,0.12,0.18,0.06,1,0.14,0.72,0.58,0
1,commute_disruption,sotopia_official_llm_agent,0.73,0.52,0.21,0,0.22,0.18,0.04,1,0.18,0.22,0.04,1,0.28,0.35,0.07,1
1,conflicting_social_obligation,agentsociety_official_plan_blocks,0.78,0.52,0.26,0,0.24,0.18,0.06,1,0.86,0.22,0.64,0,0.33,0.4,0.07,1
1,conflicting_social_obligation,gatsim_official_planner,0.15,0.62,0.47,1,0.08,0.28,0.2,1,0.25,0.7,0.45,0,0.12,0.56,0.44,1
1,conflicting_social_obligation,generative_agents_official_planner,0.92,0.87,0.05,1,0.67,0.81,0.14,0,0.95,0.76,0.19,1,0.88,0.9,0.02,1
1,conflicting_social_obligation,sotopia_official_llm_agent,0.89,0.88,0.01,1,0.46,0.76,0.3,0,0.86,0.84,0.02,1,0.72,0.91,0.19,1
1,detour_commute_midroute_block,agentsociety_official_plan_blocks,0.82,0.73,0.09,1,0.68,0.69,0.01,1,0.9,0.88,0.02,1,0.84,0.76,0.08,1
1,detour_commute_midroute_block,gatsim_official_planner,0.18,0.58,0.4,1,0.08,0.18,0.1,1,0.22,0.22,0.0,1,0.15,0.4,0.25,1
1,detour_commute_midroute_block,generative_agents_official_planner,0.28,0.28,0.0,1,0.12,0.12,0.0,1,0.15,0.05,0.1,1,0.22,0.22,0.0,1
1,detour_commute_midroute_block,sotopia_official_llm_agent,0.84,0.9,0.06,1,0.32,0.82,0.5,0,0.18,0.55,0.37,1,0.76,0.88,0.12,1
1,lunch_meeting_time_pressure,agentsociety_official_plan_blocks,0.92,0.74,0.18,1,0.68,0.41,0.27,1,0.88,0.67,0.21,0,0.81,0.72,0.09,1
1,lunch_meeting_time_pressure,gatsim_official_planner,0.78,0.73,0.05,1,0.22,0.66,0.44,1,0.31,0.22,0.09,1,0.24,0.8,0.56,0
1,lunch_meeting_time_pressure,generative_agents_official_planner,0.87,0.72,0.15,1,0.58,0.34,0.24,1,0.22,0.18,0.04,1,0.76,0.58,0.18,0
1,lunch_meeting_time_pressure,sotopia_official_llm_agent,0.78,0.72,0.06,1,0.38,0.31,0.07,1,0.62,0.38,0.24,1,0.52,0.68,0.16,1
1,meeting_wait_trap,agentsociety_official_plan_blocks,0.83,0.69,0.14,0,0.41,0.24,0.17,1,0.76,0.33,0.43,0,0.72,0.58,0.14,0
1,meeting_wait_trap,gatsim_official_planner,0.76,0.42,0.34,0,0.22,0.18,0.04,1,0.31,0.12,0.19,1,0.6,0.28,0.32,1
1,meeting_wait_trap,generative_agents_official_planner,0.86,0.72,0.14,1,0.38,0.31,0.07,1,0.72,0.58,0.14,0,0.81,0.69,0.12,0
1,meeting_wait_trap,sotopia_official_llm_agent,0.88,0.42,0.46,0,0.34,0.1,0.24,1,0.92,0.28,0.64,0,0.76,0.18,0.58,0
1,memory_dependent_place_choice,agentsociety_official_plan_blocks,0.93,0.88,0.05,1,0.48,0.62,0.14,1,0.96,0.9,0.06,1,0.86,0.84,0.02,1
1,memory_dependent_place_choice,gatsim_official_planner,0.78,0.8,0.02,1,0.34,0.68,0.34,1,0.55,0.52,0.03,1,0.42,0.83,0.41,0
1,memory_dependent_place_choice,generative_agents_official_planner,0.93,0.87,0.06,1,0.9,0.74,0.16,1,0.62,0.58,0.04,1,0.89,0.89,0.0,1
1,memory_dependent_place_choice,sotopia_official_llm_agent,0.95,0.96,0.01,1,0.92,0.88,0.04,1,0.98,0.72,0.26,1,0.9,0.94,0.04,1
1,school_pickup_social_detour,agentsociety_official_plan_blocks,0.98,0.92,0.06,1,0.91,0.88,0.03,1,0.99,0.97,0.02,1,0.96,0.95,0.01,1
1,school_pickup_social_detour,gatsim_official_planner,0.74,0.92,0.18,1,0.18,0.89,0.71,0,0.7,0.58,0.12,0,0.25,0.96,0.71,0
1,school_pickup_social_detour,generative_agents_official_planner,0.18,0.58,0.4,1,0.05,0.34,0.29,1,0.12,0.22,0.1,1,0.14,0.48,0.34,1
1,school_pickup_social_detour,sotopia_official_llm_agent,0.48,0.28,0.2,1,0.12,0.08,0.04,1,0.35,0.12,0.23,1,0.22,0.18,0.04,1
1,unexpected_friend_encounter,agentsociety_official_plan_blocks,0.78,0.44,0.34,0,0.34,0.2,0.14,1,0.58,0.3,0.28,1,0.42,0.42,0.0,1
1,unexpected_friend_encounter,gatsim_official_planner,0.12,0.72,0.6,0,0.08,0.38,0.3,1,0.14,0.31,0.17,1,0.18,0.67,0.49,1
1,unexpected_friend_encounter,generative_agents_official_planner,0.71,0.74,0.03,1,0.42,0.62,0.2,1,0.86,0.46,0.4,0,0.63,0.78,0.15,0
1,unexpected_friend_encounter,sotopia_official_llm_agent,0.58,0.56,0.02,1,0.16,0.24,0.08,1,0.28,0.31,0.03,1,0.22,0.42,0.2,1
