scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std,replanning_success_mean,replanning_success_std,process_success_mean,process_success_std,social_appropriateness_mean,social_appropriateness_std
avoid_crowd_event,agentsociety_official_plan_blocks,1,0.5,0.0,0.7,0.0,1.0,0.0,0.7,0.0,0.91,0.0,0.74,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,22.279,0.0,28142.0,0.0,0.95,0.0,0.88,0.0,,,,,,
avoid_crowd_event,gatsim_official_planner,1,0.5,0.0,0.7,0.0,1.0,0.0,0.7,0.0,0.33,0.0,0.12,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.648,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.662,0.0,18637.0,0.0,0.18,0.0,0.25,0.0,,,,,,
avoid_crowd_event,generative_agents_official_planner,1,0.5,0.0,0.7,0.0,0.75,0.0,0.525,0.0,0.87,0.0,0.42,0.0,0.45,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,7.0,0.0,35.567,0.0,41885.0,0.0,0.86,0.0,0.58,0.0,,,,,,
avoid_crowd_event,sotopia_official_llm_agent,1,0.0,0.0,0.4,0.0,1.0,0.0,0.4,0.0,0.62,0.0,0.18,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.224,0.0,13540.0,0.0,0.28,0.0,0.22,0.0,,,,,,
budget_errand_chain,agentsociety_official_plan_blocks,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.94,0.0,0.88,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.362,0.0,14255.0,0.0,0.98,0.0,0.92,0.0,,,,,,
budget_errand_chain,gatsim_official_planner,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.72,0.0,0.34,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.869,0.0,9276.0,0.0,0.22,0.0,0.28,0.0,,,,,,
budget_errand_chain,generative_agents_official_planner,1,0.6,0.0,0.7,0.0,0.833,0.0,0.583,0.0,0.74,0.0,0.22,0.0,0.52,0.0,0.167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.167,0.0,1.0,0.0,1.0,0.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17.202,0.0,18559.0,0.0,0.58,0.0,0.28,0.0,,,,,,
budget_errand_chain,sotopia_official_llm_agent,1,0.0,0.0,0.25,0.0,0.75,0.0,0.188,0.0,0.78,0.0,0.34,0.0,0.44,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,5.0,0.0,18.515,0.0,34478.0,0.0,0.62,0.0,0.55,0.0,,,,,,
closed_poi_replacement,agentsociety_official_plan_blocks,1,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.34,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,12.0,0.0,73.99,0.0,85862.0,0.0,0.78,0.0,0.71,0.0,,,,,,
closed_poi_replacement,gatsim_official_planner,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.72,0.0,0.29,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.98,0.0,18582.0,0.0,0.78,0.0,0.68,0.0,,,,,,
