agent_type,failure,count,events_per_trace
agentsociety_official_plan_blocks,closed_place_action,1,0.167
agentsociety_official_plan_blocks,done_state_loop,1,0.167
agentsociety_official_plan_blocks,goal_drift,1,0.167
agentsociety_official_plan_blocks,invalid_state_transition,6,1.0
agentsociety_official_plan_blocks,money_budget_failure,2,0.333
gatsim_official_planner,closed_place_action,1,0.167
generative_agents_official_planner,done_state_loop,1,0.167
generative_agents_official_planner,impossible_route,1,0.167
generative_agents_official_planner,invalid_state_transition,2,0.333
generative_agents_official_planner,money_budget_failure,3,0.5
sotopia_official_llm_agent,closed_place_action,1,0.167
sotopia_official_llm_agent,goal_drift,4,0.667
sotopia_official_llm_agent,invalid_state_transition,3,0.5
sotopia_official_llm_agent,money_budget_failure,1,0.167
