repeat_id,scenario_id,agent_type,gpt54mini_face_plausibility,gpt54_face_plausibility,abs_diff_face_plausibility,threshold_agree_face_plausibility,gpt54mini_trace_believability,gpt54_trace_believability,abs_diff_trace_believability,threshold_agree_trace_believability,gpt54mini_rationale_alignment,gpt54_rationale_alignment,abs_diff_rationale_alignment,threshold_agree_rationale_alignment,gpt54mini_urban_common_sense,gpt54_urban_common_sense,abs_diff_urban_common_sense,threshold_agree_urban_common_sense
1,paired_commute_a,agentsociety_official_plan_blocks,0.96,0.98,0.02,1,0.93,0.97,0.04,1,0.98,0.9,0.08,1,0.95,0.99,0.04,1
1,paired_commute_a,gatsim_official_planner,0.9,0.95,0.05,1,0.15,0.92,0.77,0,0.35,0.7,0.35,0,0.2,0.94,0.74,0
1,paired_commute_a,generative_agents_official_planner,0.86,0.96,0.1,1,0.54,0.94,0.4,0,0.18,0.62,0.44,1,0.82,0.97,0.15,1
1,paired_commute_a,sotopia_official_llm_agent,0.93,0.99,0.06,1,0.95,0.98,0.03,1,0.98,0.86,0.12,1,0.92,0.99,0.07,1
1,paired_commute_b,agentsociety_official_plan_blocks,0.83,0.72,0.11,1,0.41,0.46,0.05,1,0.78,0.84,0.06,1,0.72,0.62,0.1,0
1,paired_commute_b,gatsim_official_planner,0.56,0.83,0.27,0,0.18,0.72,0.54,0,0.14,0.58,0.44,1,0.33,0.81,0.48,0
1,paired_commute_b,generative_agents_official_planner,0.78,0.76,0.02,1,0.24,0.58,0.34,1,0.12,0.35,0.23,1,0.33,0.72,0.39,0
1,paired_commute_b,sotopia_official_llm_agent,0.92,0.62,0.3,0,0.41,0.18,0.23,1,0.86,0.35,0.51,0,0.84,0.4,0.44,0
1,paired_pickup_a,agentsociety_official_plan_blocks,0.96,0.98,0.02,1,0.89,0.97,0.08,1,0.98,0.99,0.01,1,0.93,0.98,0.05,1
1,paired_pickup_a,gatsim_official_planner,0.24,0.88,0.64,0,0.08,0.84,0.76,0,0.12,0.58,0.46,1,0.18,0.9,0.72,0
1,paired_pickup_a,generative_agents_official_planner,0.9,0.96,0.06,1,0.28,0.93,0.65,0,0.18,0.62,0.44,1,0.62,0.97,0.35,0
1,paired_pickup_a,sotopia_official_llm_agent,0.84,0.82,0.02,1,0.18,0.61,0.43,1,0.22,0.42,0.2,1,0.27,0.74,0.47,0
1,paired_pickup_b,agentsociety_official_plan_blocks,0.72,0.72,0.0,1,0.18,0.29,0.11,1,0.93,0.76,0.17,1,0.22,0.58,0.36,1
1,paired_pickup_b,gatsim_official_planner,0.22,0.83,0.61,0,0.06,0.69,0.63,1,0.12,0.58,0.46,1,0.18,0.78,0.6,0
1,paired_pickup_b,generative_agents_official_planner,0.78,0.42,0.36,0,0.22,0.21,0.01,1,0.15,0.08,0.07,1,0.35,0.34,0.01,1
1,paired_pickup_b,sotopia_official_llm_agent,0.86,0.72,0.14,1,0.27,0.41,0.14,1,0.12,0.38,0.26,1,0.18,0.74,0.56,0
1,paired_study_a,agentsociety_official_plan_blocks,0.97,0.98,0.01,1,0.96,0.97,0.01,1,0.99,0.99,0.0,1,0.95,0.99,0.04,1
1,paired_study_a,gatsim_official_planner,0.93,0.78,0.15,1,0.52,0.56,0.04,1,0.96,0.62,0.34,0,0.78,0.57,0.21,0
1,paired_study_a,generative_agents_official_planner,0.96,0.96,0.0,1,0.95,0.95,0.0,1,0.98,0.74,0.24,1,0.97,0.98,0.01,1
1,paired_study_a,sotopia_official_llm_agent,0.97,0.97,0.0,1,0.44,0.95,0.51,0,0.85,0.72,0.13,1,0.78,0.98,0.2,1
1,paired_study_b,agentsociety_official_plan_blocks,0.82,0.72,0.1,1,0.58,0.43,0.15,1,0.79,0.58,0.21,0,0.74,0.68,0.06,0
1,paired_study_b,gatsim_official_planner,0.76,0.8,0.04,1,0.34,0.68,0.34,1,0.43,0.55,0.12,1,0.72,0.74,0.02,1
1,paired_study_b,generative_agents_official_planner,0.93,0.76,0.17,1,0.54,0.62,0.08,1,0.35,0.3,0.05,1,0.82,0.74,0.08,1
1,paired_study_b,sotopia_official_llm_agent,0.86,0.58,0.28,0,0.52,0.18,0.34,1,0.3,0.22,0.08,1,0.78,0.4,0.38,0
