repeat_id,pair_id,agent_type,control_scenario_id,treatment_scenario_id,control_task_completion,treatment_task_completion,delta_task_completion,control_trace_feasibility,treatment_trace_feasibility,delta_trace_feasibility,control_intention_consistency,treatment_intention_consistency,delta_intention_consistency,control_judge_face_plausibility,treatment_judge_face_plausibility,delta_judge_face_plausibility,control_judge_trace_believability,treatment_judge_trace_believability,delta_judge_trace_believability,control_impossible_trace_rate,treatment_impossible_trace_rate,delta_impossible_trace_rate,control_route_interruption_count,treatment_route_interruption_count,delta_route_interruption_count,control_verified_replan_count,treatment_verified_replan_count,delta_verified_replan_count,control_llm_calls,treatment_llm_calls,delta_llm_calls,control_llm_latency_seconds,treatment_llm_latency_seconds,delta_llm_latency_seconds,control_llm_total_tokens,treatment_llm_total_tokens,delta_llm_total_tokens,control_full_task,treatment_full_task,control_fully_feasible,treatment_fully_feasible,control_joint_success,treatment_joint_success
1,commute_midroute_block,agentsociety_official_plan_blocks,paired_commute_a,paired_commute_b,0.0,1.0,1.0,1.0,0.6,-0.4,0.45,0.45,0.0,0.96,0.83,-0.13,0.93,0.41,-0.52,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,24.514,84.255,59.741,13797.0,56415.0,42618.0,0.0,1.0,1.0,0.0,0.0,0.0
1,pickup_social_opportunity,agentsociety_official_plan_blocks,paired_pickup_a,paired_pickup_b,1.0,1.0,0.0,1.0,0.5,-0.5,1.0,0.45,-0.55,0.96,0.72,-0.24,0.89,0.18,-0.71,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,10.0,9.077,65.508,56.431,14000.0,86371.0,72371.0,1.0,1.0,1.0,0.0,1.0,0.0
1,study_place_closure,agentsociety_official_plan_blocks,paired_study_a,paired_study_b,1.0,0.538,-0.46199999999999997,1.0,0.625,-0.375,1.0,0.312,-0.688,0.97,0.82,-0.15000000000000002,0.96,0.58,-0.38,0.0,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,8.855,55.881,47.025999999999996,13962.0,72050.0,58088.0,1.0,0.0,1.0,0.0,1.0,0.0
1,commute_midroute_block,gatsim_official_planner,paired_commute_a,paired_commute_b,1.0,1.0,0.0,1.0,0.857,-0.14300000000000002,1.0,0.643,-0.357,0.9,0.56,-0.33999999999999997,0.15,0.18,0.03,0.0,0.143,0.143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,15.992,240.482,224.49,9090.0,28319.0,19229.0,1.0,1.0,1.0,0.0,1.0,0.0
1,pickup_social_opportunity,gatsim_official_planner,paired_pickup_a,paired_pickup_b,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.24,0.22,-0.01999999999999999,0.08,0.06,-0.020000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,21.986,12.769,-9.217,9307.0,18752.0,9445.0,1.0,1.0,1.0,1.0,1.0,1.0
1,study_place_closure,gatsim_official_planner,paired_study_a,paired_study_b,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.93,0.76,-0.17000000000000004,0.52,0.34,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,9.768,16.375,6.606999999999999,9262.0,18844.0,9582.0,1.0,1.0,1.0,1.0,1.0,1.0
1,commute_midroute_block,generative_agents_official_planner,paired_commute_a,paired_commute_b,1.0,1.0,0.0,1.0,0.8,-0.19999999999999996,1.0,0.6,-0.4,0.86,0.78,-0.07999999999999996,0.54,0.24,-0.30000000000000004,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,11.341,87.481,76.14,6697.0,30061.0,23364.0,1.0,1.0,1.0,0.0,1.0,0.0
1,pickup_social_opportunity,generative_agents_official_planner,paired_pickup_a,paired_pickup_b,1.0,1.0,0.0,1.0,0.75,-0.25,1.0,0.675,-0.32499999999999996,0.9,0.78,-0.12,0.28,0.22,-0.060000000000000026,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,11.506,42.728,31.222,6858.0,42775.0,35917.0,1.0,1.0,1.0,0.0,1.0,0.0
1,study_place_closure,generative_agents_official_planner,paired_study_a,paired_study_b,1.0,0.538,-0.46199999999999997,1.0,0.571,-0.42900000000000005,1.0,0.286,-0.714,0.96,0.93,-0.029999999999999916,0.95,0.54,-0.4099999999999999,0.0,0.429,0.429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,4.377,30.868,26.491,6758.0,42029.0,35271.0,1.0,0.0,1.0,0.0,1.0,0.0
1,commute_midroute_block,sotopia_official_llm_agent,paired_commute_a,paired_commute_b,0.0,0.0,0.0,1.0,1.0,0.0,0.45,0.45,0.0,0.93,0.92,-0.010000000000000009,0.95,0.41,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,48.348,44.602,-3.746000000000002,20223.0,20410.0,187.0,0.0,0.0,1.0,1.0,0.0,0.0
1,pickup_social_opportunity,sotopia_official_llm_agent,paired_pickup_a,paired_pickup_b,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.84,0.86,0.020000000000000018,0.18,0.27,0.09000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,9.163,13.992,4.829000000000001,20577.0,27638.0,7061.0,0.0,0.0,1.0,1.0,0.0,0.0
1,study_place_closure,sotopia_official_llm_agent,paired_study_a,paired_study_b,0.0,0.538,0.538,0.333,0.5,0.16699999999999998,0.05,0.25,0.2,0.97,0.86,-0.10999999999999999,0.44,0.52,0.08000000000000002,0.667,0.5,-0.16700000000000004,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,11.7,24.678,12.978000000000002,27515.0,49234.0,21719.0,0.0,0.0,0.0,0.0,0.0,0.0
