scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
paired_commute_a,paired_disruption,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,0.0,08:27,office,10.0,0,{},1,15.992,8791,299,9090,True
paired_commute_a,paired_disruption,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.45,0.0,1.0,,0.0,,1.0,1.0,0.45,,0.0,0.0,08:26,office,10.0,0,"{""goal_drift"": 1}",3,48.348,20168,55,20223,True
paired_commute_a,paired_disruption,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,0.0,08:28,office,10.0,0,{},1,11.341,6545,152,6697,True
paired_commute_a,paired_disruption,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,0.45,0.0,1.0,,0.0,,1.0,1.0,0.45,,0.0,0.0,08:26,office,10.0,0,"{""goal_drift"": 1}",2,24.514,13521,276,13797,True
paired_commute_b,paired_disruption,gatsim_official_planner,1.0,0.857,0.143,0.143,1.0,0.75,1.0,0.444,,0.143,,0.4,1.0,0.643,,0.0,0.0,09:08,office,10.0,1,"{""closed_place_action"": 1}",3,240.482,27563,756,28319,True
paired_commute_b,paired_disruption,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.45,0.0,1.0,,0.0,,0.867,1.0,0.45,,0.0,0.0,08:30,office,10.0,0,"{""goal_drift"": 1}",3,44.602,20355,55,20410,True
paired_commute_b,paired_disruption,generative_agents_official_planner,1.0,0.8,0.2,0.2,0.0,0.75,1.0,0.444,,0.2,,1.0,1.0,0.6,,0.0,0.0,09:25,office,10.0,1,"{""invalid_state_transition"": 1}",5,87.481,29425,636,30061,True
paired_commute_b,paired_disruption,agentsociety_official_plan_blocks,1.0,0.6,0.4,0.4,0.0,0.75,1.0,0.444,,0.4,,1.0,1.0,0.45,,0.0,0.0,09:15,office,10.0,2,"{""invalid_state_transition"": 2}",8,84.255,55372,1043,56415,True
paired_pickup_a,paired_disruption,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.406,1.0,1.0,1.0,0.0,0.0,18:12,home_aria,12.0,0,{},1,21.986,8915,392,9307,True
paired_pickup_a,paired_disruption,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,,0.0,,1.0,1.0,0.5,1.0,0.0,0.0,17:26,school,12.0,0,"{""goal_drift"": 1}",3,9.163,20522,55,20577,True
paired_pickup_a,paired_disruption,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,17:32,school,12.0,0,{},1,11.506,6668,190,6858,True
paired_pickup_a,paired_disruption,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,17:32,school,12.0,0,{},2,9.077,13769,231,14000,True
paired_pickup_b,paired_disruption,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.765,1.0,1.0,1.0,0.0,0.0,17:41,home_ben,12.0,0,{},2,12.769,18276,476,18752,True
paired_pickup_b,paired_disruption,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,,0.0,,0.812,1.0,0.5,1.0,0.0,0.0,17:32,school,12.0,0,"{""goal_drift"": 1}",4,13.992,27565,73,27638,True
paired_pickup_b,paired_disruption,generative_agents_official_planner,1.0,0.75,0.25,0.25,1.0,0.9,1.0,0.8,,0.25,,0.812,1.0,0.675,1.0,1.0,0.0,17:49,budget_diner,6.0,2,"{""done_state_loop"": 1, ""impossible_route"": 1, ""invalid_state_transition"": 1}",7,42.728,41589,1186,42775,True
paired_pickup_b,paired_disruption,agentsociety_official_plan_blocks,1.0,0.5,0.5,0.5,0.0,0.9,1.0,0.8,,0.5,,0.464,1.0,0.45,1.0,1.0,0.0,18:22,home_aria,12.0,4,"{""done_state_loop"": 1, ""invalid_state_transition"": 4}",12,65.508,85085,1286,86371,True
paired_study_a,paired_disruption,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.7,1.0,1.0,,0.0,0.0,15:57,bookstore,11.0,0,{},1,9.768,8890,372,9262,True
paired_study_a,paired_disruption,sotopia_official_llm_agent,1.0,0.333,0.667,0.667,0.0,0.15,0.0,0.429,,0.667,,1.0,1.0,0.05,,0.0,0.0,15:47,library,18.0,2,"{""invalid_state_transition"": 2}",4,11.7,27440,75,27515,True
paired_study_a,paired_disruption,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,0.0,14:58,library,18.0,0,{},1,4.377,6646,112,6758,True
paired_study_a,paired_disruption,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,0.0,14:58,library,18.0,0,{},2,8.855,13730,232,13962,True
paired_study_b,paired_disruption,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.152,1.0,1.0,,0.0,0.0,15:43,plaza,11.0,0,{},2,16.375,18241,603,18844,True
paired_study_b,paired_disruption,sotopia_official_llm_agent,1.0,0.5,0.5,0.5,1.0,0.5,0.538,0.429,,0.5,,0.7,1.0,0.25,,0.0,0.0,15:52,bookstore,18.0,3,"{""closed_place_action"": 1, ""invalid_state_transition"": 1, ""money_budget_failure"": 1}",7,24.678,49105,129,49234,True
paired_study_b,paired_disruption,generative_agents_official_planner,1.0,0.571,0.429,0.429,1.0,0.5,0.538,0.429,,0.429,,0.25,1.0,0.286,,0.0,0.0,16:30,coworking,18.0,3,"{""money_budget_failure"": 3}",7,30.868,41255,774,42029,True
paired_study_b,paired_disruption,agentsociety_official_plan_blocks,1.0,0.625,0.375,0.375,1.0,0.5,0.538,0.429,,0.375,,0.538,1.0,0.312,,0.0,0.0,16:03,library,18.0,3,"{""closed_place_action"": 1, ""money_budget_failure"": 2}",10,55.881,70489,1561,72050,True
