scenario_id,agent_type,repeat_count,all_task_success,all_fully_feasible,any_task_success,any_infeasible,task_completion_mean,face_plausibility_mean
paired_commute_a,agentsociety_official_plan_blocks,1,0,1,0,0,0.0,0.96
paired_commute_a,gatsim_official_planner,1,1,1,1,0,1.0,0.9
paired_commute_a,generative_agents_official_planner,1,1,1,1,0,1.0,0.86
paired_commute_a,sotopia_official_llm_agent,1,0,1,0,0,0.0,0.93
paired_commute_b,agentsociety_official_plan_blocks,1,1,0,1,1,1.0,0.83
paired_commute_b,gatsim_official_planner,1,1,0,1,1,1.0,0.56
paired_commute_b,generative_agents_official_planner,1,1,0,1,1,1.0,0.78
paired_commute_b,sotopia_official_llm_agent,1,0,1,0,0,0.0,0.92
paired_pickup_a,agentsociety_official_plan_blocks,1,1,1,1,0,1.0,0.96
paired_pickup_a,gatsim_official_planner,1,1,1,1,0,1.0,0.24
paired_pickup_a,generative_agents_official_planner,1,1,1,1,0,1.0,0.9
paired_pickup_a,sotopia_official_llm_agent,1,0,1,0,0,0.0,0.84
paired_pickup_b,agentsociety_official_plan_blocks,1,1,0,1,1,1.0,0.72
paired_pickup_b,gatsim_official_planner,1,1,1,1,0,1.0,0.22
paired_pickup_b,generative_agents_official_planner,1,1,0,1,1,1.0,0.78
paired_pickup_b,sotopia_official_llm_agent,1,0,1,0,0,0.0,0.86
paired_study_a,agentsociety_official_plan_blocks,1,1,1,1,0,1.0,0.97
paired_study_a,gatsim_official_planner,1,1,1,1,0,1.0,0.93
paired_study_a,generative_agents_official_planner,1,1,1,1,0,1.0,0.96
paired_study_a,sotopia_official_llm_agent,1,0,0,0,1,0.0,0.97
paired_study_b,agentsociety_official_plan_blocks,1,0,0,0,1,0.538,0.82
paired_study_b,gatsim_official_planner,1,1,1,1,0,1.0,0.76
paired_study_b,generative_agents_official_planner,1,0,0,0,1,0.538,0.93
paired_study_b,sotopia_official_llm_agent,1,0,0,0,1,0.538,0.86
