scenario_id,agent_type,baseline_task_completion,candidate_task_completion,delta_task_completion,baseline_trace_feasibility,candidate_trace_feasibility,delta_trace_feasibility,baseline_intention_consistency,candidate_intention_consistency,delta_intention_consistency,baseline_judge_face_plausibility,candidate_judge_face_plausibility,delta_judge_face_plausibility,baseline_judge_trace_believability,candidate_judge_trace_believability,delta_judge_trace_believability,baseline_llm_calls,candidate_llm_calls,delta_llm_calls,baseline_llm_latency_seconds,candidate_llm_latency_seconds,delta_llm_latency_seconds,baseline_llm_total_tokens,candidate_llm_total_tokens,delta_llm_total_tokens
closed_study_spot_replacement,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.875,1.0,0.125,0.875,1.0,0.125,0.78,0.93,0.15000000000000002,0.44,0.78,0.34,6.0,4.0,-2.0,37.368,30.414,-6.954000000000001,42194.0,29028.0,-13166.0
closed_study_spot_replacement,gatsim_official_planner,1.0,1.0,0.0,0.875,0.875,0.0,0.875,0.875,0.0,0.82,0.93,0.1100000000000001,0.48,0.58,0.09999999999999998,2.0,2.0,0.0,66.069,19.595,-46.474000000000004,19029.0,18724.0,-305.0
closed_study_spot_replacement,generative_agents_official_planner,0.5,1.0,0.5,0.571,0.8,0.2290000000000001,0.4,0.8,0.4,0.97,0.72,-0.25,0.82,0.38,-0.43999999999999995,7.0,3.0,-4.0,40.198,19.107,-21.091,41768.0,18519.0,-23249.0
closed_study_spot_replacement,sotopia_official_llm_agent,0.0,0.5,0.5,1.0,0.75,-0.25,0.4,0.525,0.125,0.71,0.91,0.20000000000000007,0.12,0.58,0.45999999999999996,2.0,5.0,3.0,9.474,18.837,9.363,13731.0,34781.0,21050.0
detour_commute_midroute_block,agentsociety_official_plan_blocks,1.0,0.0,-1.0,0.75,1.0,0.25,0.488,0.45,-0.03799999999999998,0.82,0.34,-0.4799999999999999,0.68,0.18,-0.5,6.0,4.0,-2.0,36.31,36.085,-0.22500000000000142,41641.0,29069.0,-12572.0
detour_commute_midroute_block,gatsim_official_planner,1.0,0.0,-1.0,1.0,0.875,-0.125,1.0,0.263,-0.737,0.18,0.08,-0.09999999999999999,0.08,0.02,-0.06,2.0,2.0,0.0,18.609,23.782,5.172999999999998,18518.0,19286.0,768.0
detour_commute_midroute_block,generative_agents_official_planner,1.0,1.0,0.0,0.5,1.0,0.5,0.325,0.8,0.47500000000000003,0.28,0.74,0.45999999999999996,0.12,0.32,0.2,11.0,3.0,-8.0,68.536,21.294,-47.242000000000004,64580.0,18622.0,-45958.0
detour_commute_midroute_block,sotopia_official_llm_agent,0.0,0.0,0.0,1.0,1.0,0.0,0.45,0.45,0.0,0.84,0.56,-0.2799999999999999,0.32,0.22,-0.1,5.0,8.0,3.0,21.373,39.36,17.987,33864.0,55400.0,21536.0
meeting_wait_trap,agentsociety_official_plan_blocks,0.308,0.308,0.0,0.667,0.7,0.03299999999999992,0.233,0.245,0.011999999999999983,0.83,0.84,0.010000000000000009,0.41,0.41,0.0,8.0,10.0,2.0,64.274,94.348,30.073999999999998,57155.0,75021.0,17866.0
meeting_wait_trap,gatsim_official_planner,0.0,0.0,0.0,0.444,0.75,0.306,0.067,0.112,0.045,0.76,0.78,0.020000000000000018,0.22,0.42,0.19999999999999998,6.0,4.0,-2.0,56.062,38.187,-17.875,56897.0,38778.0,-18119.0
meeting_wait_trap,generative_agents_official_planner,0.308,0.308,0.0,0.667,1.0,0.33299999999999996,0.233,0.55,0.31700000000000006,0.86,0.88,0.020000000000000018,0.38,0.42,0.03999999999999998,5.0,3.0,-2.0,30.685,27.636,-3.0489999999999995,30469.0,19231.0,-11238.0
meeting_wait_trap,sotopia_official_llm_agent,0.308,0.308,0.0,1.0,1.0,0.0,0.55,0.55,0.0,0.88,0.92,0.040000000000000036,0.34,0.24,-0.10000000000000003,10.0,2.0,-8.0,48.711,10.119,-38.592,69791.0,13673.0,-56118.0
school_pickup_social_detour,agentsociety_official_plan_blocks,1.0,1.0,0.0,1.0,0.75,-0.25,1.0,0.75,-0.25,0.98,0.79,-0.18999999999999995,0.91,0.41,-0.5,2.0,6.0,4.0,12.92,52.01,39.089999999999996,13514.0,43737.0,30223.0
school_pickup_social_detour,gatsim_official_planner,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.74,0.08,-0.66,0.18,0.03,-0.15,1.0,1.0,0.0,10.019,15.597,5.577999999999999,9039.0,9409.0,370.0
school_pickup_social_detour,generative_agents_official_planner,1.0,1.0,0.0,0.8,1.0,0.19999999999999996,0.8,1.0,0.19999999999999996,0.18,0.82,0.6399999999999999,0.05,0.38,0.33,3.0,1.0,-2.0,26.695,8.896,-17.799,18499.0,6922.0,-11577.0
school_pickup_social_detour,sotopia_official_llm_agent,0.0,1.0,1.0,1.0,0.833,-0.16700000000000004,0.55,0.833,0.2829999999999999,0.48,0.78,0.30000000000000004,0.12,0.28,0.16000000000000003,4.0,7.0,3.0,26.5,28.852,2.3520000000000003,26751.0,48436.0,21685.0
