agent_type,failure,count,events_per_trace
agentsociety_official_plan_blocks,goal_drift,1,0.25
agentsociety_official_plan_blocks,invalid_state_transition,3,0.75
agentsociety_official_plan_blocks,money_budget_failure,2,0.5
gatsim_official_planner,closed_place_action,1,0.25
gatsim_official_planner,invalid_state_transition,2,0.5
gatsim_official_planner,time_budget_failure,1,0.25
generative_agents_official_planner,goal_drift,1,0.25
generative_agents_official_planner,time_budget_failure,1,0.25
sotopia_official_llm_agent,done_state_loop,1,0.25
sotopia_official_llm_agent,goal_drift,2,0.5
sotopia_official_llm_agent,invalid_state_transition,1,0.25
sotopia_official_llm_agent,money_budget_failure,1,0.25
