repeat_id,scenario_id,agent_type,gpt54mini_face_plausibility,gpt54_face_plausibility,abs_diff_face_plausibility,threshold_agree_face_plausibility,gpt54mini_trace_believability,gpt54_trace_believability,abs_diff_trace_believability,threshold_agree_trace_believability,gpt54mini_rationale_alignment,gpt54_rationale_alignment,abs_diff_rationale_alignment,threshold_agree_rationale_alignment,gpt54mini_urban_common_sense,gpt54_urban_common_sense,abs_diff_urban_common_sense,threshold_agree_urban_common_sense
1,closed_study_spot_replacement,agentsociety_official_plan_blocks,0.93,0.85,0.08,1,0.78,0.78,0.0,1,0.95,0.88,0.07,1,0.9,0.82,0.08,1
1,closed_study_spot_replacement,gatsim_official_planner,0.93,0.78,0.15,1,0.58,0.58,0.0,1,0.72,0.62,0.1,0,0.61,0.76,0.15,0
1,closed_study_spot_replacement,generative_agents_official_planner,0.72,0.87,0.15,1,0.38,0.74,0.36,0,0.18,0.58,0.4,1,0.7,0.86,0.16,1
1,closed_study_spot_replacement,sotopia_official_llm_agent,0.91,0.82,0.09,1,0.58,0.61,0.03,1,0.18,0.46,0.28,1,0.74,0.78,0.04,1
1,detour_commute_midroute_block,agentsociety_official_plan_blocks,0.34,0.74,0.4,0,0.18,0.63,0.45,1,0.22,0.22,0.0,1,0.28,0.68,0.4,1
1,detour_commute_midroute_block,gatsim_official_planner,0.08,0.18,0.1,1,0.02,0.06,0.04,1,0.05,0.12,0.07,1,0.12,0.22,0.1,1
1,detour_commute_midroute_block,generative_agents_official_planner,0.74,0.87,0.13,1,0.32,0.82,0.5,0,0.08,0.58,0.5,1,0.41,0.9,0.49,0
1,detour_commute_midroute_block,sotopia_official_llm_agent,0.56,0.68,0.12,1,0.22,0.44,0.22,1,0.14,0.3,0.16,1,0.35,0.57,0.22,1
1,meeting_wait_trap,agentsociety_official_plan_blocks,0.84,0.72,0.12,1,0.41,0.29,0.12,1,0.88,0.41,0.47,0,0.62,0.63,0.01,1
1,meeting_wait_trap,gatsim_official_planner,0.78,0.58,0.2,0,0.42,0.31,0.11,1,0.88,0.22,0.66,0,0.67,0.48,0.19,1
1,meeting_wait_trap,generative_agents_official_planner,0.88,0.78,0.1,1,0.42,0.36,0.06,1,0.84,0.62,0.22,0,0.81,0.8,0.01,1
1,meeting_wait_trap,sotopia_official_llm_agent,0.92,0.72,0.2,1,0.24,0.18,0.06,1,0.9,0.34,0.56,0,0.76,0.63,0.13,0
1,school_pickup_social_detour,agentsociety_official_plan_blocks,0.79,0.76,0.03,1,0.41,0.47,0.06,1,0.83,0.58,0.25,0,0.62,0.63,0.01,1
1,school_pickup_social_detour,gatsim_official_planner,0.08,0.88,0.8,0,0.03,0.84,0.81,0,0.96,0.42,0.54,0,0.07,0.93,0.86,0
1,school_pickup_social_detour,generative_agents_official_planner,0.82,0.84,0.02,1,0.38,0.71,0.33,0,0.74,0.62,0.12,0,0.69,0.86,0.17,0
1,school_pickup_social_detour,sotopia_official_llm_agent,0.78,0.74,0.04,1,0.28,0.43,0.15,1,0.62,0.34,0.28,1,0.31,0.68,0.37,1
