scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
closed_study_spot_replacement,poi_closure,gatsim_official_planner,1.0,0.875,0.125,0.125,0.0,1.0,1.0,1.0,,0.125,,0.388,1.0,0.875,,0.0,0.0,16:59,quiet_cafe,1.0,1,"{""time_budget_failure"": 1}",2,19.595,18221,503,18724,True
closed_study_spot_replacement,poi_closure,sotopia_official_llm_agent,1.0,0.75,0.25,0.25,1.0,0.7,0.5,1.0,,0.25,,1.0,1.0,0.525,,0.0,0.0,16:04,bookstore,11.0,1,"{""money_budget_failure"": 1}",5,18.837,34686,95,34781,True
closed_study_spot_replacement,poi_closure,generative_agents_official_planner,1.0,0.8,0.2,0.2,0.0,1.0,1.0,1.0,,0.2,,1.0,1.0,0.8,,0.0,0.0,16:54,bookstore,11.0,1,"{""time_budget_failure"": 1}",3,19.107,18059,460,18519,True
closed_study_spot_replacement,poi_closure,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,0.0,15:29,bookstore,11.0,0,{},4,30.414,28097,931,29028,True
detour_commute_midroute_block,disruption,gatsim_official_planner,1.0,0.875,0.125,0.125,0.0,0.3,0.0,0.667,0.0,0.125,0.0,1.0,1.0,0.263,,0.0,0.0,08:29,library,10.0,1,"{""closed_place_action"": 1}",2,23.782,18420,866,19286,True
detour_commute_midroute_block,disruption,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.45,0.0,1.0,0.0,0.0,0.0,0.347,1.0,0.45,,0.0,0.0,09:15,office,10.0,0,"{""goal_drift"": 1}",8,39.36,55253,147,55400,True
detour_commute_midroute_block,disruption,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0,0.0,0.4,1.0,0.8,,0.0,0.0,09:23,office,10.0,0,{},3,21.294,18044,578,18622,True
detour_commute_midroute_block,disruption,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,0.45,0.0,1.0,0.0,0.0,0.0,0.619,1.0,0.45,,0.0,0.0,08:42,office,10.0,0,"{""goal_drift"": 1}",4,36.085,27976,1093,29069,True
meeting_wait_trap,time_pressure,gatsim_official_planner,1.0,0.75,0.25,0.25,0.0,0.15,0.0,0.429,,0.25,,1.0,1.0,0.112,0.0,0.0,0.0,12:52,office,4.0,2,"{""invalid_state_transition"": 2}",4,38.187,37640,1138,38778,True
meeting_wait_trap,time_pressure,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.55,0.308,1.0,,0.0,,1.0,1.0,0.55,0.5,0.0,0.0,12:07,office,16.0,0,"{""goal_drift"": 1}",2,10.119,13591,82,13673,True
meeting_wait_trap,time_pressure,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,0.55,0.308,1.0,,0.0,,1.0,1.0,0.55,0.5,0.0,0.0,13:13,office,4.0,0,"{""goal_drift"": 1}",3,27.636,18477,754,19231,True
meeting_wait_trap,time_pressure,agentsociety_official_plan_blocks,1.0,0.7,0.3,0.3,1.0,0.35,0.308,0.429,,0.3,,1.0,1.0,0.245,0.5,0.0,0.0,13:10,cafe_central,16.0,3,"{""invalid_state_transition"": 1, ""money_budget_failure"": 2}",10,94.348,71989,3032,75021,True
school_pickup_social_detour,social_spatial_tradeoff,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,17:32,school,12.0,0,{},1,15.597,8875,534,9409,True
school_pickup_social_detour,social_spatial_tradeoff,sotopia_official_llm_agent,1.0,0.833,0.167,0.167,0.0,1.0,1.0,1.0,,0.167,,1.0,1.0,0.833,1.0,1.0,0.0,17:37,school,12.0,1,"{""done_state_loop"": 1, ""invalid_state_transition"": 1}",7,28.852,48297,139,48436,True
school_pickup_social_detour,social_spatial_tradeoff,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,17:49,school,12.0,0,{},1,8.896,6628,294,6922,True
school_pickup_social_detour,social_spatial_tradeoff,agentsociety_official_plan_blocks,1.0,0.75,0.25,0.25,0.0,1.0,1.0,1.0,,0.25,,0.812,1.0,0.75,1.0,0.0,0.0,17:55,school,12.0,2,"{""invalid_state_transition"": 2}",6,52.01,42269,1468,43737,True
