scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std,replanning_success_mean,replanning_success_std,process_success_mean,process_success_std,social_appropriateness_mean,social_appropriateness_std
closed_study_spot_replacement,agentsociety_official_plan_blocks,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.93,0.0,0.78,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,30.414,0.0,29028.0,0.0,0.95,0.0,0.9,0.0,,,,,,
closed_study_spot_replacement,gatsim_official_planner,1,1.0,0.0,1.0,0.0,0.875,0.0,0.875,0.0,0.93,0.0,0.58,0.0,0.35,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.125,0.0,0.388,0.0,1.0,0.0,0.125,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.595,0.0,18724.0,0.0,0.72,0.0,0.61,0.0,,,,,,
closed_study_spot_replacement,generative_agents_official_planner,1,1.0,0.0,1.0,0.0,0.8,0.0,0.8,0.0,0.72,0.0,0.38,0.0,0.34,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.107,0.0,18519.0,0.0,0.18,0.0,0.7,0.0,,,,,,
closed_study_spot_replacement,sotopia_official_llm_agent,1,0.5,0.0,0.7,0.0,0.75,0.0,0.525,0.0,0.91,0.0,0.58,0.0,0.33,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,5.0,0.0,18.837,0.0,34781.0,0.0,0.18,0.0,0.74,0.0,,,,,,
detour_commute_midroute_block,agentsociety_official_plan_blocks,1,0.0,0.0,0.45,0.0,1.0,0.0,0.45,0.0,0.34,0.0,0.18,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,36.085,0.0,29069.0,0.0,0.22,0.0,0.28,0.0,0.0,0.0,0.0,0.0,,
detour_commute_midroute_block,gatsim_official_planner,1,0.0,0.0,0.3,0.0,0.875,0.0,0.263,0.0,0.08,0.0,0.02,0.0,0.06,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.667,0.0,1.0,0.0,0.125,0.0,1.0,0.0,1.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.782,0.0,19286.0,0.0,0.05,0.0,0.12,0.0,0.0,0.0,0.0,0.0,,
detour_commute_midroute_block,generative_agents_official_planner,1,1.0,0.0,0.8,0.0,1.0,0.0,0.8,0.0,0.74,0.0,0.32,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21.294,0.0,18622.0,0.0,0.08,0.0,0.41,0.0,0.0,0.0,0.0,0.0,,
detour_commute_midroute_block,sotopia_official_llm_agent,1,0.0,0.0,0.45,0.0,1.0,0.0,0.45,0.0,0.56,0.0,0.22,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.347,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,39.36,0.0,55400.0,0.0,0.14,0.0,0.35,0.0,0.0,0.0,0.0,0.0,,
meeting_wait_trap,agentsociety_official_plan_blocks,1,0.308,0.0,0.35,0.0,0.7,0.0,0.245,0.0,0.84,0.0,0.41,0.0,0.43,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.429,0.0,1.0,0.0,0.3,0.0,1.0,0.0,1.0,0.0,0.3,0.0,1.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,10.0,0.0,94.348,0.0,75021.0,0.0,0.88,0.0,0.62,0.0,,,,,0.5,0.0
meeting_wait_trap,gatsim_official_planner,1,0.0,0.0,0.15,0.0,0.75,0.0,0.112,0.0,0.78,0.0,0.42,0.0,0.36,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.429,0.0,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4.0,0.0,38.187,0.0,38778.0,0.0,0.88,0.0,0.67,0.0,,,,,0.0,0.0
meeting_wait_trap,generative_agents_official_planner,1,0.308,0.0,0.55,0.0,1.0,0.0,0.55,0.0,0.88,0.0,0.42,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.636,0.0,19231.0,0.0,0.84,0.0,0.81,0.0,,,,,0.5,0.0
