scenario_id,agent_type,repeat_count,all_task_success,all_fully_feasible,any_task_success,any_infeasible,task_completion_mean,face_plausibility_mean
closed_study_spot_replacement,agentsociety_official_plan_blocks,1,1,1,1,0,1.0,0.93
closed_study_spot_replacement,gatsim_official_planner,1,1,0,1,1,1.0,0.93
closed_study_spot_replacement,generative_agents_official_planner,1,1,0,1,1,1.0,0.72
closed_study_spot_replacement,sotopia_official_llm_agent,1,0,0,0,1,0.5,0.91
detour_commute_midroute_block,agentsociety_official_plan_blocks,1,0,1,0,0,0.0,0.34
detour_commute_midroute_block,gatsim_official_planner,1,0,0,0,1,0.0,0.08
detour_commute_midroute_block,generative_agents_official_planner,1,1,1,1,0,1.0,0.74
detour_commute_midroute_block,sotopia_official_llm_agent,1,0,1,0,0,0.0,0.56
meeting_wait_trap,agentsociety_official_plan_blocks,1,0,0,0,1,0.308,0.84
meeting_wait_trap,gatsim_official_planner,1,0,0,0,1,0.0,0.78
meeting_wait_trap,generative_agents_official_planner,1,0,1,0,0,0.308,0.88
meeting_wait_trap,sotopia_official_llm_agent,1,0,1,0,0,0.308,0.92
school_pickup_social_detour,agentsociety_official_plan_blocks,1,1,0,1,1,1.0,0.79
school_pickup_social_detour,gatsim_official_planner,1,1,1,1,0,1.0,0.08
school_pickup_social_detour,generative_agents_official_planner,1,1,1,1,0,1.0,0.82
school_pickup_social_detour,sotopia_official_llm_agent,1,1,0,1,1,1.0,0.78
