scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,replanning_success_mean,replanning_success_std,process_success_mean,process_success_std,social_appropriateness_mean,social_appropriateness_std
closed_study_spot_replacement,agentsociety_official_plan_blocks,1,1.0,0.0,1.0,0.0,0.875,0.0,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.125,0.0,1.0,0.0,1.0,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,37.368,0.0,42194.0,0.0,,,,,,
closed_study_spot_replacement,gatsim_official_planner,1,1.0,0.0,1.0,0.0,0.875,0.0,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.125,0.0,0.388,0.0,1.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,66.069,0.0,19029.0,0.0,,,,,,
closed_study_spot_replacement,generative_agents_official_planner,1,0.5,0.0,0.7,0.0,0.571,0.0,0.4,0.0,0.429,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.429,0.0,0.929,0.0,1.0,0.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,40.198,0.0,41768.0,0.0,,,,,,
closed_study_spot_replacement,sotopia_official_llm_agent,1,0.0,0.0,0.4,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.474,0.0,13731.0,0.0,,,,,,
detour_commute_midroute_block,agentsociety_official_plan_blocks,1,1.0,0.0,0.65,0.0,0.75,0.0,0.488,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.667,0.0,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,36.31,0.0,41641.0,0.0,0.0,0.0,0.0,0.0,,
detour_commute_midroute_block,gatsim_official_planner,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.867,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,18.609,0.0,18518.0,0.0,1.0,0.0,1.0,0.0,,
detour_commute_midroute_block,generative_agents_official_planner,1,1.0,0.0,0.65,0.0,0.5,0.0,0.325,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.667,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,68.536,0.0,64580.0,0.0,0.0,0.0,0.0,0.0,,
detour_commute_midroute_block,sotopia_official_llm_agent,1,0.0,0.0,0.45,0.0,1.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.591,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,21.373,0.0,33864.0,0.0,0.0,0.0,0.0,0.0,,
meeting_wait_trap,agentsociety_official_plan_blocks,1,0.308,0.0,0.35,0.0,0.667,0.0,0.233,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.429,0.0,1.0,0.0,0.333,0.0,0.396,0.0,1.0,0.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,64.274,0.0,57155.0,0.0,,,,,0.5,0.0
meeting_wait_trap,gatsim_official_planner,1,0.0,0.0,0.15,0.0,0.444,0.0,0.067,0.0,0.556,0.0,0.0,0.0,0.0,0.0,0.429,0.0,1.0,0.0,0.556,0.0,0.568,0.0,1.0,0.0,0.556,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,56.062,0.0,56897.0,0.0,,,,,0.0,0.0
