agent_type,failure,count,events_per_trace
agentsociety_official_plan_blocks,invalid_state_transition,10,0.833
agentsociety_official_plan_blocks,money_budget_failure,5,0.417
agentsociety_official_plan_blocks,time_budget_failure,3,0.25
gatsim_official_planner,closed_place_action,1,0.083
gatsim_official_planner,goal_drift,1,0.083
gatsim_official_planner,invalid_state_transition,4,0.333
gatsim_official_planner,time_budget_failure,4,0.333
generative_agents_official_planner,closed_place_action,1,0.083
generative_agents_official_planner,impossible_route,7,0.583
generative_agents_official_planner,invalid_state_transition,3,0.25
generative_agents_official_planner,money_budget_failure,16,1.333
generative_agents_official_planner,social_derailment,1,0.083
generative_agents_official_planner,time_budget_failure,1,0.083
sotopia_official_llm_agent,goal_drift,9,0.75
sotopia_official_llm_agent,invalid_state_transition,3,0.25
sotopia_official_llm_agent,money_budget_failure,2,0.167
