scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
closed_study_spot_replacement,poi_closure,gatsim_official_planner,1.0,0.875,0.125,0.125,0.0,1.0,1.0,1.0,,0.125,,0.388,1.0,0.875,,0.0,0.0,16:59,quiet_cafe,1.0,1,"{""time_budget_failure"": 1}",2,15.584,18240,581,18821,True
closed_study_spot_replacement,poi_closure,sotopia_official_llm_agent,1.0,0.5,0.5,0.5,1.0,0.7,0.5,1.0,,0.5,,1.0,1.0,0.35,,0.0,0.0,16:04,bookstore,18.0,2,"{""invalid_state_transition"": 1, ""money_budget_failure"": 1}",5,20.886,34770,93,34863,True
closed_study_spot_replacement,poi_closure,generative_agents_official_planner,1.0,0.5,0.5,0.5,1.0,0.7,0.5,1.0,,0.5,,1.0,1.0,0.35,,0.0,0.0,16:30,bookstore,18.0,2,"{""money_budget_failure"": 2}",5,29.022,29618,564,30182,True
closed_study_spot_replacement,poi_closure,agentsociety_official_plan_blocks,1.0,0.8,0.2,0.2,1.0,1.0,1.0,1.0,,0.2,,1.0,1.0,0.8,,0.0,0.0,16:09,bookstore,11.0,1,"{""money_budget_failure"": 1}",6,34.153,42076,772,42848,True
detour_commute_midroute_block,disruption,gatsim_official_planner,1.0,0.875,0.125,0.125,1.0,0.3,0.0,0.667,0.0,0.125,0.0,0.325,1.0,0.263,,0.0,0.0,09:23,cafe_central,10.0,1,"{""closed_place_action"": 1}",3,24.631,27842,1004,28846,True
detour_commute_midroute_block,disruption,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.65,0.0,1.0,1.0,0.0,1.0,0.867,1.0,0.65,,0.0,0.0,08:30,office,10.0,0,"{""goal_drift"": 1}",3,12.282,20571,55,20626,True
detour_commute_midroute_block,disruption,generative_agents_official_planner,1.0,0.75,0.25,0.25,1.0,0.65,1.0,0.667,0.0,0.25,0.0,0.4,1.0,0.488,,0.0,0.0,09:08,office,10.0,2,"{""closed_place_action"": 1, ""impossible_route"": 1}",7,42.682,41411,1220,42631,True
detour_commute_midroute_block,disruption,agentsociety_official_plan_blocks,1.0,0.667,0.333,0.333,0.0,0.3,0.0,0.667,0.0,0.333,0.0,1.0,1.0,0.2,,0.0,0.0,09:09,office,10.0,1,"{""invalid_state_transition"": 1}",6,36.883,41953,864,42817,True
meeting_wait_trap,time_pressure,gatsim_official_planner,1.0,0.833,0.167,0.167,0.0,0.15,0.0,0.429,,0.167,,0.25,1.0,0.125,0.0,0.0,0.0,13:31,office,16.0,1,"{""time_budget_failure"": 1}",2,19.3,18220,665,18885,True
meeting_wait_trap,time_pressure,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.55,0.308,1.0,,0.0,,1.0,1.0,0.55,0.5,0.0,0.0,12:25,office,16.0,0,"{""goal_drift"": 1}",10,45.257,71065,647,71712,True
meeting_wait_trap,time_pressure,generative_agents_official_planner,1.0,0.667,0.333,0.333,1.0,0.35,0.308,0.429,,0.333,,0.568,1.0,0.233,0.5,0.0,1.0,13:19,cafe_central,16.0,3,"{""invalid_state_transition"": 1, ""money_budget_failure"": 1, ""social_derailment"": 1, ""time_budget_failure"": 1}",5,28.571,30040,923,30963,True
meeting_wait_trap,time_pressure,agentsociety_official_plan_blocks,1.0,0.6,0.4,0.4,1.0,0.35,0.308,0.429,,0.4,,0.568,1.0,0.21,0.5,0.0,0.0,13:19,cafe_central,16.0,4,"{""invalid_state_transition"": 3, ""time_budget_failure"": 1}",10,59.056,71049,1686,72735,True
school_pickup_social_detour,social_spatial_tradeoff,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,17:32,school,12.0,0,{},1,8.58,8875,329,9204,True
school_pickup_social_detour,social_spatial_tradeoff,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.55,0.0,1.0,,0.0,,1.0,1.0,0.55,1.0,0.0,0.0,17:26,school,12.0,0,"{""goal_drift"": 1}",3,9.741,20393,55,20448,True
school_pickup_social_detour,social_spatial_tradeoff,generative_agents_official_planner,1.0,0.875,0.125,0.125,0.0,1.0,1.0,1.0,,0.125,,0.812,1.0,0.875,1.0,0.0,0.0,17:45,school,12.0,1,"{""invalid_state_transition"": 1}",3,21.367,18199,524,18723,True
school_pickup_social_detour,social_spatial_tradeoff,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,17:32,school,12.0,0,{},2,11.212,13689,298,13987,True
