scenario_id,agent_type,repeat_count,all_task_success,all_fully_feasible,any_task_success,any_infeasible,task_completion_mean,face_plausibility_mean
closed_study_spot_replacement,agentsociety_official_plan_blocks,3,0,0,1,1,0.833,0.877
closed_study_spot_replacement,gatsim_official_planner,3,1,0,1,1,1.0,0.767
closed_study_spot_replacement,generative_agents_official_planner,3,0,0,0,1,0.5,0.923
closed_study_spot_replacement,sotopia_official_llm_agent,3,0,0,0,1,0.333,0.773
detour_commute_midroute_block,agentsociety_official_plan_blocks,3,0,0,1,1,0.667,0.887
detour_commute_midroute_block,gatsim_official_planner,3,0,0,1,1,0.667,0.587
detour_commute_midroute_block,generative_agents_official_planner,3,0,0,1,1,0.667,0.337
detour_commute_midroute_block,sotopia_official_llm_agent,3,0,1,0,0,0.0,0.687
meeting_wait_trap,agentsociety_official_plan_blocks,3,0,0,0,1,0.308,0.847
meeting_wait_trap,gatsim_official_planner,3,0,0,0,1,0.0,0.5
meeting_wait_trap,generative_agents_official_planner,3,0,0,0,1,0.308,0.843
meeting_wait_trap,sotopia_official_llm_agent,3,0,1,0,0,0.308,0.86
school_pickup_social_detour,agentsociety_official_plan_blocks,3,1,1,1,0,1.0,0.97
school_pickup_social_detour,gatsim_official_planner,3,1,1,1,0,1.0,0.38
school_pickup_social_detour,generative_agents_official_planner,3,1,0,1,1,1.0,0.643
school_pickup_social_detour,sotopia_official_llm_agent,3,0,0,0,1,0.0,0.747
