agent_type,failure,count,events_per_trace
agentsociety_official_plan_blocks,goal_drift,5,0.278
agentsociety_official_plan_blocks,invalid_state_transition,16,0.889
agentsociety_official_plan_blocks,money_budget_failure,12,0.667
agentsociety_official_plan_blocks,social_derailment,4,0.222
agentsociety_official_plan_blocks,time_budget_failure,1,0.056
gatsim_official_planner,goal_drift,3,0.167
gatsim_official_planner,invalid_state_transition,12,0.667
gatsim_official_planner,social_derailment,3,0.167
generative_agents_official_planner,goal_drift,1,0.056
generative_agents_official_planner,impossible_route,4,0.222
generative_agents_official_planner,invalid_state_transition,10,0.556
generative_agents_official_planner,money_budget_failure,19,1.056
generative_agents_official_planner,social_derailment,4,0.222
generative_agents_official_planner,time_budget_failure,2,0.111
sotopia_official_llm_agent,done_state_loop,8,0.444
sotopia_official_llm_agent,goal_drift,3,0.167
sotopia_official_llm_agent,invalid_state_transition,18,1.0
sotopia_official_llm_agent,time_budget_failure,1,0.056
