scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
hard_budget_entangled_meet,social_outcome_hard,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,18:26,home_aria,1.0,0,{},1,19.506,8247,594,8841,True
hard_budget_entangled_meet,social_outcome_hard,sotopia_official_llm_agent,1.0,0.714,0.286,0.286,0.0,0.45,0.385,0.571,,0.286,,1.0,1.0,0.321,0.0,1.0,0.0,18:01,quiet_cafe,11.0,2,"{""done_state_loop"": 1, ""invalid_state_transition"": 2}",8,26.904,16238,161,16399,True
hard_budget_entangled_meet,social_outcome_hard,generative_agents_official_planner,1.0,0.875,0.125,0.125,1.0,0.6,0.615,0.571,,0.125,,1.0,1.0,0.525,0.0,0.0,0.0,18:27,home_aria,11.0,1,"{""money_budget_failure"": 1}",3,17.412,3209,508,3717,True
hard_budget_entangled_meet,social_outcome_hard,agentsociety_official_plan_blocks,1.0,0.857,0.143,0.143,0.0,0.45,0.385,0.571,,0.143,,1.0,1.0,0.386,0.0,0.0,0.0,18:01,pharmacy,11.0,1,"{""invalid_state_transition"": 1}",4,26.091,17366,1087,18453,True
hard_deadline_then_meet,social_outcome_hard,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.661,1.0,1.0,1.0,0.0,0.0,13:26,home_aria,2.0,0,{},1,10.484,8896,394,9290,True
hard_deadline_then_meet,social_outcome_hard,sotopia_official_llm_agent,1.0,0.8,0.2,0.2,0.0,0.2,0.0,0.5,,0.2,,1.0,1.0,0.16,0.0,1.0,0.0,12:39,pharmacy,12.0,1,"{""done_state_loop"": 1, ""invalid_state_transition"": 1}",6,29.674,16279,121,16400,True
hard_deadline_then_meet,social_outcome_hard,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,0.848,1.0,0.7,0.0,0.0,0.0,13:09,quiet_cafe,12.0,0,"{""goal_drift"": 1}",1,5.804,1594,249,1843,True
hard_deadline_then_meet,social_outcome_hard,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,1.0,1.0,0.7,0.0,0.0,0.0,12:27,pharmacy,12.0,0,"{""goal_drift"": 1}",2,11.146,3724,420,4144,True
hard_full_evening_chain,social_outcome_hard,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,18:16,home_aria,4.0,0,{},1,17.656,3922,545,4467,True
hard_full_evening_chain,social_outcome_hard,sotopia_official_llm_agent,1.0,0.857,0.143,0.143,0.0,0.45,0.429,0.5,,0.143,,1.0,1.0,0.386,0.0,1.0,0.0,17:50,budget_diner,4.0,1,"{""done_state_loop"": 1, ""invalid_state_transition"": 1}",8,32.935,42754,220,42974,True
hard_full_evening_chain,social_outcome_hard,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,0.75,0.643,1.0,,0.0,,1.0,1.0,0.75,0.0,0.0,0.0,18:26,home_aria,4.0,0,{},1,8.985,1667,346,2013,True
hard_full_evening_chain,social_outcome_hard,agentsociety_official_plan_blocks,1.0,0.889,0.111,0.111,0.0,0.6,0.643,0.5,,0.111,,1.0,1.0,0.533,0.0,0.0,0.0,18:08,home_aria,4.0,1,"{""invalid_state_transition"": 1}",4,27.879,8309,1016,9325,True
hard_overlapping_windows,social_outcome_hard,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,0.7,0.5,1.0,,0.0,,1.0,1.0,0.7,0.5,0.0,1.0,13:03,cafe_central,6.0,0,"{""goal_drift"": 1, ""social_derailment"": 1}",1,10.341,8201,470,8671,True
hard_overlapping_windows,social_outcome_hard,sotopia_official_llm_agent,1.0,0.833,0.167,0.167,0.0,0.2,0.0,0.5,,0.167,,0.836,1.0,0.167,0.0,0.0,0.0,13:15,park,18.0,1,"{""invalid_state_transition"": 1}",7,32.598,26412,145,26557,True
