scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,social_appropriateness_mean,social_appropriateness_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
hard_budget_entangled_meet,agentsociety_official_plan_blocks,3,0.385,0.0,0.5,0.087,0.905,0.083,0.457,0.124,0.64,0.327,0.413,0.424,0.227,0.247,0.095,0.083,0.0,0.0,0.0,0.0,0.714,0.248,1.0,0.0,0.095,0.083,1.0,0.0,1.0,0.0,0.0,0.0,0.095,0.083,0.0,0.0,0.021,0.036,0.0,0.0,0.0,0.0,3.333,1.155,21.174,7.999,19616.0,6247.225,0.677,0.401,0.473,0.401
hard_budget_entangled_meet,gatsim_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.747,0.083,0.5,0.139,0.247,0.101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.646,4.296,8946.667,239.659,0.557,0.13,0.553,0.115
hard_budget_entangled_meet,generative_agents_official_planner,3,0.538,0.133,0.6,0.15,0.875,0.125,0.538,0.206,0.73,0.175,0.503,0.112,0.227,0.084,0.125,0.125,0.0,0.0,0.0,0.0,0.714,0.248,1.0,0.0,0.125,0.125,0.947,0.091,1.0,0.0,0.0,0.0,0.125,0.125,0.667,0.577,0.008,0.014,0.0,0.0,0.0,0.0,2.333,1.155,16.157,3.062,9165.333,6894.125,0.313,0.272,0.63,0.184
hard_budget_entangled_meet,sotopia_official_llm_agent,3,0.257,0.222,0.367,0.144,0.766,0.061,0.282,0.117,0.633,0.162,0.3,0.144,0.333,0.023,0.234,0.061,1.0,0.0,0.0,0.0,0.571,0.0,1.0,0.0,0.234,0.061,0.947,0.091,1.0,0.0,0.0,0.0,0.234,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.646,62.298,62.16,49420.0,35598.47,0.52,0.38,0.467,0.225
hard_deadline_then_meet,agentsociety_official_plan_blocks,3,0.167,0.289,0.367,0.289,0.653,0.334,0.297,0.35,0.68,0.211,0.44,0.243,0.24,0.087,0.347,0.334,0.0,0.0,0.0,0.0,0.667,0.289,1.0,0.0,0.347,0.334,0.949,0.088,1.0,0.0,0.0,0.0,0.347,0.334,0.667,0.577,0.201,0.176,0.0,0.0,0.0,0.0,6.0,4.0,49.207,41.572,38551.667,33993.847,0.747,0.299,0.523,0.275
hard_deadline_then_meet,gatsim_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.687,0.101,0.45,0.2,0.237,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.77,0.199,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.881,1.759,9124.0,342.619,0.513,0.076,0.533,0.195
hard_deadline_then_meet,generative_agents_official_planner,3,0.5,0.0,0.567,0.115,0.785,0.222,0.459,0.217,0.703,0.235,0.403,0.067,0.3,0.193,0.215,0.222,0.0,0.0,0.0,0.0,0.667,0.289,1.0,0.0,0.215,0.222,0.949,0.088,1.0,0.0,0.0,0.0,0.215,0.222,0.667,0.577,0.043,0.075,0.0,0.0,0.0,0.0,4.333,3.055,31.677,23.822,24069.667,20743.731,0.64,0.413,0.593,0.161
hard_deadline_then_meet,sotopia_official_llm_agent,3,0.0,0.0,0.2,0.0,0.83,0.029,0.166,0.006,0.547,0.318,0.237,0.169,0.31,0.167,0.17,0.029,0.667,0.577,0.0,0.0,0.5,0.0,1.0,0.0,0.17,0.029,0.74,0.328,1.0,0.0,0.0,0.0,0.17,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.577,31.648,2.184,36277.333,17330.415,0.43,0.271,0.333,0.266
hard_full_evening_chain,agentsociety_official_plan_blocks,3,0.5,0.124,0.55,0.087,0.926,0.064,0.511,0.102,0.877,0.021,0.673,0.185,0.203,0.18,0.074,0.064,0.0,0.0,0.0,0.0,0.667,0.289,1.0,0.0,0.074,0.064,1.0,0.0,1.0,0.0,0.0,0.0,0.074,0.064,0.0,0.0,0.004,0.006,0.0,0.0,0.0,0.0,3.333,1.155,38.043,11.506,15809.0,11466.111,0.93,0.026,0.793,0.05
hard_full_evening_chain,gatsim_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.81,0.089,0.54,0.069,0.27,0.026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.648,3.719,7554.333,2693.631,0.393,0.055,0.717,0.131
