scenario_id,agent_type,n_repeats,accepted_copresence_outcomes,required_copresence_outcomes,copresence_outcome_rate,social_pass_k,mean_task_completion,mean_trace_feasibility
hard_budget_entangled_meet,agentsociety_official_plan_blocks,3,0,3,0.0,0.0,0.385,0.9046666666666666
hard_budget_entangled_meet,gatsim_official_planner,3,3,3,1.0,1.0,1.0,1.0
hard_budget_entangled_meet,generative_agents_official_planner,3,0,3,0.0,0.0,0.5383333333333333,0.875
hard_budget_entangled_meet,sotopia_official_llm_agent,3,0,3,0.0,0.0,0.25666666666666665,0.7656666666666666
hard_deadline_then_meet,agentsociety_official_plan_blocks,3,0,3,0.0,0.0,0.16666666666666666,0.6526666666666666
hard_deadline_then_meet,gatsim_official_planner,3,3,3,1.0,1.0,1.0,1.0
hard_deadline_then_meet,generative_agents_official_planner,3,0,3,0.0,0.0,0.5,0.7853333333333333
hard_deadline_then_meet,sotopia_official_llm_agent,3,0,3,0.0,0.0,0.0,0.8300000000000001
hard_full_evening_chain,agentsociety_official_plan_blocks,3,0,3,0.0,0.0,0.5003333333333333,0.926
hard_full_evening_chain,gatsim_official_planner,3,3,3,1.0,1.0,1.0,1.0
hard_full_evening_chain,generative_agents_official_planner,3,0,3,0.0,0.0,0.643,1.0
hard_full_evening_chain,sotopia_official_llm_agent,3,0,3,0.0,0.0,0.35733333333333334,0.8273333333333334
hard_overlapping_windows,agentsociety_official_plan_blocks,3,1,6,0.16666666666666666,0.0,0.16666666666666666,0.8053333333333333
hard_overlapping_windows,gatsim_official_planner,3,3,6,0.5,0.0,0.5,1.0
hard_overlapping_windows,generative_agents_official_planner,3,0,6,0.0,0.0,0.0,0.7776666666666667
hard_overlapping_windows,sotopia_official_llm_agent,3,0,6,0.0,0.0,0.0,0.8966666666666666
hard_stale_plan_override,agentsociety_official_plan_blocks,3,0,3,0.0,0.0,0.333,0.7666666666666666
hard_stale_plan_override,gatsim_official_planner,3,0,3,0.0,0.0,0.0,0.429
hard_stale_plan_override,generative_agents_official_planner,3,1,3,0.3333333333333333,0.0,0.5553333333333333,0.4206666666666667
hard_stale_plan_override,sotopia_official_llm_agent,3,0,3,0.0,0.0,0.333,0.8856666666666667
hard_three_meeting_relay,agentsociety_official_plan_blocks,3,3,9,0.3333333333333333,0.0,0.3333333333333333,0.8223333333333334
hard_three_meeting_relay,gatsim_official_planner,3,9,9,1.0,1.0,1.0,1.0
hard_three_meeting_relay,generative_agents_official_planner,3,2,9,0.2222222222222222,0.0,0.222,0.767
hard_three_meeting_relay,sotopia_official_llm_agent,3,0,9,0.0,0.0,0.0,0.8966666666666666
