repeat_id,scenario_id,agent_type,required_copresence_outcomes,accepted_copresence_outcomes,copresence_outcome_rate,full_social_success,accepted_interaction_events,message_count_to_counterparts,interact_attempt_count,target_entry_count,message_without_social_success,attempt_without_social_success,target_entry_without_social_success,legal_but_ineffective,plausible_but_unverified,task_completion,trace_feasibility,joint_success,judge_face_plausibility,judge_trace_believability,llm_calls,llm_total_tokens
1,hard_budget_entangled_meet,gatsim_official_planner,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.68,0.34,1.0,9221.0
1,hard_budget_entangled_meet,sotopia_official_llm_agent,1,0,0.0,0.0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.46,0.14,12.0,87131.0
1,hard_budget_entangled_meet,generative_agents_official_planner,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.615,1.0,0.0,0.74,0.46,1.0,6863.0
1,hard_budget_entangled_meet,agentsociety_official_plan_blocks,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.385,1.0,0.0,0.72,0.22,2.0,14032.0
1,hard_deadline_then_meet,gatsim_official_planner,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.58,0.22,1.0,9352.0
1,hard_deadline_then_meet,sotopia_official_llm_agent,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.0,0.18,0.05,7.0,48219.0
1,hard_deadline_then_meet,generative_agents_official_planner,1,0,0.0,0.0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.5,0.556,0.0,0.46,0.33,7.0,42915.0
1,hard_deadline_then_meet,agentsociety_official_plan_blocks,1,0,0.0,0.0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.333,0.0,0.66,0.32,10.0,72116.0
1,hard_full_evening_chain,gatsim_official_planner,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.84,0.58,1.0,9425.0
1,hard_full_evening_chain,sotopia_official_llm_agent,1,0,0.0,0.0,0,0,0,1,0.0,0.0,1.0,0.0,1.0,0.214,0.75,0.0,0.72,0.41,9.0,64126.0
1,hard_full_evening_chain,generative_agents_official_planner,1,0,0.0,0.0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,0.643,1.0,0.0,0.74,0.41,1.0,7010.0
1,hard_full_evening_chain,agentsociety_official_plan_blocks,1,0,0.0,0.0,0,0,1,1,0.0,1.0,1.0,0.0,1.0,0.429,0.889,0.0,0.86,0.78,4.0,29048.0
1,hard_overlapping_windows,gatsim_official_planner,2,1,0.5,0.0,2,0,2,2,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.72,0.38,1.0,9236.0
1,hard_overlapping_windows,sotopia_official_llm_agent,2,0,0.0,0.0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.63,0.38,4.0,27347.0
1,hard_overlapping_windows,generative_agents_official_planner,2,0,0.0,0.0,1,0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.75,0.0,0.38,0.22,1.0,6866.0
1,hard_overlapping_windows,agentsociety_official_plan_blocks,2,0,0.0,0.0,0,0,1,2,0.0,1.0,1.0,0.0,1.0,0.0,0.833,0.0,0.92,0.76,4.0,28413.0
1,hard_stale_plan_override,gatsim_official_planner,1,0,0.0,0.0,0,0,4,1,0.0,1.0,1.0,0.0,1.0,0.0,0.429,0.0,0.78,0.42,6.0,57819.0
1,hard_stale_plan_override,sotopia_official_llm_agent,1,0,0.0,0.0,0,7,0,0,1.0,0.0,0.0,1.0,1.0,0.333,1.0,0.0,0.87,0.52,9.0,63648.0
1,hard_stale_plan_override,generative_agents_official_planner,1,0,0.0,0.0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,0.333,0.333,0.0,0.82,0.58,9.0,54412.0
1,hard_stale_plan_override,agentsociety_official_plan_blocks,1,0,0.0,0.0,0,4,0,1,1.0,0.0,1.0,0.0,0.0,0.333,0.7,0.0,0.62,0.31,10.0,61476.0
1,hard_three_meeting_relay,gatsim_official_planner,3,3,1.0,1.0,3,0,3,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.55,0.38,1.0,4423.0
