agent_type,failure,count,events_per_trace
agentsociety_official_plan_blocks,goal_drift,2,0.111
agentsociety_official_plan_blocks,invalid_state_transition,21,1.167
agentsociety_official_plan_blocks,money_budget_failure,30,1.667
agentsociety_official_plan_blocks,social_derailment,1,0.056
agentsociety_official_plan_blocks,time_budget_failure,8,0.444
gatsim_official_planner,impossible_route,1,0.056
gatsim_official_planner,invalid_state_transition,26,1.444
gatsim_official_planner,money_budget_failure,3,0.167
gatsim_official_planner,time_budget_failure,2,0.111
generative_agents_official_planner,goal_drift,1,0.056
generative_agents_official_planner,impossible_route,14,0.778
generative_agents_official_planner,invalid_state_transition,4,0.222
generative_agents_official_planner,money_budget_failure,26,1.444
generative_agents_official_planner,social_derailment,2,0.111
generative_agents_official_planner,time_budget_failure,2,0.111
sotopia_official_llm_agent,done_state_loop,1,0.056
sotopia_official_llm_agent,goal_drift,11,0.611
sotopia_official_llm_agent,invalid_state_transition,9,0.5
