repeat_id,scenario_id,agent_type,gpt54mini_face_plausibility,gpt54_face_plausibility,abs_diff_face_plausibility,threshold_agree_face_plausibility,gpt54mini_trace_believability,gpt54_trace_believability,abs_diff_trace_believability,threshold_agree_trace_believability,gpt54mini_rationale_alignment,gpt54_rationale_alignment,abs_diff_rationale_alignment,threshold_agree_rationale_alignment,gpt54mini_urban_common_sense,gpt54_urban_common_sense,abs_diff_urban_common_sense,threshold_agree_urban_common_sense
1,social_copresence_decoy_location,agentsociety_official_plan_blocks,0.93,0.84,0.09,1,0.42,0.58,0.16,1,0.9,0.9,0.0,1,0.72,0.76,0.04,1
1,social_copresence_decoy_location,gatsim_official_planner,0.74,0.78,0.04,1,0.28,0.56,0.28,1,0.62,0.42,0.2,1,0.41,0.68,0.27,1
1,social_copresence_decoy_location,generative_agents_official_planner,0.96,0.89,0.07,1,0.42,0.76,0.34,0,0.38,0.58,0.2,1,0.72,0.86,0.14,1
1,social_copresence_decoy_location,sotopia_official_llm_agent,0.97,0.88,0.09,1,0.95,0.46,0.49,0,0.98,0.58,0.4,0,0.93,0.83,0.1,1
1,social_copresence_event_window,agentsociety_official_plan_blocks,0.84,0.7,0.14,1,0.42,0.34,0.08,1,0.91,0.45,0.46,0,0.58,0.58,0.0,1
1,social_copresence_event_window,gatsim_official_planner,0.82,0.93,0.11,1,0.31,0.9,0.59,0,0.84,0.74,0.1,1,0.26,0.92,0.66,0
1,social_copresence_event_window,generative_agents_official_planner,0.78,0.78,0.0,1,0.31,0.58,0.27,1,0.12,0.42,0.3,1,0.42,0.74,0.32,0
1,social_copresence_event_window,sotopia_official_llm_agent,0.96,0.82,0.14,1,0.34,0.69,0.35,1,0.82,0.56,0.26,0,0.78,0.86,0.08,1
1,social_copresence_message_gated,agentsociety_official_plan_blocks,0.94,0.72,0.22,1,0.58,0.28,0.3,1,0.96,0.83,0.13,1,0.84,0.62,0.22,0
1,social_copresence_message_gated,gatsim_official_planner,0.72,0.6,0.12,0,0.28,0.25,0.03,1,0.41,0.15,0.26,1,0.36,0.4,0.04,1
1,social_copresence_message_gated,generative_agents_official_planner,0.86,0.42,0.44,0,0.28,0.12,0.16,1,0.93,0.2,0.73,0,0.62,0.18,0.44,1
1,social_copresence_message_gated,sotopia_official_llm_agent,0.95,0.68,0.27,0,0.58,0.29,0.29,1,0.97,0.34,0.63,0,0.62,0.62,0.0,1
1,social_copresence_open_meet,agentsociety_official_plan_blocks,0.92,0.8,0.12,1,0.38,0.58,0.2,1,0.96,0.62,0.34,0,0.84,0.84,0.0,1
1,social_copresence_open_meet,gatsim_official_planner,0.88,0.82,0.06,1,0.74,0.76,0.02,1,0.93,0.42,0.51,0,0.84,0.88,0.04,1
1,social_copresence_open_meet,generative_agents_official_planner,0.91,0.72,0.19,1,0.38,0.56,0.18,1,0.54,0.34,0.2,1,0.62,0.74,0.12,0
1,social_copresence_open_meet,sotopia_official_llm_agent,0.84,0.76,0.08,1,0.38,0.34,0.04,1,0.72,0.58,0.14,0,0.58,0.7,0.12,0
1,social_copresence_two_party,agentsociety_official_plan_blocks,0.84,0.68,0.16,0,0.52,0.24,0.28,1,0.86,0.42,0.44,0,0.63,0.53,0.1,1
1,social_copresence_two_party,gatsim_official_planner,0.82,0.94,0.12,1,0.38,0.92,0.54,0,0.79,0.78,0.01,1,0.64,0.9,0.26,0
1,social_copresence_two_party,generative_agents_official_planner,0.08,0.12,0.04,1,0.03,0.02,0.01,1,0.95,0.03,0.92,0,0.05,0.08,0.03,1
1,social_copresence_two_party,sotopia_official_llm_agent,0.18,0.58,0.4,1,0.06,0.18,0.12,1,0.22,0.34,0.12,1,0.14,0.62,0.48,1
1,social_copresence_with_errand,agentsociety_official_plan_blocks,0.95,0.95,0.0,1,0.83,0.93,0.1,1,0.98,0.98,0.0,1,0.92,0.94,0.02,1
1,social_copresence_with_errand,gatsim_official_planner,0.62,0.72,0.1,0,0.18,0.31,0.13,1,0.34,0.22,0.12,1,0.22,0.56,0.34,1
1,social_copresence_with_errand,generative_agents_official_planner,0.78,0.62,0.16,0,0.16,0.29,0.13,1,0.72,0.18,0.54,0,0.41,0.58,0.17,1
1,social_copresence_with_errand,sotopia_official_llm_agent,0.88,0.62,0.26,0,0.31,0.28,0.03,1,0.76,0.35,0.41,0,0.67,0.4,0.27,1
2,social_copresence_decoy_location,agentsociety_official_plan_blocks,0.92,0.74,0.18,1,0.56,0.32,0.24,1,0.93,0.78,0.15,1,0.74,0.55,0.19,0
2,social_copresence_decoy_location,gatsim_official_planner,0.66,0.78,0.12,0,0.24,0.46,0.22,1,0.34,0.32,0.02,1,0.31,0.62,0.31,1
2,social_copresence_decoy_location,generative_agents_official_planner,0.96,0.88,0.08,1,0.83,0.76,0.07,1,0.97,0.58,0.39,0,0.9,0.87,0.03,1
2,social_copresence_decoy_location,sotopia_official_llm_agent,0.84,0.34,0.5,0,0.28,0.1,0.18,1,0.91,0.18,0.73,0,0.35,0.14,0.21,1
2,social_copresence_event_window,agentsociety_official_plan_blocks,0.95,0.82,0.13,1,0.28,0.58,0.3,1,0.98,0.72,0.26,1,0.85,0.84,0.01,1
2,social_copresence_event_window,gatsim_official_planner,0.71,0.76,0.05,1,0.18,0.68,0.5,1,0.83,0.52,0.31,0,0.22,0.74,0.52,0
2,social_copresence_event_window,generative_agents_official_planner,0.78,0.74,0.04,1,0.46,0.56,0.1,1,0.18,0.34,0.16,1,0.72,0.83,0.11,1
2,social_copresence_event_window,sotopia_official_llm_agent,0.92,0.86,0.06,1,0.34,0.72,0.38,0,0.18,0.58,0.4,1,0.89,0.88,0.01,1
2,social_copresence_message_gated,agentsociety_official_plan_blocks,0.94,0.68,0.26,0,0.46,0.33,0.13,1,0.98,0.74,0.24,1,0.88,0.58,0.3,0
2,social_copresence_message_gated,gatsim_official_planner,0.86,0.42,0.44,0,0.18,0.14,0.04,1,0.34,0.18,0.16,1,0.22,0.2,0.02,1
2,social_copresence_message_gated,generative_agents_official_planner,0.83,0.58,0.25,0,0.28,0.19,0.09,1,0.62,0.23,0.39,1,0.33,0.34,0.01,1
2,social_copresence_message_gated,sotopia_official_llm_agent,0.72,0.58,0.14,0,0.38,0.18,0.2,1,0.9,0.22,0.68,0,0.62,0.34,0.28,1
2,social_copresence_open_meet,agentsociety_official_plan_blocks,0.86,0.83,0.03,1,0.51,0.61,0.1,1,0.93,0.76,0.17,1,0.68,0.86,0.18,0
2,social_copresence_open_meet,gatsim_official_planner,0.83,0.9,0.07,1,0.34,0.78,0.44,0,0.78,0.62,0.16,0,0.71,0.88,0.17,1
2,social_copresence_open_meet,generative_agents_official_planner,0.62,0.72,0.1,0,0.18,0.58,0.4,1,0.08,0.34,0.26,1,0.22,0.76,0.54,0
2,social_copresence_open_meet,sotopia_official_llm_agent,0.86,0.76,0.1,1,0.72,0.34,0.38,0,0.58,0.41,0.17,1,0.9,0.79,0.11,1
2,social_copresence_two_party,agentsociety_official_plan_blocks,0.93,0.82,0.11,1,0.88,0.58,0.3,0,0.97,0.72,0.25,1,0.91,0.8,0.11,1
2,social_copresence_two_party,gatsim_official_planner,0.86,0.95,0.09,1,0.58,0.93,0.35,0,0.94,0.78,0.16,1,0.66,0.9,0.24,0
2,social_copresence_two_party,generative_agents_official_planner,0.42,0.42,0.0,1,0.18,0.18,0.0,1,0.22,0.12,0.1,1,0.28,0.46,0.18,1
2,social_copresence_two_party,sotopia_official_llm_agent,0.58,0.38,0.2,1,0.18,0.14,0.04,1,0.22,0.1,0.12,1,0.12,0.22,0.1,1
2,social_copresence_with_errand,agentsociety_official_plan_blocks,0.93,0.93,0.0,1,0.42,0.89,0.47,0,0.98,0.98,0.0,1,0.88,0.94,0.06,1
2,social_copresence_with_errand,gatsim_official_planner,0.68,0.7,0.02,0,0.18,0.33,0.15,1,0.86,0.42,0.44,0,0.55,0.48,0.07,1
2,social_copresence_with_errand,generative_agents_official_planner,0.84,0.58,0.26,0,0.38,0.24,0.14,1,0.96,0.18,0.78,0,0.62,0.43,0.19,1
2,social_copresence_with_errand,sotopia_official_llm_agent,0.82,0.62,0.2,0,0.41,0.24,0.17,1,0.78,0.18,0.6,0,0.74,0.41,0.33,0
3,social_copresence_decoy_location,agentsociety_official_plan_blocks,0.95,0.87,0.08,1,0.78,0.62,0.16,0,0.97,0.84,0.13,1,0.89,0.81,0.08,1
3,social_copresence_decoy_location,gatsim_official_planner,0.75,0.74,0.01,1,0.28,0.42,0.14,1,0.3,0.61,0.31,1,0.62,0.57,0.05,1
3,social_copresence_decoy_location,generative_agents_official_planner,0.95,0.79,0.16,1,0.93,0.62,0.31,0,0.98,0.58,0.4,0,0.9,0.7,0.2,1
