scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
social_copresence_decoy_location,social_outcome,gatsim_official_planner,1.0,0.4,0.6,0.6,0.0,0.15,0.0,0.429,,0.6,,1.0,1.0,0.06,0.0,0.0,0.0,13:00,quiet_cafe,6.0,6,"{""invalid_state_transition"": 6}",6,44.098,56718,961,57679,True
social_copresence_decoy_location,social_outcome,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.55,0.308,1.0,,0.0,,1.0,1.0,0.55,0.5,0.0,0.0,12:27,quiet_cafe,16.0,0,"{""goal_drift"": 1}",5,19.904,34065,136,34201,True
social_copresence_decoy_location,social_outcome,generative_agents_official_planner,1.0,0.75,0.25,0.25,1.0,0.8,1.0,0.429,,0.25,,1.0,1.0,0.6,1.0,0.0,0.0,13:20,quiet_cafe,16.0,2,"{""impossible_route"": 1, ""money_budget_failure"": 1}",3,19.888,18019,554,18573,True
social_copresence_decoy_location,social_outcome,agentsociety_official_plan_blocks,1.0,0.7,0.3,0.3,1.0,0.35,0.308,0.429,,0.3,,1.0,1.0,0.245,0.5,0.0,0.0,13:14,quiet_cafe,16.0,3,"{""money_budget_failure"": 3}",8,51.163,56062,1025,57087,True
social_copresence_event_window,social_outcome,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.405,1.0,1.0,1.0,0.0,0.0,16:57,office,2.0,0,{},1,9.929,8793,390,9183,True
social_copresence_event_window,social_outcome,sotopia_official_llm_agent,1.0,0.75,0.25,0.25,0.0,0.2,0.0,0.4,,0.25,,0.425,1.0,0.15,0.0,0.0,0.0,16:41,plaza,16.0,1,"{""invalid_state_transition"": 1}",5,19.087,33829,94,33923,True
social_copresence_event_window,social_outcome,generative_agents_official_planner,1.0,0.4,0.6,0.6,1.0,0.2,0.0,0.4,,0.6,,1.0,1.0,0.08,0.0,0.0,0.0,17:20,market,16.0,3,"{""impossible_route"": 1, ""money_budget_failure"": 2}",5,25.614,29121,490,29611,True
social_copresence_event_window,social_outcome,agentsociety_official_plan_blocks,1.0,0.3,0.7,0.7,1.0,0.2,0.0,0.4,,0.7,,0.895,1.0,0.06,0.0,0.0,0.0,17:30,market,16.0,7,"{""invalid_state_transition"": 1, ""money_budget_failure"": 5, ""time_budget_failure"": 1}",12,71.033,83590,1489,85079,True
social_copresence_message_gated,social_outcome,gatsim_official_planner,1.0,0.75,0.25,0.25,1.0,0.15,0.0,0.429,,0.25,,0.333,1.0,0.112,0.0,0.0,0.0,13:23,quiet_cafe,6.0,2,"{""invalid_state_transition"": 1, ""time_budget_failure"": 1}",2,16.202,18095,509,18604,True
social_copresence_message_gated,social_outcome,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.55,0.308,1.0,,0.0,,1.0,1.0,0.55,0.5,0.0,0.0,12:23,quiet_cafe,16.0,0,"{""goal_drift"": 1}",3,12.709,20306,78,20384,True
social_copresence_message_gated,social_outcome,generative_agents_official_planner,1.0,0.8,0.2,0.2,1.0,0.35,0.308,0.429,,0.2,,1.0,1.0,0.28,0.5,0.0,0.0,13:20,office,16.0,1,"{""impossible_route"": 1}",3,17.22,18042,397,18439,True
social_copresence_message_gated,social_outcome,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,0.55,0.308,1.0,,0.0,,1.0,1.0,0.55,0.5,0.0,0.0,12:24,quiet_cafe,16.0,0,"{""goal_drift"": 1}",2,10.926,13648,273,13921,True
social_copresence_open_meet,social_outcome,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:40,park,16.0,0,{},1,8.276,8795,345,9140,True
social_copresence_open_meet,social_outcome,sotopia_official_llm_agent,1.0,0.889,0.111,0.111,0.0,0.2,0.0,0.4,,0.111,,0.641,1.0,0.178,0.0,0.0,0.0,13:01,park,16.0,1,"{""invalid_state_transition"": 1}",10,55.877,69537,338,69875,True
social_copresence_open_meet,social_outcome,generative_agents_official_planner,1.0,0.778,0.222,0.222,1.0,0.2,0.0,0.4,,0.222,,0.641,1.0,0.156,0.0,0.0,0.0,13:27,park,16.0,2,"{""impossible_route"": 1, ""time_budget_failure"": 1}",3,28.336,17785,514,18299,True
social_copresence_open_meet,social_outcome,agentsociety_official_plan_blocks,1.0,0.75,0.25,0.25,0.0,0.2,0.0,0.4,,0.25,,1.0,1.0,0.15,0.0,0.0,0.0,12:46,park,16.0,1,"{""invalid_state_transition"": 1}",4,27.672,27531,529,28060,True
social_copresence_two_party,social_outcome,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:03,cafe_central,8.0,0,{},1,8.671,8845,369,9214,True
social_copresence_two_party,social_outcome,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.4,0.0,1.0,,0.0,,1.0,1.0,0.4,0.0,0.0,0.0,12:39,park,20.0,0,"{""goal_drift"": 1}",4,16.637,27126,73,27199,True
social_copresence_two_party,social_outcome,generative_agents_official_planner,1.0,0.833,0.167,0.167,1.0,0.2,0.0,0.5,,0.167,,1.0,1.0,0.167,0.0,0.0,0.0,13:40,office,20.0,1,"{""impossible_route"": 1}",3,17.785,17949,477,18426,True
social_copresence_two_party,social_outcome,agentsociety_official_plan_blocks,1.0,0.286,0.714,0.714,1.0,0.2,0.0,0.5,,0.714,,0.767,1.0,0.057,0.0,0.0,0.0,13:45,cafe_central,20.0,5,"{""invalid_state_transition"": 4, ""time_budget_failure"": 1}",10,62.462,70138,1748,71886,True
social_copresence_with_errand,social_outcome,gatsim_official_planner,1.0,0.909,0.091,0.091,1.0,0.6,1.0,0.0,,0.091,,0.882,0.0,0.545,1.0,0.0,0.0,17:53,pharmacy,-5.0,1,"{""money_budget_failure"": 1}",2,29.605,18145,603,18748,True
social_copresence_with_errand,social_outcome,sotopia_official_llm_agent,1.0,0.875,0.125,0.125,0.0,0.2,0.0,0.5,,0.125,,0.811,1.0,0.175,0.0,0.0,0.0,17:47,market,18.0,1,"{""invalid_state_transition"": 1}",9,41.03,62711,205,62916,True
social_copresence_with_errand,social_outcome,generative_agents_official_planner,1.0,0.778,0.222,0.222,1.0,0.25,0.417,0.0,,0.222,,1.0,0.0,0.194,0.0,0.0,0.0,18:30,pharmacy,-5.0,2,"{""money_budget_failure"": 2}",5,28.286,29623,662,30285,True
social_copresence_with_errand,social_outcome,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,17:42,market,9.0,0,{},2,13.121,13713,379,14092,True
