scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,social_appropriateness_mean,social_appropriateness_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
social_copresence_decoy_location,agentsociety_official_plan_blocks,3,0.308,0.0,0.35,0.0,0.525,0.164,0.184,0.057,0.933,0.015,0.587,0.181,0.347,0.17,0.475,0.164,0.0,0.0,0.0,0.0,0.429,0.0,1.0,0.0,0.475,0.164,1.0,0.0,1.0,0.0,0.5,0.0,0.475,0.164,1.0,0.0,0.408,0.173,0.0,0.0,0.0,0.0,8.0,0.0,49.073,2.99,57108.667,70.059,0.933,0.035,0.783,0.093
social_copresence_decoy_location,gatsim_official_planner,3,0.0,0.0,0.15,0.0,0.4,0.0,0.06,0.0,0.717,0.049,0.267,0.023,0.45,0.026,0.6,0.0,0.0,0.0,0.0,0.0,0.429,0.0,1.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.317,0.049,0.0,0.0,0.0,0.0,6.0,0.0,48.178,10.066,57759.667,87.689,0.42,0.174,0.447,0.158
social_copresence_decoy_location,generative_agents_official_planner,3,0.539,0.4,0.5,0.26,0.726,0.021,0.367,0.202,0.957,0.006,0.727,0.27,0.23,0.274,0.274,0.021,0.0,0.0,0.0,0.0,0.429,0.0,1.0,0.0,0.274,0.021,1.0,0.0,1.0,0.0,0.667,0.289,0.274,0.021,1.0,0.0,0.231,0.019,0.0,0.0,0.0,0.0,4.333,1.155,28.041,7.321,26390.333,6770.011,0.777,0.344,0.84,0.104
social_copresence_decoy_location,sotopia_official_llm_agent,3,0.308,0.0,0.55,0.0,1.0,0.0,0.55,0.0,0.89,0.07,0.523,0.371,0.367,0.301,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333,3.215,33.804,26.826,43788.667,22855.101,0.877,0.123,0.62,0.292
social_copresence_event_window,agentsociety_official_plan_blocks,3,0.0,0.0,0.3,0.173,0.533,0.404,0.207,0.254,0.92,0.07,0.373,0.081,0.547,0.125,0.467,0.404,0.0,0.0,0.0,0.0,0.6,0.346,1.0,0.0,0.467,0.404,0.779,0.2,1.0,0.0,0.0,0.0,0.467,0.404,0.667,0.577,0.403,0.355,0.0,0.0,0.0,0.0,8.667,5.774,50.123,31.82,61298.333,41003.268,0.89,0.101,0.753,0.15
social_copresence_event_window,gatsim_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.81,0.095,0.37,0.226,0.44,0.139,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.607,0.341,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.317,2.324,9176.333,60.277,0.873,0.067,0.4,0.278
social_copresence_event_window,generative_agents_official_planner,3,0.0,0.0,0.2,0.0,0.369,0.034,0.074,0.007,0.833,0.092,0.33,0.121,0.503,0.202,0.631,0.034,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.631,0.034,1.0,0.0,1.0,0.0,0.0,0.0,0.631,0.034,1.0,0.0,0.464,0.094,0.0,0.0,0.0,0.0,7.0,2.0,39.626,15.981,41301.0,11731.215,0.14,0.035,0.64,0.193
social_copresence_event_window,sotopia_official_llm_agent,3,0.0,0.0,0.3,0.173,0.833,0.144,0.267,0.202,0.937,0.021,0.33,0.017,0.607,0.023,0.167,0.144,0.0,0.0,0.0,0.0,0.6,0.346,1.0,0.0,0.167,0.144,0.507,0.071,1.0,0.0,0.0,0.0,0.167,0.144,0.0,0.0,0.13,0.114,0.0,0.0,0.0,0.0,4.667,0.577,18.379,4.389,31598.333,4010.862,0.573,0.344,0.673,0.285
social_copresence_message_gated,agentsociety_official_plan_blocks,3,0.308,0.0,0.417,0.115,0.667,0.289,0.3,0.217,0.933,0.012,0.54,0.069,0.393,0.076,0.333,0.289,0.0,0.0,0.0,0.0,0.619,0.33,1.0,0.0,0.333,0.289,0.985,0.026,1.0,0.0,0.5,0.0,0.333,0.289,0.667,0.577,0.287,0.248,0.0,0.0,0.0,0.0,6.0,3.464,36.857,22.933,42690.0,24915.904,0.947,0.042,0.813,0.083
social_copresence_message_gated,gatsim_official_planner,3,0.0,0.0,0.15,0.0,0.606,0.183,0.091,0.027,0.787,0.07,0.227,0.05,0.56,0.12,0.394,0.183,0.0,0.0,0.0,0.0,0.429,0.0,1.0,0.0,0.394,0.183,0.555,0.385,1.0,0.0,0.0,0.0,0.394,0.183,0.667,0.577,0.191,0.24,0.0,0.0,0.0,0.0,3.667,2.082,25.86,9.876,34898.667,20310.854,0.363,0.04,0.257,0.091
