scenario_id,agent_type,repeat_count,all_task_success,all_fully_feasible,any_task_success,any_infeasible,task_completion_mean,face_plausibility_mean
social_copresence_decoy_location,agentsociety_official_plan_blocks,3,0,0,0,1,0.308,0.933
social_copresence_decoy_location,gatsim_official_planner,3,0,0,0,1,0.0,0.717
social_copresence_decoy_location,generative_agents_official_planner,3,0,0,1,1,0.539,0.957
social_copresence_decoy_location,sotopia_official_llm_agent,3,0,1,0,0,0.308,0.89
social_copresence_event_window,agentsociety_official_plan_blocks,3,0,0,0,1,0.0,0.92
social_copresence_event_window,gatsim_official_planner,3,1,1,1,0,1.0,0.81
social_copresence_event_window,generative_agents_official_planner,3,0,0,0,1,0.0,0.833
social_copresence_event_window,sotopia_official_llm_agent,3,0,0,0,1,0.0,0.937
social_copresence_message_gated,agentsociety_official_plan_blocks,3,0,0,0,1,0.308,0.933
social_copresence_message_gated,gatsim_official_planner,3,0,0,0,1,0.0,0.787
social_copresence_message_gated,generative_agents_official_planner,3,0,0,0,1,0.308,0.837
social_copresence_message_gated,sotopia_official_llm_agent,3,0,1,0,0,0.308,0.867
social_copresence_open_meet,agentsociety_official_plan_blocks,3,0,0,1,1,0.333,0.857
social_copresence_open_meet,gatsim_official_planner,3,1,1,1,0,1.0,0.81
social_copresence_open_meet,generative_agents_official_planner,3,0,0,0,1,0.0,0.703
social_copresence_open_meet,sotopia_official_llm_agent,3,0,0,0,1,0.0,0.827
social_copresence_two_party,agentsociety_official_plan_blocks,3,0,0,0,1,0.0,0.833
social_copresence_two_party,gatsim_official_planner,3,1,1,1,0,1.0,0.853
social_copresence_two_party,generative_agents_official_planner,3,0,0,0,1,0.0,0.447
social_copresence_two_party,sotopia_official_llm_agent,3,0,1,0,0,0.0,0.533
social_copresence_with_errand,agentsociety_official_plan_blocks,3,1,1,1,0,1.0,0.94
social_copresence_with_errand,gatsim_official_planner,3,1,0,1,1,1.0,0.68
social_copresence_with_errand,generative_agents_official_planner,3,0,0,0,1,0.472,0.857
social_copresence_with_errand,sotopia_official_llm_agent,3,0,0,0,1,0.0,0.827
