scenario_id,agent_type,n_repeats,accepted_copresence_outcomes,required_copresence_outcomes,copresence_outcome_rate,social_pass_k,mean_task_completion,mean_trace_feasibility
social_copresence_decoy_location,agentsociety_official_plan_blocks,3,0,3,0.0,0.0,0.308,0.525
social_copresence_decoy_location,gatsim_official_planner,3,0,3,0.0,0.0,0.0,0.4000000000000001
social_copresence_decoy_location,generative_agents_official_planner,3,1,3,0.3333333333333333,0.0,0.5386666666666667,0.726
social_copresence_decoy_location,sotopia_official_llm_agent,3,0,3,0.0,0.0,0.308,1.0
social_copresence_event_window,agentsociety_official_plan_blocks,3,0,3,0.0,0.0,0.0,0.5333333333333333
social_copresence_event_window,gatsim_official_planner,3,3,3,1.0,1.0,1.0,1.0
social_copresence_event_window,generative_agents_official_planner,3,0,3,0.0,0.0,0.0,0.36933333333333335
social_copresence_event_window,sotopia_official_llm_agent,3,0,3,0.0,0.0,0.0,0.8333333333333334
social_copresence_message_gated,agentsociety_official_plan_blocks,3,0,3,0.0,0.0,0.308,0.6666666666666666
social_copresence_message_gated,gatsim_official_planner,3,0,3,0.0,0.0,0.0,0.6056666666666667
social_copresence_message_gated,generative_agents_official_planner,3,0,3,0.0,0.0,0.308,0.8333333333333334
social_copresence_message_gated,sotopia_official_llm_agent,3,0,3,0.0,0.0,0.308,1.0
social_copresence_open_meet,agentsociety_official_plan_blocks,3,1,3,0.3333333333333333,0.0,0.3333333333333333,0.6416666666666667
social_copresence_open_meet,gatsim_official_planner,3,3,3,1.0,1.0,1.0,1.0
social_copresence_open_meet,generative_agents_official_planner,3,0,3,0.0,0.0,0.0,0.7370000000000001
social_copresence_open_meet,sotopia_official_llm_agent,3,0,3,0.0,0.0,0.0,0.8796666666666667
social_copresence_two_party,agentsociety_official_plan_blocks,3,0,6,0.0,0.0,0.0,0.32233333333333336
social_copresence_two_party,gatsim_official_planner,3,6,6,1.0,1.0,1.0,1.0
social_copresence_two_party,generative_agents_official_planner,3,0,6,0.0,0.0,0.0,0.6016666666666667
social_copresence_two_party,sotopia_official_llm_agent,3,0,6,0.0,0.0,0.0,1.0
social_copresence_with_errand,agentsociety_official_plan_blocks,3,3,3,1.0,1.0,1.0,1.0
social_copresence_with_errand,gatsim_official_planner,3,3,3,1.0,1.0,1.0,0.9090000000000001
social_copresence_with_errand,generative_agents_official_planner,3,1,3,0.3333333333333333,0.0,0.4723333333333333,0.7316666666666668
social_copresence_with_errand,sotopia_official_llm_agent,3,0,3,0.0,0.0,0.0,0.7666666666666666
