repeat_id,scenario_id,agent_type,required_copresence_outcomes,accepted_copresence_outcomes,copresence_outcome_rate,full_social_success,accepted_interaction_events,message_count_to_counterparts,interact_attempt_count,target_entry_count,message_without_social_success,attempt_without_social_success,target_entry_without_social_success,legal_but_ineffective,plausible_but_unverified,task_completion,trace_feasibility,joint_success,judge_face_plausibility,judge_trace_believability,llm_calls,llm_total_tokens
1,social_copresence_decoy_location,gatsim_official_planner,1,0,0.0,0.0,0,0,6,1,0.0,1.0,1.0,0.0,1.0,0.0,0.4,0.0,0.74,0.28,6.0,57679.0
1,social_copresence_decoy_location,sotopia_official_llm_agent,1,0,0.0,0.0,0,3,0,0,1.0,0.0,0.0,1.0,1.0,0.308,1.0,0.0,0.97,0.95,5.0,34201.0
1,social_copresence_decoy_location,generative_agents_official_planner,1,1,1.0,1.0,1,2,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.96,0.42,3.0,18573.0
1,social_copresence_decoy_location,agentsociety_official_plan_blocks,1,0,0.0,0.0,0,4,0,1,1.0,0.0,1.0,0.0,1.0,0.308,0.7,0.0,0.93,0.42,8.0,57087.0
1,social_copresence_event_window,gatsim_official_planner,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.82,0.31,1.0,9183.0
1,social_copresence_event_window,sotopia_official_llm_agent,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.96,0.34,5.0,33923.0
1,social_copresence_event_window,generative_agents_official_planner,1,0,0.0,0.0,0,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.4,0.0,0.78,0.31,5.0,29611.0
1,social_copresence_event_window,agentsociety_official_plan_blocks,1,0,0.0,0.0,0,0,1,1,0.0,1.0,1.0,0.0,1.0,0.0,0.3,0.0,0.84,0.42,12.0,85079.0
1,social_copresence_message_gated,gatsim_official_planner,1,0,0.0,0.0,0,0,1,1,0.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.72,0.28,2.0,18604.0
1,social_copresence_message_gated,sotopia_official_llm_agent,1,0,0.0,0.0,0,1,0,0,1.0,0.0,0.0,1.0,1.0,0.308,1.0,0.0,0.95,0.58,3.0,20384.0
1,social_copresence_message_gated,generative_agents_official_planner,1,0,0.0,0.0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,0.308,0.8,0.0,0.86,0.28,3.0,18439.0
1,social_copresence_message_gated,agentsociety_official_plan_blocks,1,0,0.0,0.0,0,1,0,1,1.0,0.0,1.0,1.0,1.0,0.308,1.0,0.0,0.94,0.58,2.0,13921.0
1,social_copresence_open_meet,gatsim_official_planner,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.88,0.74,1.0,9140.0
1,social_copresence_open_meet,sotopia_official_llm_agent,1,0,0.0,0.0,0,6,1,0,1.0,1.0,0.0,0.0,1.0,0.0,0.889,0.0,0.84,0.38,10.0,69875.0
1,social_copresence_open_meet,generative_agents_official_planner,1,0,0.0,0.0,0,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.778,0.0,0.91,0.38,3.0,18299.0
1,social_copresence_open_meet,agentsociety_official_plan_blocks,1,0,0.0,0.0,0,0,1,1,0.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0,0.92,0.38,4.0,28060.0
1,social_copresence_two_party,gatsim_official_planner,2,2,1.0,1.0,2,0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.82,0.38,1.0,9214.0
1,social_copresence_two_party,sotopia_official_llm_agent,2,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.18,0.06,4.0,27199.0
1,social_copresence_two_party,generative_agents_official_planner,2,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.08,0.03,3.0,18426.0
1,social_copresence_two_party,agentsociety_official_plan_blocks,2,0,0.0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.286,0.0,0.84,0.52,10.0,71886.0
1,social_copresence_with_errand,gatsim_official_planner,1,1,1.0,1.0,1,0,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.909,0.0,0.62,0.18,2.0,18748.0
1,social_copresence_with_errand,sotopia_official_llm_agent,1,0,0.0,0.0,0,2,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.875,0.0,0.88,0.31,9.0,62916.0
1,social_copresence_with_errand,generative_agents_official_planner,1,0,0.0,0.0,0,0,0,1,0.0,0.0,1.0,0.0,1.0,0.417,0.778,0.0,0.78,0.16,5.0,30285.0
1,social_copresence_with_errand,agentsociety_official_plan_blocks,1,1,1.0,1.0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.95,0.83,2.0,14092.0
2,social_copresence_decoy_location,gatsim_official_planner,1,0,0.0,0.0,0,0,6,1,0.0,1.0,1.0,0.0,0.0,0.0,0.4,0.0,0.66,0.24,6.0,57747.0
