agent_type,failure,count,events_per_trace
api_llm_plan_and_execute,goal_drift,3,0.167
api_llm_plan_and_execute,invalid_state_transition,5,0.278
api_llm_plan_and_execute,money_budget_failure,1,0.056
api_llm_plan_and_execute,social_derailment,10,0.556
api_llm_plan_and_execute,time_budget_failure,7,0.389
api_llm_react_tool_policy,done_state_loop,6,0.333
api_llm_react_tool_policy,goal_drift,3,0.167
api_llm_react_tool_policy,invalid_state_transition,14,0.778
api_llm_react_tool_policy,money_budget_failure,1,0.056
api_llm_react_tool_policy,plausible_but_invalid_rationale,1,0.056
api_llm_react_tool_policy,social_derailment,10,0.556
