scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,social_appropriateness_mean,social_appropriateness_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
hard_budget_entangled_meet,api_llm_plan_and_execute,3,0.385,0.0,0.45,0.0,0.815,0.064,0.367,0.029,0.837,0.107,0.423,0.14,0.413,0.247,0.185,0.064,0.0,0.0,0.333,0.577,0.571,0.0,1.0,0.0,0.185,0.064,1.0,0.0,1.0,0.0,0.0,0.0,0.185,0.064,0.667,0.577,0.078,0.076,0.0,0.0,0.0,0.0,1.0,0.0,9.316,0.177,7524.0,12.288,0.847,0.031,0.713,0.08
hard_budget_entangled_meet,api_llm_react_tool_policy,3,0.769,0.0,0.8,0.087,0.963,0.064,0.774,0.132,0.737,0.258,0.453,0.239,0.283,0.059,0.037,0.064,0.333,0.577,1.0,0.0,0.857,0.248,1.0,0.0,0.037,0.064,1.0,0.0,1.0,0.0,1.0,0.0,0.037,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.667,0.577,55.393,14.297,84040.0,5435.177,0.78,0.144,0.623,0.238
hard_deadline_then_meet,api_llm_plan_and_execute,3,0.5,0.0,0.5,0.0,0.863,0.01,0.432,0.005,0.907,0.045,0.613,0.21,0.293,0.191,0.137,0.01,0.0,0.0,0.333,0.577,0.5,0.0,1.0,0.0,0.137,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.137,0.01,0.333,0.577,0.044,0.037,0.0,0.0,0.0,0.0,1.0,0.0,20.122,18.565,7525.667,33.946,0.957,0.023,0.8,0.072
hard_deadline_then_meet,api_llm_react_tool_policy,3,0.667,0.289,0.6,0.173,0.888,0.013,0.533,0.154,0.737,0.222,0.42,0.14,0.317,0.12,0.112,0.013,1.0,0.0,0.333,0.577,0.5,0.0,1.0,0.0,0.112,0.013,1.0,0.0,1.0,0.0,0.333,0.577,0.112,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.667,0.577,89.381,42.379,84030.667,4873.964,0.65,0.118,0.58,0.201
hard_full_evening_chain,api_llm_plan_and_execute,3,0.929,0.124,0.9,0.173,0.958,0.072,0.871,0.224,0.933,0.032,0.693,0.132,0.24,0.125,0.042,0.072,0.0,0.0,0.333,0.577,0.833,0.289,1.0,0.0,0.042,0.072,1.0,0.0,1.0,0.0,1.0,0.0,0.042,0.072,0.0,0.0,0.032,0.055,0.0,0.0,0.0,0.0,1.0,0.0,9.947,0.966,7446.667,41.645,0.95,0.0,0.86,0.04
hard_full_evening_chain,api_llm_react_tool_policy,3,0.643,0.124,0.6,0.087,0.809,0.166,0.495,0.178,0.877,0.055,0.383,0.228,0.493,0.2,0.191,0.166,0.667,0.577,1.0,0.0,0.5,0.5,0.97,0.053,0.161,0.151,1.0,0.0,0.667,0.577,1.0,0.0,0.191,0.166,0.333,0.577,0.091,0.09,0.0,0.0,0.0,0.0,11.0,1.0,79.676,23.95,98019.667,9755.614,0.763,0.176,0.69,0.217
hard_overlapping_windows,api_llm_plan_and_execute,3,0.5,0.0,0.5,0.0,0.875,0.0,0.438,0.0,0.857,0.075,0.473,0.061,0.383,0.021,0.125,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.125,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.125,0.0,0.0,0.0,0.018,0.032,0.0,0.0,0.0,0.0,1.0,0.0,9.594,1.746,7508.0,26.514,0.847,0.154,0.66,0.106
hard_overlapping_windows,api_llm_react_tool_policy,3,0.5,0.0,0.7,0.0,1.0,0.0,0.7,0.0,0.833,0.061,0.54,0.147,0.293,0.172,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333,0.577,51.846,15.467,69826.333,4984.086,0.89,0.053,0.717,0.045
hard_stale_plan_override,api_llm_plan_and_execute,3,0.555,0.385,0.667,0.306,0.944,0.096,0.644,0.336,0.893,0.029,0.427,0.11,0.467,0.087,0.056,0.096,0.0,0.0,0.333,0.577,0.833,0.289,1.0,0.0,0.056,0.096,1.0,0.0,1.0,0.0,0.667,0.289,0.056,0.096,0.0,0.0,0.026,0.044,0.0,0.0,0.0,0.0,1.0,0.0,7.692,0.927,7257.0,10.44,0.87,0.118,0.713,0.115
hard_stale_plan_override,api_llm_react_tool_policy,3,0.778,0.385,0.8,0.346,0.833,0.289,0.733,0.462,0.833,0.05,0.487,0.115,0.347,0.081,0.167,0.289,0.0,0.0,0.0,0.0,0.833,0.289,1.0,0.0,0.167,0.289,1.0,0.0,1.0,0.0,0.833,0.289,0.167,0.289,0.0,0.0,0.093,0.162,0.0,0.0,0.0,0.0,7.333,1.528,80.216,54.246,61061.0,13778.186,0.683,0.138,0.667,0.115
